"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e9ecf9fa-7dbb-5cef-8b09-3e4f97e887b7","","folder-normal","fail","","step","TRUE","FALSE","Ground"
"73602264-aaae-50f1-a1ee-446451fb298e","","checklist-flat","work-in-progress","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404","checklist-flat","FALSE","FALSE","Ground","D001.06"
"62f39151-302d-5ee6-8a79-e09d888bb371","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","D001.06","External flashings installed as per shop drawings"
"fa73e7ae-6527-4abe-80ad-ae45f749e739","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","D001.06","Rain shields"
"b1920324-c105-4753-a658-aab1c1f291b4","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","D001.06","Rain shields"
"286cd393-d431-5d23-9b86-23072d4cec48","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","D001.06","Installed / Fixed As Per Shop Drawings"
"46ab9224-f35e-5cbb-8599-6f5c981e49f3","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","D001.06","Airseals Completed (photo)"
"aa982433-88d5-5451-8c88-ef089d8cf093","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","D001.06","Site Glazing Completed"
"413f7945-90ac-5475-a9bc-155ed3fd7570","","checkpoint-status","not-started","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","D001.06","Trade clean/protected"
"2b7f0afe-b5f7-5aa6-95e8-bc161305ff09","","checklist-flat","work-in-progress","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404","checklist-flat","FALSE","FALSE","Ground","W001.01"
"38efd722-a678-47d6-9e8c-bb31e80782d3","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W001.01","Opening and sill acceptable. All elements approved as per drawings"
"0cbcd1ec-d2d9-5ff2-848b-2c4d32532bca","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W001.01","Opening wrapped & prepared correctly by others"
"5ad37c1d-b70f-46cb-8064-aa198fe5ebc7","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W001.01","Sill tray installed"
"2181ac5f-f628-4218-aeb2-cd9519d05aac","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W001.01","Check joinery is free of damage"
"632d1d75-1c2c-41a2-b906-d4357b10e844","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W001.01","Check frame and orientation is correct"
"9eae4a72-b028-44e5-a0b4-c3b92e891964","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W001.01","Fixing type and set out is in accordance with shop drawings"
"418350f5-cf3d-4e7b-be68-b7c02a00a9a8","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W001.01","All fixings oversealed on frame and no tooling damage to frame"
"1e881fc4-7431-49fe-b2ee-526e01f4c5ed","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W001.01","Internal air seal is in accordance with shop drawings (min. acceptable size 6mm)"
"b9794bcc-ffd0-42e0-ab48-7c6980afe76b","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W001.01","Viridian supply glass free from defects for installation"
"b31371fa-c160-4b2a-a0ad-a09930a2b148","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W001.01","Glass specification correct to the window type"
"775682f9-3061-4b3d-bee6-1f73043dd04e","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W001.01","Beads reinstated correctly and wedged off completely"
"df5a3ec2-2449-5ab6-b743-60f20af4b078","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W001.01","External flashings installed as per shop drawings"
"2e7cbf56-0e4b-4501-a51c-ec2f99382bf5","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W001.01","Rain shields"
"edf8d956-ce00-4c59-9e78-452293c441c4","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W001.01","Rain shields"
"f141b1c1-5f83-5315-bca8-e066cb529545","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W001.01","Installed / Fixed As Per Shop Drawings"
"488a2d40-c087-5487-b8c5-6c925900ed42","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W001.01","Airseals Completed (photo)"
"491313c2-09a7-5f96-ab9e-96ee7206eff7","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W001.01","Site Glazing Completed"
"0aa20368-085c-55bd-8fec-3bc42c60b072","","checkpoint-status","not-started","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W001.01","Trade clean/protected"
"6e21f29b-95e6-5a13-9dfb-67f85b96bb8c","","checklist-flat","work-in-progress","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404","checklist-flat","FALSE","FALSE","Ground","W008.01"
"a8daeff0-9391-4241-96eb-8fc86824577d","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W008.01","Opening and sill acceptable. All elements approved as per drawings"
"dd32f789-7ec4-59a7-a44b-79f7336d22ce","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W008.01","Opening wrapped & prepared correctly by others"
"3bff282f-b874-4584-b25f-322d9a079903","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W008.01","Sill tray installed"
"0960ff1b-3443-4ac1-a1fd-da2ffdbad1ca","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W008.01","Check joinery is free of damage"
"ad2cfea6-ab78-4152-a06a-9eb4829988bc","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W008.01","Check frame and orientation is correct"
"2b1f6233-6aa8-458b-8185-afd364a5a6a8","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W008.01","Fixing type and set out is in accordance with shop drawings"
"03585763-76d1-46a2-8d4e-85904e1e663b","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W008.01","All fixings oversealed on frame and no tooling damage to frame"
"5e75b9b9-7d9a-4e32-8799-021569289157","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W008.01","Internal air seal is in accordance with shop drawings (min. acceptable size 6mm)"
"1acffb8a-bb1b-4ab3-8e3b-b6f367cb3b98","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W008.01","Viridian supply glass free from defects for installation"
"64f1826a-f52d-4858-b655-81b5d3ab515e","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W008.01","Glass specification correct to the window type"
"21b55c82-817e-40f6-8d40-ce83724aa1a4","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W008.01","Beads reinstated correctly and wedged off completely"
"502829a6-f82c-5c7b-b1eb-18378598b05e","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W008.01","External flashings installed as per shop drawings"
"d365c829-1cb7-4cab-b603-afa127004a4b","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W008.01","Rain shields"
"e0a3273c-c536-431d-ad77-0cc35b524efd","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W008.01","Rain shields"
"d7640651-c55a-5a5b-9758-b64b7b076537","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W008.01","Installed / Fixed As Per Shop Drawings"
"c8412ee7-1e0f-5bc8-9007-9be85187753b","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W008.01","Airseals Completed (photo)"
"715334ef-dc85-56e1-9491-95153dd8eb52","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W008.01","Site Glazing Completed"
"6d93ad82-7fd2-5296-83bb-412214c75136","","checkpoint-status","not-started","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W008.01","Trade clean/protected"
"34d9c509-7813-598c-aa13-aa61fb53e4c3","","checklist-flat","work-in-progress","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404","checklist-flat","FALSE","FALSE","Ground","W007.01"
"e29a505e-a814-4419-81d2-3a4c6592b069","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W007.01","Opening and sill acceptable. All elements approved as per drawings"
"7ac9f37e-6b6d-5d19-a9cd-8e05268f41b5","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W007.01","Opening wrapped & prepared correctly by others"
"53cf79c0-0d85-4279-92b8-1f05e5923a39","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W007.01","Sill tray installed"
"e14d3a40-0bb8-4536-926d-dc7e5b3478b4","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W007.01","Check joinery is free of damage"
"951d2045-3c77-4fb4-825a-f0fd5475c4d3","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W007.01","Check frame and orientation is correct"
"464d5a82-5df3-435e-831f-2c2ab710b691","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W007.01","Fixing type and set out is in accordance with shop drawings"
"59bc8345-4e25-4fa9-9d8e-55c35ec6602b","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W007.01","All fixings oversealed on frame and no tooling damage to frame"
"c9f935e1-d39a-4e48-aad2-c07bd8f1e5e6","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W007.01","Internal air seal is in accordance with shop drawings (min. acceptable size 6mm)"
"c0e711f0-3425-4482-9a98-03835a392a31","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W007.01","Viridian supply glass free from defects for installation"
"100e1113-8397-4098-aac0-edf3e325c7c2","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W007.01","Glass specification correct to the window type"
"6d855b0a-9c91-4899-b310-33598c9bfbfe","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W007.01","Beads reinstated correctly and wedged off completely"
"cbecbdb4-5180-57f9-841d-58c65963a0d5","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W007.01","External flashings installed as per shop drawings"
"ffb350c0-cbdd-4997-b581-270c8f36f1a0","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W007.01","Rain shields"
"939a4b80-8724-4aa1-9745-42aa1fefe8dd","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W007.01","Rain shields"
"a55c0bcc-17a1-56fb-914b-43f5b02adf4c","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W007.01","Installed / Fixed As Per Shop Drawings"
"1990470a-3a7e-590a-a9d3-a70b6ac7f1d5","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W007.01","Airseals Completed (photo)"
"0d428015-c001-53b5-826d-32ca7f0ba397","","checkpoint-status","not-started","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W007.01","Site Glazing Completed"
"530541c2-e72f-5752-a607-c87734ffc2d8","","checkpoint-status","not-started","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W007.01","Trade clean/protected"
"ee6d4c8a-9ac8-5810-afb5-8f97d9358a4c","","checklist-flat","work-in-progress","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404","checklist-flat","FALSE","FALSE","Ground","W006.01"
"a1632d65-84af-42f8-9b5c-f939cebe6aea","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W006.01","Opening and sill acceptable. All elements approved as per drawings"
"6f91e61c-899e-50ec-93ce-1086958289d9","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W006.01","Opening wrapped & prepared correctly by others"
"1dd34d35-812f-43ad-93a3-4f0017260098","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W006.01","Sill tray installed"
"222721d3-5bff-4bff-a998-7386b6d8ab77","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W006.01","Check joinery is free of damage"
"34c0f290-676c-46aa-bf4d-79dfe32e1ecb","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W006.01","Check frame and orientation is correct"
"0fb00a07-e088-45fb-9141-345997403db5","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W006.01","Fixing type and set out is in accordance with shop drawings"
"b902a3f1-b627-469a-ab2a-0a47e92dc79c","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W006.01","All fixings oversealed on frame and no tooling damage to frame"
"84d69ad7-043c-43cb-bd93-f53f60af69a8","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W006.01","Internal air seal is in accordance with shop drawings (min. acceptable size 6mm)"
"af95893e-f31d-440b-924a-75767dc3146b","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W006.01","Viridian supply glass free from defects for installation"
"58e74daf-4d2a-478e-8191-096e6debf25e","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W006.01","Glass specification correct to the window type"
"d1e73abd-2ce4-431e-b8c7-7b9419cfe8e7","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W006.01","Beads reinstated correctly and wedged off completely"
"30077097-0c22-59e3-8b24-b8689956400f","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W006.01","External flashings installed as per shop drawings"
"acbef482-7acb-41d4-91bf-8ca5a390b6b8","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W006.01","Rain shields"
"99fd44e2-025c-4df6-96d6-7a3587367149","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W006.01","Rain shields"
"65cc623b-6484-56e1-a1fe-6da7df8b121d","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W006.01","Installed / Fixed As Per Shop Drawings"
"453cd741-42ef-5ba3-91d5-351596d8f64f","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W006.01","Airseals Completed (photo)"
"ef920cec-3dfd-5004-98f5-67c9733ca225","","checkpoint-status","not-started","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W006.01","Site Glazing Completed"
"0658b076-0e6e-596e-8801-81ac2a25592e","","checkpoint-status","not-started","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W006.01","Trade clean/protected"
"ba38172e-8f0e-5992-b902-f077b0ef1a0e","","checklist-flat","work-in-progress","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404","checklist-flat","FALSE","FALSE","Ground","W005.02"
"af4672d5-e35a-4d31-9cc2-4f61d647f6c2","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W005.02","Opening and sill acceptable. All elements approved as per drawings"
"95acd4f2-81bf-5d9d-b3a7-72b8515e860e","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W005.02","Opening wrapped & prepared correctly by others"
"6e80e531-e82a-4cc8-b05b-4729b725ec6d","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W005.02","Sill tray installed"
"3323e1b3-f820-4d51-8499-34cc491d15db","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W005.02","Check joinery is free of damage"
"849c5c51-8475-430e-a78f-96413c6962bf","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W005.02","Check frame and orientation is correct"
"22e1749e-3ddd-467b-a4ed-26655489925e","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W005.02","Fixing type and set out is in accordance with shop drawings"
"0017d916-20f9-448f-a86e-aa8b10c031e2","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W005.02","All fixings oversealed on frame and no tooling damage to frame"
"81d754ea-4ebb-4a81-89fe-cf346b6062f9","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W005.02","Internal air seal is in accordance with shop drawings (min. acceptable size 6mm)"
"7e166c09-8db0-45bd-9daa-5a7001dd5a10","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W005.02","Viridian supply glass free from defects for installation"
"a00a71c8-30f4-47bd-a371-a98cb68b2d59","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W005.02","Glass specification correct to the window type"
"341c80d2-31b0-4426-a4a8-5c4742a775a0","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W005.02","Beads reinstated correctly and wedged off completely"
"5caa8a8a-f25b-596c-bb1b-ca3437b0b84d","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W005.02","External flashings installed as per shop drawings"
"db4b3583-e1bf-4cfb-b0a9-ba2d931244a6","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W005.02","Rain shields"
"2f4ca4e8-c3bd-48d0-813c-bb05634d4cda","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W005.02","Rain shields"
"ee12ca29-bd6e-5a62-a8fa-832448953e14","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W005.02","Installed / Fixed As Per Shop Drawings"
"7538a6f9-9767-5fd1-a12a-c57a60b59c89","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W005.02","Airseals Completed (photo)"
"8d58134f-5614-5492-b528-99f71c4f879b","","checkpoint-status","not-started","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W005.02","Site Glazing Completed"
"7164d4c1-1445-555e-95fe-bf2b20874d5a","","checkpoint-status","not-started","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W005.02","Trade clean/protected"
"f9cd7fd4-c5e5-5c76-8564-618fa2a8d706","","checklist-flat","fail","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404","checklist-flat","FALSE","FALSE","Ground","D005.01"
"e02cad3c-4304-42d4-a0fd-7b23bf2dc743","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","D005.01","Opening and sill acceptable. All elements approved as per drawings"
"dc697cd9-da12-5557-b1b4-758715bac594","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","D005.01","Opening wrapped & prepared correctly by others"
"d8448144-4ebb-48f6-a85a-53ef8afb152c","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","D005.01","Sill tray installed"
"331d7579-5fdf-4eea-8e11-c9e47939cb28","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","D005.01","Check joinery is free of damage"
"9533e4a6-af09-43f4-bc04-c761cd08a4e6","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","D005.01","Check frame and orientation is correct"
"1fbdc823-73b3-4a57-9c69-a9d5dc7e6ca7","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","D005.01","Fixing type and set out is in accordance with shop drawings"
"903f75ee-b5d9-42c0-9b95-0ec4ea5fe869","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","D005.01","All fixings oversealed on frame and no tooling damage to frame"
"7c43c2ff-1109-4a1f-8dbc-9cd9c8c349fc","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","D005.01","Internal air seal is in accordance with shop drawings (min. acceptable size 6mm)"
"171dea1b-6d4a-4108-a529-1bbd09a40ea4","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","D005.01","Viridian supply glass free from defects for installation"
"74487614-b8b0-440f-9fdb-bf1e4ffebf9c","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","D005.01","Glass specification correct to the window type"
"eb9bc294-0904-4f33-82f1-9a7476ccc176","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","D005.01","Beads reinstated correctly and wedged off completely"
"9c85865f-d0f7-559c-a482-99c4cc108070","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","D005.01","External flashings installed as per shop drawings"
"482c4b3e-b603-4b8a-a40c-c8d3a373fa15","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","D005.01","Rain shields"
"0beeaacf-5a89-411c-a481-c52522844af9","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","D005.01","Rain shields"
"b61e519a-bde0-5a0a-a79a-15950413af0a","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","D005.01","Installed / Fixed As Per Shop Drawings"
"d662a049-fefb-516b-9ddb-50c6772a34ce","","checkpoint-status","pass","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","D005.01","Airseals Completed (photo)"
"93af7e1f-c4b1-5959-89c2-f6c031154eef","","checkpoint-status","fail","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","D005.01","Site Glazing Completed"
"edcd2822-5b20-5b03-9963-daf3afb46d7e","","checkpoint-status","not-started","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","D005.01","Trade clean/protected"
"1e811d67-a40d-5595-bf1c-7fefd5b2986f","","checklist-flat","not-started","5c2fff5a0f62b5c13f98ea2558086c0a691dbede4d2cccb12dca3e505cd98404","checklist-flat","FALSE","FALSE","Ground","W005.01"
