"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2378c659-7bcd-4197-8483-f0a24388bcdd","","folder-normal","","","step","TRUE","FALSE","Timesheets"
"2f558e5a-af02-4299-8fd6-3c5328ccd5e9","","folder-normal","","","step","TRUE","FALSE","Timesheets","23rd November - 29th November"
"f34b49fe-9af2-4620-baad-65d386f9e012","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Becker Nguyen"
"7cf62dd5-f0c3-48b1-8be1-61e5c64f3f84","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Ben Fenwick"
"68b53aa1-a4e7-4590-aae0-90fd300afde3","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Billy Jefford"
"b8c69924-318c-465f-bfff-baaac47904d5","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Blake Podnar"
"db120cad-9c25-4232-bd68-d88375a60e20","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Braydon Boyle"
"e2b3741e-55cc-49c9-9af5-f5fa25d646cb","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Brendon Young"
"c18edc1c-5e40-4a3d-8d6a-329bcbdc029f","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Brent Shaw"
"b40f7d28-d11d-44d5-912b-8dbac7acae3a","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Brett Maher"
"fed9eb9a-7e74-4fa5-8395-3cf72ee4e41e","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Chris Pulis"
"dccca3c5-56ae-4a64-b171-f7b0764c008d","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Con Sismanis"
"cd0c34f3-9952-4ef6-a012-9f67cf59f63e","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Craig Barnes"
"5e810f2c-8f77-4f89-95f3-4e87e804117a","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Dan O’Donohue"
"03d0ce91-bcfe-4561-bd8a-eb024d24b9ba","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Daniel Batchelor"
"787e3cc6-d90b-4559-925d-12a19e23d5f3","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Daniel Beaumont"
"9661bd1b-f5e4-4d6b-8628-674f9bc27413","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Daniel Gallop"
"e955584e-b7ca-40c0-8502-eb162c40c626","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Dave Steenhuis"
"8fb77663-6df5-4c4b-93af-377224dd103e","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","David Bell"
"65f7ad56-e9ff-4b5c-8072-1a5f54130bee","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Gary Colas"
"71a2de77-0395-44a1-a099-d6de27b9ab1a","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Jack Woodyard"
"a590f1a8-582f-42e3-abf7-5e48aa7e7f5b","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Jackson Large"
"e1f1d922-8ded-44ed-9622-fb458de70a57","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Jake Corbett-Large"
"665120bd-fbc9-4f2e-ada3-7d61218c3666","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","James Barlow"
"f77631b1-1f52-487a-bfa6-449131ef92fe","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","James Bennett"
"37de0b8b-5145-4ef9-bc4f-102a9048672e","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","James Tunstall"
