type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Style 1,,,,,,Style 1
checkpoint,Table,,,,,,
label,Vertical Distance Driven: 50 / Depth: 50,,,,,,
textbox,Number of blows,,,,,,
label,Vertical Distance Driven: 100 / Depth: 100,,,,,,
textbox,Number of blows,,,,,,
label,Vertical Distance Driven: 150 / Depth: 150,,,,,,
textbox,Number of blows,,,,,,
,,,,,,,
checklist-flat,Style 2,,,,,,Style 2
checkpoint,Table,,,,,,
textbox,Number of blows,,Vertical Distance Driven: 50 / Depth: 50,,,,
textbox,Number of blows,,Vertical Distance Driven: 100 / Depth: 100,,,,
textbox,Number of blows,,Vertical Distance Driven: 150 / Depth: 150,,,,
,,,,,,,
checklist-flat,Style 3,,,,,,Style 3
checkpoint,Table,,,,,,
textbox,Vertical Distance Driven: 50 / Depth: 50,,,Number of blows,,,
textbox,Vertical Distance Driven: 100 / Depth: 100,,,Number of blows,,,
textbox,Vertical Distance Driven: 150 / Depth: 150,,,Number of blows,,,
,,,,,,,
checklist-flat,Style 4,,,,,,Style 4
checkpoint,Table,,,,,,
textbox,Vertical Distance Driven: 50 / Depth: 50,,Number of blows,,,,
textbox,Vertical Distance Driven: 100 / Depth: 100,,Number of blows,,,,
textbox,Vertical Distance Driven: 150 / Depth: 150,,Number of blows,,,,
