"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"26ebe957-7f71-488a-8253-efa05a9269d0","","checklist-flat","not-started","Doors Checklist","checklist-flat","FALSE","FALSE","Doors"
"6c216873-b7d0-451e-a5b1-5ab9811a0745","","checklist-flat","not-started","GIB Lining","checklist-flat","FALSE","FALSE","GIB Lining"
"9d562078-49e2-460d-9833-8dcc3f9b4087","","checklist-flat","not-started","Internal Steel Stud Walls Checklist","checklist-flat","FALSE","FALSE","Internal Steel Stud Walls Checklist"
"1d4ffc49-f1f1-4f36-b676-f3b7c023a511","","checklist-flat","not-started","QA - Speedwall","checklist-flat","FALSE","FALSE","QA - Speedwall"
"82308d85-bfb1-4afc-93b5-94b6337680a4","","checklist-flat","not-started","Villaboard Checklist","checklist-flat","FALSE","FALSE","Villaboard"
"e5fa601d-7828-4ea9-9513-d2343a61d041","","folder-normal","work-in-progress","","step","TRUE","FALSE","VB (Vent Building)"
"3f05c24c-3fea-4245-afa5-7025a04199c1","","folder-normal","pass","","step","TRUE","FALSE","VB (Vent Building)","L-0"
"e5ff9af7-e36b-49c3-9929-df66dafe03b0","","checklist-flat","pass","GIB Lining","checklist-flat","FALSE","FALSE","VB (Vent Building)","L-0","GIB Lining"
"0f94433c-c28d-4ff2-9a20-20fef05c2721","","checklist-flat","pass","Internal Steel Stud Walls Checklist","checklist-flat","FALSE","FALSE","VB (Vent Building)","L-0","Internal Steel Stud Walls Checklist"
"482e0e34-592a-4ccd-a7f5-f4c8f6604b71","","folder-normal","pass","","step","TRUE","FALSE","VB (Vent Building)","L-1"
"35e7a2ce-19e5-48a4-8180-8885a5165d49","","folder-normal","pass","","step","TRUE","FALSE","VB (Vent Building)","L-1","Gib Lining "
"848c00dc-4118-438e-be90-2158a859f5d9","","checklist-flat","pass","GIB Lining","checklist-flat","FALSE","FALSE","VB (Vent Building)","L-1","Gib Lining ","GIB Lining"
"0ccb7c21-c93d-422c-a811-51f4c3cd5154","","checklist-flat","pass","Internal Steel Stud Walls Checklist","checklist-flat","FALSE","FALSE","VB (Vent Building)","L-1","Internal Steel Stud Walls Checklist"
"5eec0e9e-0de0-424e-8bcf-91407ff9794c","","folder-normal","pass","","step","TRUE","FALSE","VB (Vent Building)","L-2"
"84f43149-1638-4907-af40-20b43ced77ae","","checklist-flat","pass","Internal Steel Stud Walls Checklist","checklist-flat","FALSE","FALSE","VB (Vent Building)","L-2","Internal Steel Stud Walls Checklist"
"2cec43ce-49f3-4f65-acb5-8f6dc9cc2571","","checklist-flat","pass","GIB Lining","checklist-flat","FALSE","FALSE","VB (Vent Building)","L-2","GIB Lining"
"35c4b621-2710-4d34-9fe2-d6614ee81567","","folder-normal","work-in-progress","","step","TRUE","FALSE","VB (Vent Building)","L-3"
"31fc79ac-f18a-4b3c-a132-1a407a12345e","","checklist-flat","not-started","GIB Lining","checklist-flat","FALSE","FALSE","VB (Vent Building)","L-3","GIB Lining"
"4e1d512c-0189-4c7c-8e87-af02eadb6be9","","checklist-flat","work-in-progress","Internal Steel Stud Walls Checklist","checklist-flat","FALSE","FALSE","VB (Vent Building)","L-3","Internal Steel Stud Walls Checklist"
"a6763851-efc2-423f-b042-e27e8f4c855e","","folder-normal","work-in-progress","","step","TRUE","FALSE","STA"
"e1c31e56-1b28-488c-b86b-5d3a2ad8ae65","","folder-normal","no-status-not-started","","step","TRUE","FALSE","STA","FOH (front of house)"
"d400a0be-3575-400f-9b41-2da0368489a9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","STA","FOH (front of house)","L-0"
"fb579a6f-205e-4e19-9a48-3e21db1567b3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","STA","FOH (front of house)","L-1"
"75bd089d-271f-4e2f-9599-f7d66578ad0f","","folder-normal","work-in-progress","","step","TRUE","FALSE","STA","BOH (back of house)"
"e5d760ad-0b7c-449a-8275-ea11455dd721","","folder-normal","pass","","step","TRUE","FALSE","STA","BOH (back of house)","L-0"
"43ca905d-01c9-4517-a2a4-8493dc8471b5","","checklist-flat","pass","Internal Steel Stud Walls Checklist","checklist-flat","FALSE","FALSE","STA","BOH (back of house)","L-0","Internal Steel Stud Walls Checklist"
"f7b5ecbd-8ac8-44de-83c2-27daafd3585c","","folder-normal","work-in-progress","","step","TRUE","FALSE","STA","BOH (back of house)","L-1"
"bab67cec-6abd-42de-be71-c40bb78e7ef6","","checklist-flat","work-in-progress","Internal Steel Stud Walls Checklist","checklist-flat","FALSE","FALSE","STA","BOH (back of house)","L-1","Internal Steel Stud Walls Checklist"
"985183ba-8797-43f2-87db-a5691316e6dd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","NAL"
