"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f004b7af-b1f6-402b-b894-96090918b038","","no-status-not-started","","folder","TRUE","FALSE","A1401 Eva Copper Bulk Earthworks"
"7d85d0ae-3cbf-4d88-9de4-3418d4d2937e","","work-in-progress","","folder","TRUE","FALSE","Main Access Road (MAR)"
"24843c33-bba4-4e3d-ad77-c51e83ecd12f","","pass","","folder","TRUE","FALSE","Main Access Road (MAR)","MAR-Pre Construction (ITP-000)"
"3e96928c-d37e-4e84-bb43-759794579864","","pass","EVAMP001-THS-QA-ITP-0000 Pre-construction","checklist","FALSE","FALSE","Main Access Road (MAR)","MAR-Pre Construction (ITP-000)","MAR-Pre Construction (ITP-000)"
"d85b44c5-371c-4a09-9847-803f5a1cff4b","","pass","","folder","TRUE","FALSE","Main Access Road (MAR)","MAR-Clear & Grub (ITP-001)"
"601429a2-74bf-453d-a25e-49aedf0e3811","","pass","EVAMP001-THS-QA-ITP-0001 Clear & Grub","checklist","FALSE","FALSE","Main Access Road (MAR)","MAR-Clear & Grub (ITP-001)","MAR001.17_C&G"
"57e77821-f560-47f8-8240-56505ee41058","","pass","","folder","TRUE","FALSE","Main Access Road (MAR)","MAR-Topsoil Stripping (ITP-002)"
"b1c5091a-726d-4903-b920-92668d9e153f","","pass","EVAMP001-THS-QA-ITP-0002 Topsoil Stripping","checklist","FALSE","FALSE","Main Access Road (MAR)","MAR-Topsoil Stripping (ITP-002)","MAR001.017_TS"
"24f6d677-01bc-417a-999b-bf709c6e8293","","work-in-progress","","folder","TRUE","FALSE","Main Access Road (MAR)","MAR-Subgrade/Foundation Preparation (ITP-003)"
"5faede6d-452d-473d-9d83-053657020978","","work-in-progress","EVAMP001-THS-QA-ITP-0003 Subgrade/Foundation Preparation","checklist","FALSE","FALSE","Main Access Road (MAR)","MAR-Subgrade/Foundation Preparation (ITP-003)","ITP-003 Subgrade/Foundation Preparation-MAR-001 CH192 to CH265"
"dd921dce-64f6-4358-8403-c80cd07d931b","","work-in-progress","EVAMP001-THS-QA-ITP-0003 Subgrade/Foundation Preparation","checklist","FALSE","FALSE","Main Access Road (MAR)","MAR-Subgrade/Foundation Preparation (ITP-003)","ITP-003 Subgrade/Foundation Preparation-MAR-002"
"dfd435c3-f0c0-4b2f-b551-fc40fbf36967","","work-in-progress","EVAMP001-THS-QA-ITP-0003 Subgrade/Foundation Preparation","checklist","FALSE","FALSE","Main Access Road (MAR)","MAR-Subgrade/Foundation Preparation (ITP-003)","ITP-003 Subgrade/Foundation Preparation-MAR-003"
"daf905da-f777-4c54-a111-92e86f98d02b","","work-in-progress","EVAMP001-THS-QA-ITP-0003 Subgrade/Foundation Preparation","checklist","FALSE","FALSE","Main Access Road (MAR)","MAR-Subgrade/Foundation Preparation (ITP-003)","ITP-003 Subgrade/Foundation Preparation-MAR-004 CH732 to CH1050"
