Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,
b3c00575-27e4-4cec-93d0-1946f3ac9c32,,checklist-flat,pass,Job Details,checklist-flat,FALSE,FALSE,Anura - Project Details,,,,
29708d97-b72f-4c59-9304-2e1559467480,,folder-normal,fail,,step,TRUE,FALSE,Manufacture QA,,,,
4fd240fd-59b5-426e-8645-e8ab19fad1db,,folder-normal,not-started,,step,TRUE,FALSE,Manufacture QA,Level 2,,,
78d56342-1876-49c7-a099-34d39c56f250,,folder-normal,not-started,,step,TRUE,FALSE,Manufacture QA,Level 2,Panel,,
74145a68-b3e4-4beb-a89c-6bc6b476ec42,,checklist-sectioned,not-started,b123e3655235079d5f63409d853b55cf0f3634d2c9e198273f0dfc574fd8747f,checklist,FALSE,FALSE,Manufacture QA,Level 2,Panel,Feb-63,DONE
699aa386-f07d-49bf-9c7f-fdac981ebece,,folder-normal,fail,,step,TRUE,FALSE,Manufacture QA,Level 3,,,
4635d365-3c1e-40be-865e-ca375962ec00,,folder-normal,work-in-progress,,step,TRUE,FALSE,Manufacture QA,Level 3,Balustrade,,
b7d6b6da-98e4-48c0-a4de-030463ecbf4b,,checklist-sectioned,work-in-progress,b123e3655235079d5f63409d853b55cf0f3634d2c9e198273f0dfc574fd8747f,checklist,FALSE,FALSE,Manufacture QA,Level 3,Balustrade,3-Jul,
2d77e205-79fe-43a2-b9bc-8951878e5e98,,folder-normal,fail,,step,TRUE,FALSE,Manufacture QA,Level 3,Panel,,
4c1c4192-ec3f-4714-ad5f-0511d464af73,,checklist-sectioned,work-in-progress,b123e3655235079d5f63409d853b55cf0f3634d2c9e198273f0dfc574fd8747f,checklist,FALSE,FALSE,Manufacture QA,Level 3,Panel,Mar-41,
f579402b-b3de-478b-b4b3-09929d04bb65,,checklist-sectioned,work-in-progress,b123e3655235079d5f63409d853b55cf0f3634d2c9e198273f0dfc574fd8747f,checklist,FALSE,FALSE,Manufacture QA,Level 3,Panel,Mar-42,
