"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1bb25d48-378c-43ac-9f29-19fc8b62793e","","checklist-sectioned","not-started","QA-Fire Rated Bulkhead for Steel penetration to Korok Wall/Promatect","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B2","Floor Based Work","Fire Rated Bulkhead for Steel penetration to Korok Wall/Promatect"
"e164a0c5-c966-4385-89a2-e514f0e45fb1","","checklist-sectioned","not-started","QA-Steel Stud Internal Wall framing and insulation","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B2","Floor Based Work","Steel Stud Internal Wall framing and insulation"
"2b8e9de5-5b26-4f16-bc48-ec525640f97e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B2","Floor Based Work","GIB Plasterboard Wall Lining"
"c9ae339f-62fd-4d54-933e-234a6bd3e7ce","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B2","Floor Based Work","Fibrecement Board Wall Lining"
"55f65c5a-7620-4150-9882-47e9ff9a2610","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B2","Floor Based Work","Ceiling Grid and insulation"
"fc3751b3-105b-440d-a60d-f99d4b4baa09","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B2","Floor Based Work","Ceiling Lining"
"4768d84e-d8fa-4ff4-8de0-aeb3c15b4ad9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B2","Floor Based Work","Door Installation"
"65aa88ab-2a59-4d7f-9ed9-fa4ad4c186d2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B2","Floor Based Work","Promatect Framing and lining"
"3fd07163-1077-4e69-90cc-ca1cf442b2ee","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B2","Apt Lift Lobby"
"49986c32-0b44-4b91-b0c2-1ba780f42b36","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead Framing","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B2","Apt Lift Lobby","Fire Rated Timber Bulkhead Framing"
"696840a3-860f-4801-8571-5d30f0d498ad","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead lining","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B2","Apt Lift Lobby","Fire Rated Timber Bulkhead lining"
"0dad1fa3-7aa3-46e5-a405-f0991df45ea7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B2","Podium Lift Lobby"
"6182c347-182e-4498-8690-1ae210a59e37","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead Framing","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B2","Podium Lift Lobby","Fire Rated Timber Bulkhead Framing"
"9ba9f917-3033-45cc-b457-3ed8b5f22fdd","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead lining","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B2","Podium Lift Lobby","Fire Rated Timber Bulkhead lining"
"5f716b01-b9ee-46eb-9080-2d875120a2ba","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B2","East Stair"
"f7f9106f-9550-4f75-8be0-3c4aea5a261d","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead Framing","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B2","East Stair","Fire Rated Timber Bulkhead Framing"
"f132ca8f-690d-481c-b8cf-b78d93e059eb","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead lining","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B2","East Stair","Fire Rated Timber Bulkhead lining"
"c0c3b581-52a4-4d45-9f9d-4a0109bf84d3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B2","Stair lobby"
"a96eae45-2fe2-429e-9ad3-9ab5b19a2cbf","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead Framing","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B2","Stair lobby","Fire Rated Timber Bulkhead Framing"
"d808f83e-d4f1-4b51-9506-16a2434d79b1","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead lining","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B2","Stair lobby","Fire Rated Timber Bulkhead lining"
"9db9dfa5-ebab-4381-9a3d-414f496b128f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B1"
"e239a21c-9cdf-451e-a5a1-628ff68b47da","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B1","Floor Based Work"
