"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall progress"
,"Scope",,
,"Rows"
,,"b03 - Basement - Area A","dynamic","b03","basement","area a"
,,"b03 - Basement - area B","dynamic","b03","basement","area b"
,,"b04 - BAsement - area a","dynamic","basement","area a","b04"
,,"b04 - Basement - Area B","dynamic","basement","area b","b04"
,,"rw4","dynamic","rw4"
,,"rw5","dynamic","rw5"
,,"rw6","dynamic","rw6"
,,"rw10","dynamic","rw10"
,,"rw11","dynamic","rw11"
,,"rw12","dynamic","rw12"
,"Columns"
,,"blockwork setout/pre start qa",,"blockwork setout/pre start qa"
,,"blockwall prepour",,"blockwall prepour"
,,"blockwall pour",,"blockwall pour"

