resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,step,,,Unit 7-9 ,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist ,Underfootings Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 5-3,,,,,,,
,,,step,,,Unit 10-13,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist ,Underfootings Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 5-12,,,,,,,
,,,step,,,Unit 14-17,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist ,Underfootings Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 5-21 ,,,,,,,
,,,step,,,Unit 26-30,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist ,Underfootings Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 3-10 ,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist ,Underfootings Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 3-9 ,,,,,,,
,,,step,,,Unit 31-35,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist ,Underfootings Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 3-4,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist ,Underfootings Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 3-3,,,,,,,
,,,step,,,Unit 39-42,,,,,,,,
Pre-construction Concrete Substrate Readiness Checklist ,Underfootings Checklist,Vertical Checklist,folder-with-checklists,,,,Grid 2-3,,,,,,,
