"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,,"site qa"
,"Rows"
,,"Rough In - Building A","dynamic","building a","rough in"
,,"Rough In - Building B","dynamic","building b","rough in"
,,"Fit Off - Building A","dynamic","building a","fit off"
,,"Fit Off - Building B","dynamic","building b","fit off"
,,"Fire Penetrations - Building A - B1","dynamic","building a","fire penetrations","b1"
,,"Fire Penetrations - Building A - Ground","dynamic","building a","fire penetrations","ground"
,,"Fire Penetrations - Building A - Level 1","dynamic","level 1","building a","fire penetrations"
,,"Fire Penetrations - Building A - Level 2","dynamic","building a","fire penetrations","level 2"
,,"Fire Penetrations - Building A - Level 3","dynamic","building a","fire penetrations","level 3"
,,"Fire Penetrations - Building B - Ground","dynamic","fire penetrations","ground","building b"
,,"Fire Penetrations - Building B - Level 1","dynamic","level 1","fire penetrations","building b"
,,"Fire Penetrations - Building B - Level 2","dynamic","fire penetrations","level 2","building b"
,,"Fire Penetrations - Building B - Level 3","dynamic","fire penetrations","building b","level 3"
,,"Fire Penetrations - Building B - Level 4","dynamic","level 4","fire penetrations","building b"
,,"Fire Penetrations - Building B - Level 5","dynamic","level 5","fire penetrations","building b"
,,"Fire Penetrations - Building B - Level 6","dynamic","fire penetrations","level 6","building b"
,,"Fire Penetrations - Building B - Level 7","dynamic","fire penetrations","building b","level 7"
,"Columns"
,,"QA",,"site qa"

