Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,Fit Off,,,,,Yes,Fit Off Checklist,4ee04e8b-f778-471e-8b6e-652366db22f5
checkpoint-group,,,section,Kitchen Fit Off,,,,,,,
checkpoint-status,,,checkpoint,Kitchen Mini Stops,,,,,,,
checkpoint-status,,,checkpoint,Kitchen Sink Waste,,,,,,,
checkpoint-status,,,checkpoint,Kitchen Sink Mixer,,,,,,,
checkpoint-status,,,checkpoint,Kitchen Dishwasher,,,,,,,
checkpoint-status,,,checkpoint,Kitchen Cooktop,,,,,,,
checkpoint-group,,,section,Female Bathroom Fit Off,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Shower Mixer,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Shower Rail/Rose,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Basin,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Basin Mixer,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Bottle Trap,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Toilet,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Urinal,,,,,,,
checkpoint-status,,,checkpoint,Floor wastes - cleared of blockages,,,,,,,
checkpoint-group,,,section,Male Bathroom Fit Off,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Shower Mixer,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Shower Rail/Rose,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Basin,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Basin Mixer,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Bottle Trap,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Toilet,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Urinal,,,,,,,
checkpoint-status,,,checkpoint,Floor wastes - cleared of blockages,,,,,,,
checkpoint-group,,,section,DDA Bathroom Fit Off,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Shower Mixer,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Shower Rail/Rose,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Basin,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Basin Mixer,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Bottle Trap,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Toilet,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Urinal,,,,,,,
checkpoint-status,,,checkpoint,Floor wastes - cleared of blockages,,,,,,,
