"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Formwork Pre Pour Inspection Checklist"
,"Scope",,
,"Rows"
,,"Tower A","grouping","tower a"
,,"Ground Floor - Columns",,"ground floor","site qa","tower a","columns"
,,"Ground Floor - Core 1 Lobby",,"ground floor","site qa","tower a","core 1 lobby"
,,"Ground Floor - Core 2 Lobby",,"ground floor","core 2 lobby","site qa","tower a"
,,"Ground Floor - Stairs",,"ground floor","site qa","tower a","stairs"
,,"Level 1 - Slab",,"site qa","tower a","pre-pour","level 1","slab"
,,"Level 1 - Stairs",,"site qa","tower a","level 1","stairs"
,,"Level 1 - Columns",,"site qa","tower a","level 1","columns"
,,"Level 1 - Core 1 Lobby",,"site qa","tower a","level 1","core 1 lobby"
,,"Level 1 - Core 2 Lobby",,"core 2 lobby","site qa","tower a","level 1"
,,"Level 2 - Slab",,"site qa","tower a","pre-pour","level 2","slab"
,,"Level 2 - Stairs",,"site qa","tower a","level 2","stairs"
,,"Level 2 - Columns",,"site qa","tower a","level 2","columns"
,,"Level 2 - Core 1 Lobby",,"site qa","tower a","level 2","core 1 lobby"
,,"Level 2 - Core 2 Lobby",,"core 2 lobby","site qa","tower a","level 2"
,,"Level 3 - Slab",,"site qa","tower a","pre-pour","level 3","slab"
,,"Level 3 - Stairs",,"site qa","tower a","level 3","stairs"
,,"Level 3 - Columns",,"site qa","tower a","columns","level 3"
,,"Level 3 - Core 1 Lobby",,"site qa","tower a","core 1 lobby","level 3"
,,"Level 3 - Core 2 Lobby",,"core 2 lobby","site qa","tower a","level 3"
,,"Level 4 - Slab",,"level 4","site qa","tower a","pre-pour","slab"
,,"Level 4 - Stairs",,"level 4","site qa","tower a","stairs"
,,"Level 4 - Columns",,"level 4","site qa","tower a","columns"
,,"Level 4 - Core 1 Lobby",,"level 4","site qa","tower a","core 1 lobby"
,,"Level 4 - Core 2 Lobby",,"level 4","core 2 lobby","site qa","tower a"
,,"Level 5 - Slab",,"level 5","site qa","tower a","pre-pour","slab"
,,"Level 5 - Stairs",,"level 5","site qa","tower a","stairs"
,,"Level 5 - Columns",,"level 5","site qa","tower a","columns"
,,"Level 5 - Core 1 Lobby",,"level 5","site qa","tower a","core 1 lobby"
,,"Level 5 - Core 2 Lobby",,"level 5","core 2 lobby","site qa","tower a"
,,"Level 6 - Slab",,"level 6","site qa","tower a","pre-pour","slab"
,,"Level 6 - Stairs",,"level 6","site qa","tower a","stairs"
,,"Level 6 - Columns",,"level 6","site qa","tower a","columns"
,,"Level 6 - Core 1 Lobby",,"level 6","site qa","tower a","core 1 lobby"
,,"Level 6 - Core 2 Lobby",,"core 2 lobby","level 6","site qa","tower a"
,,"Level 7 - Slab",,"site qa","tower a","level 7","pre-pour","slab"
,,"Level 7 - Stairs",,"site qa","tower a","level 7","stairs"
,,"Level 7 - Columns",,"site qa","tower a","level 7","columns"
,,"Level 7 - Core 1 Lobby",,"site qa","tower a","level 7","core 1 lobby"
,,"Level 7 - Core 2 Lobby",,"core 2 lobby","site qa","tower a","level 7"
,,"Level 8 - Slab",,"site qa","tower a","level 8","pre-pour","slab"
,,"Level 8 - Stairs",,"site qa","tower a","level 8","stairs"
,,"Level 8 - Columns",,"site qa","tower a","level 8","columns"
,,"Level 8 - Core 1 Lobby",,"site qa","tower a","level 8","core 1 lobby"
,,"Level 8 - Core 2 Lobby",,"core 2 lobby","site qa","tower a","level 8"
,,"Level 9 - Slab",,"site qa","tower a","pre-pour","level 9","slab"
,,"Level 9 - Stairs",,"site qa","tower a","level 9","stairs"
,,"Level 9 - Columns",,"site qa","tower a","level 9","columns"
,,"Level 9 - Core 1 Lobby",,"site qa","tower a","level 9","core 1 lobby"
,,"Level 9 - Core 2 Lobby",,"core 2 lobby","site qa","tower a","level 9"
,,"Level 10 - Slab",,"level 10","site qa","tower a","pre-pour","slab"
,,"Level 10 - Stairs",,"level 10","site qa","tower a","stairs"
,,"Level 10 - Columns",,"level 10","site qa","tower a","columns"
,,"Level 10 - Core 1 Lobby",,"level 10","site qa","tower a","core 1 lobby"
,,"Level 10 - Core 2 Lobby",,"core 2 lobby","level 10","site qa","tower a"
,,"Level 11 - Slab",,"site qa","tower a","pre-pour","level 11","slab"
,,"Level 11 - Stairs",,"site qa","tower a","level 11","stairs"
,,"Level 11 - Columns",,"site qa","tower a","level 11","columns"
,,"Level 11 - Core 1 Lobby",,"site qa","tower a","level 11","core 1 lobby"
,,"Level 11 - Core 2 Lobby",,"core 2 lobby","site qa","tower a","level 11"
,,"Level 12 - Slab",,"site qa","tower a","level 12","pre-pour","slab"
