"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"536d5ddf-b820-4b80-b9b5-635074f9a0e8","","checklist-flat","work-in-progress","A181 - West Dapto - ITC 005 (ITP005) - Pre-Commencement","checklist-flat","FALSE","FALSE","A181 - West Dapto - ITC 005 (ITP005) - Pre-Commencement"
"0a590738-09ae-541f-9e30-e383b2559a50","","checkpoint-status","work-in-progress","","","TRUE","TRUE","A181 - West Dapto - ITC 005 (ITP005) - Pre-Commencement","1 - Preparation Works"
"65bad29f-e38a-5340-aa28-082955f55cea","","checkpoint-status","work-in-progress","","","TRUE","TRUE","A181 - West Dapto - ITC 005 (ITP005) - Pre-Commencement","2 - Pre-start Documentation"
"d4c3877f-ee98-5ae8-90a7-f95055397a48","","checkpoint-status","work-in-progress","","","TRUE","TRUE","A181 - West Dapto - ITC 005 (ITP005) - Pre-Commencement","3 - Site Compound Facility Details"
"d79e5bff-0869-5938-8576-6a3b27a43cb1","","checkpoint-status","work-in-progress","","","TRUE","TRUE","A181 - West Dapto - ITC 005 (ITP005) - Pre-Commencement","4 - Client Accommodation Details"
"d8637cff-e8aa-5d5f-887d-3b16819227d0","","checkpoint-status","work-in-progress","","","TRUE","TRUE","A181 - West Dapto - ITC 005 (ITP005) - Pre-Commencement","5 - Environmental Management Plan"
"ddf4fc59-a6d3-5fa8-942f-b7bf0a2511c6","","checkpoint-status","not-started","","","TRUE","TRUE","A181 - West Dapto - ITC 005 (ITP005) - Pre-Commencement","6 - Unexpected Finds"
"b2dd58d0-18a8-5f4a-a1d8-1afaa946a3a0","","checkpoint-status","not-started","","","TRUE","TRUE","A181 - West Dapto - ITC 005 (ITP005) - Pre-Commencement","7 - Non-Conforming Items"
"28ea6f96-14f8-50c6-bdb6-11c69945de91","","checkpoint-status","not-started","","","TRUE","TRUE","A181 - West Dapto - ITC 005 (ITP005) - Pre-Commencement","8 - Removal or Rectification of Enviro. Issues"
"15daaa04-980e-5028-b6a6-c3bb33755b4f","","checkpoint-status","work-in-progress","","","TRUE","TRUE","A181 - West Dapto - ITC 005 (ITP005) - Pre-Commencement","9 - Submission of Control Plans"
"e8d2f6ab-f2a0-591e-85bb-bd4d05e9d9d8","","checkpoint-status","work-in-progress","","","TRUE","TRUE","A181 - West Dapto - ITC 005 (ITP005) - Pre-Commencement","10 - Submit ESCP"
