ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"common areas - level 1","dynamic","common areas","level 1"
,,"common areas - level 2","dynamic","common areas","level 2"
,,"common areas - level 3",,"common areas","level 3"
,,"common areas - level 4","dynamic","level 4","common areas"
,,"common areas - level 5","dynamic","common areas","level 5"
,,"Als 151","dynamic","level 1","als 151","als apartments"
,,"als 152","dynamic","als 152","level 1","als apartments"
,,"als 154","dynamic","level 1","als 154"
,,"als 155","dynamic","level 1","als 155"
,,"als 251","dynamic","als 251","level 2"
,,"als 252","dynamic","als 252","level 2"
,,"als 253","dynamic","level 2","als 253"
,,"als 254","dynamic","als 254","level 2"
,,"als 255","dynamic","als 255","level 2"
,,"als 256","dynamic","als 256","level 2"
,,"als 257","dynamic","level 2","als 257"
,,"als 258","dynamic","als 258","level 2"
,,"als 259","dynamic","als 259","level 2"
,,"als 260","dynamic","level 2","als 260"
,,"als 261","dynamic","als 261","level 2"
,,"als 262","dynamic","als 262","level 2"
,,"als 351","dynamic","als 351","level 3"
,,"als 352","dynamic","level 2","als 352"
,,"als 353","dynamic","als 353","level 3"
,,"als 354","dynamic","als 354","level 3"
,,"als 355","dynamic","als 355","level 3"
,,"als 356","dynamic","als 356","level 3"
,,"als 357","dynamic","als 357","level 3"
,,"als 358","dynamic","als 358","level 3"
,,"als 359","dynamic","als 359","level 3"
,,"als 360","dynamic","als 360","level 3"
,,"als 361","dynamic","als 361","level 3"
,,"als 362","dynamic","als 362","level 3"
,,"als 451","dynamic","level 4","als 451"
,,"als 452","dynamic","level 4","als 452"
,,"als 453","dynamic","level 4","als 453"
,,"als 454","dynamic","als 454","level 4"
,,"als 455","dynamic","level 4","als 455"
,,"als 456","dynamic","level 4","als 456"
,,"als 457","dynamic","level 4","als 457"
,,"als 458","dynamic","als 458","level 4"
,,"als 459","dynamic","level 4","als 459"
,,"als 460","dynamic","level 4","als 460"
,,"als 461","dynamic","als 461","level 4"
,,"als 462","dynamic","level 4","als 462"
,,"als 551","dynamic","level 5","als 551"
,,"als 552","dynamic","als 552","level 5"
,,"als 553","dynamic","als 553","level 5"
,,"als 554","dynamic","level 5","als 554"
,,"als 555","dynamic","level 5","als 555"
,,"als 556","dynamic","als 556","level 5"
,,"als 557","dynamic","als 557","level 5"
,,"als 558","dynamic","level 5","als 558"
,,"als 559","dynamic","level 5","als 559"
,,"als 560","dynamic","als 560","level 5"
,,"als 561","dynamic","level 5","als 561"
,"Columns"
,,"prestart - screeding",,"screeding","prestart"
,,"install - screeding",,"screeding","install"
,,"handover - screeding",,"screeding","handover"
,,"cork/ soundproofing",,"cork/ soundproofing"
,,"prestart - waterproofing",,"prestart","waterproofing"
,,"install - waterproofing",,"install","waterproofing"
,,"handover - waterproofing",,"handover","waterproofing"
,,"prestart - tiling",,"prestart","tiling"
,,"install - tiling",,"install","tiling"
,,"handover - tiling",,"handover","tiling"
,,"prestart - facade",,"prestart","façade tiling"
,,"install - facade",,"install","façade tiling"
,,"handover - facade",,"handover","façade tiling"

