"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"17fdb9f9-aa79-4b8a-a66d-a3c07ae21990","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 3","D306B"
"3ba821ba-ee28-4a6a-9e4b-ad2219c3f478","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 3","D307B"
"c7bca50f-7a44-4a3c-890c-b95a985358cf","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 3","D308B"
"7846168d-0723-4200-988f-855d5608b3d1","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 3","D309B"
"77251a88-5709-416f-8858-33c5fea45de5","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 3","D310B"
"84570eec-0dd3-4d54-9a95-28779eebdabe","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 3","W3.20"
"648ac4d9-bea8-417f-b0ef-41580ba8c221","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 3","W3.21"
"620f36fb-ef09-4f58-ba79-61c3cc4ae75e","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 3","W3.22"
"f4ce8403-c3b2-4e51-bf04-e774c63eb1bb","","","","folder","TRUE","FALSE","STAGE 1","LEVEL 4"
"c0f9e80e-b7f8-406c-b3cf-9f5bdbf823b1","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 4","D401B"
"0467bebd-20c2-4ad7-8982-fe433c8d022c","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 4","D402B"
"31107599-cee0-4d52-8b0e-1cf9f7eb1ce3","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 4","D403B"
"6f9c47d6-a572-47db-8824-979d0c62ad32","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 4","D404B"
"5f165daa-bd3c-4e61-b297-3e8b6ac190e3","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 4","D405B"
"35b6793b-6223-4baa-a12b-15dc4c6af4cd","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 4","D406B"
"b276aa42-8431-4a67-89a1-722fd8507ecd","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 4","D407B"
"95ae7c9d-22ec-4b36-8b08-51a228a26d41","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 4","D408B"
"47adcef9-b7ec-4aba-a7e5-6455a4cb236b","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 4","D409B"
"47963501-c94d-44d8-8590-f60a8ef0ac0f","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 4","D410B"
"2df72764-b708-4da9-8c7b-930aa7d9c813","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 4","W4.20"
"c5333195-0261-4be2-826a-e66e2ce30a25","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 4","W4.21"
"92177d9b-fb7e-425a-a622-0027d0ad533e","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 4","W4.22"
"bf3be415-f0f4-41e8-9dde-9257190d5797","","","","folder","TRUE","FALSE","STAGE 1","LEVEL 5"
"57887288-e2df-43ec-b946-d169b450f461","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 5","D501B"
"00fc8dd5-49ff-4f3b-987d-f6d415349e25","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 5","D502B"
"d49921dc-a09b-46e4-8f9c-f396e8f2915d","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 5","D503B"
"6c8e3618-cd96-4175-a38a-b8f2f8b4d29e","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 5","D504B"
"f3d8b4bb-107d-4ad1-ae86-93d7ab0e7a54","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 5","D505B"
"9dc93da6-f5de-4447-93c7-8eaec52cbc44","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 5","D506B"
"1255a108-156a-4ced-9d03-3ec5935fb677","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 5","D507B"
"b49c8a44-664b-4b99-bcc3-27538ad089cc","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 5","D508B"
"c2241001-a463-46b7-8e57-7b86ee0baa03","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 5","D509B"
"f23a0f6b-bad1-4298-8ace-0011dd3b5729","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 5","D510B"
"b98761b1-460f-4f84-a430-47bff059d8f5","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 5","W5.20"
"b12d487f-54f4-4c5c-8793-eb9defb28322","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 5","W5.21"
"41cdb8f4-4d8c-4386-a290-9d6bf2b2f31b","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 1","LEVEL 5","W5.22"
"78f4cb1d-a320-4f9b-8639-84354022050c","","","","folder","TRUE","FALSE","STAGE 2"
"074e9730-2b6f-431c-b74b-1283b4a15928","","","","folder","TRUE","FALSE","STAGE 2","INTERNAL"
"dc213382-7586-4b68-a6b5-381405d96be6","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","INTERNAL","00.02B"
"4f125e81-c629-4c7d-8d66-fb706f2be9f0","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","INTERNAL","00.02C"
"034e1a37-ee81-4669-a31d-38de0eb76187","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","INTERNAL","00.06A"
"a0de6f4a-1c42-489c-ba52-ebc88a7a68dd","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","INTERNAL","00.07A"
"e46fdeae-76ac-42b9-9c28-76aa59867db2","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","INTERNAL","00.08C"
"e8b1cfc4-7f87-4d2c-9533-24f0ccaff0a0","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","INTERNAL","00.16A"
"b35b6f78-4979-440f-9476-364800f95b88","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","INTERNAL","00.18A"
"dc8e1167-1aa4-4114-9b36-479d98be02bb","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","INTERNAL","CT-W01"
"73ee6ba3-cd26-4558-98df-304bc6e06936","","","","folder","TRUE","FALSE","STAGE 2","GROUND"
"bd4b25ff-1f18-43b7-a708-17d7cb99f33a","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","GROUND","DG.01"
"e4e2799c-c4c9-4346-9817-af8d6f840431","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","GROUND","DG.02"
"05629a31-9646-48fe-9622-f9d75bda40de","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","GROUND","LVG.01"
"427f1512-20af-4022-9641-bb7df61e6aed","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","GROUND","LVG.02"
"aa0e43c7-8a19-4e8e-b248-28913f25882e","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","GROUND","LVG.03"
"5d4e3265-44b3-4992-800d-a8b26bbe2f74","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","GROUND","LVG.04"
"08ddc1b3-11c8-4d70-a8ef-c5d181d074bd","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","GROUND","WG.03"
"ce467c3c-f156-436b-b927-643b5af2bcca","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","GROUND","WG.04"
"a7f8d8d6-6074-4cbb-8d2f-c6ea32e46dba","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","GROUND","WG.05"
"6896da3a-0ebb-477c-92d6-81e25b0ff10c","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","GROUND","WG.06"
