resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Site Establishment and Safety Checklist,,,,checklist,,,OHS,,,,,,,,
,,,,step,,,Ductwork,,,,,,,,
Ductwork Checklist,Fire Damper Checklist,Grille Fit-Off Checklist,,folder-with-checklists,,,,"2072-MCN-D-3501, North",,,,,,,
Ductwork Checklist,Fire Damper Checklist,Grille Fit-Off Checklist,,folder-with-checklists,,,,"2072-MCN-D-3502, South",,,,,,,
,,,,step,,,Pipework,,,,,,,,
Pipework Checklist,Pipework Testing Checklist,,,folder-with-checklists,,,,"2072-MCN-D-3501, North",,,,,,,
Pipework Checklist,Pipework Testing Checklist,,,folder-with-checklists,,,,"2072-MCN-D-3502, South",,,,,,,
,,,,step,,,CRAC,,,,,,,,
CRAC Unit Checklist,Drains Checklist,,,folder-with-checklists,,,,CRAC-L35-01,,,,,,,
CRAC Unit Checklist,Drains Checklist,,,folder-with-checklists,,,,CRAC-L35-02,,,,,,,
,,,,step,,,FCU,,,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,folder-with-checklists,,,,PAC-35-01,,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,folder-with-checklists,,,,PAC-35-02,,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,folder-with-checklists,,,,PAC-35-03,,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,folder-with-checklists,,,,PAC-35-04,,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,folder-with-checklists,,,,PAC-35-05,,,,,,,
Fan Coil Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,folder-with-checklists,,,,PAC-35-06,,,,,,,
,,,,step,,,Fans,,,,,,,,
Fan Checklist,,,,folder-with-checklists,,,,EAF-35-01,,,,,,,
Fan Checklist,,,,folder-with-checklists,,,,EAF-35-02,,,,,,,
Fan Checklist,,,,folder-with-checklists,,,,EAF-35-03,,,,,,,
Fan Checklist,,,,folder-with-checklists,,,,EAF-35-04,,,,,,,
Fan Checklist,,,,folder-with-checklists,,,,EAF-35-05,,,,,,,
