Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Overall Progress,,,,,,
,Scope,,,,,
,Rows,,,,,
,,Ground Floor,grouping,Ground Floor,,
,,Ground Floor - Sill Tray,dynamic,Sill Tray,Ground Floor,Curtain Wall QA
,,Ground Floor - Brackets,dynamic,Brackets,Ground Floor,Curtain Wall QA
,,Ground Floor - Fixed Curtain Wall,dynamic,Fixed Curtain Wall,Ground Floor,Curtain Wall QA
,,Ground Floor - Seismic Jamb,dynamic,Seismic Jamb,Ground Floor,Curtain Wall QA
,,Mezzanine,grouping,Mezzanine,,
,,Mezzanine - Brackets,dynamic,Brackets,Mezzanine,Curtain Wall QA
,,Mezzanine - Fixed Curtain Wall,dynamic,Fixed Curtain Wall,Mezzanine,Curtain Wall QA
,,Mezzanine - Seismic Jamb,dynamic,Seismic Jamb,Mezzanine,Curtain Wall QA
,Columns,,,,,
,,Sill tray,,Sill tray,,
,,"Bracket (Type A, B, C & D)",,Brackets,,
,,Seismic Jamb,,Seismic Jamb,,
,,Curtain wall installation (ground floor),,Curtain wall installation (ground floor),,
,,Curtain wall installation (Mezzanine),,Curtain wall installation (Mezzanine),,
,,"Trade Clean (Reported damages, Finished product)",,"Trade Clean (Reported damages, Finished product)",,
,,,,,,
Ground Floor - Detailed Progress,,,,,,
,Scope,,,Ground Floor,,
,Rows,,,,,
,,Sill Tray,dynamic,Sill Tray,Ground Floor,Curtain Wall QA
,,Brackets,dynamic,Brackets,Ground Floor,Curtain Wall QA
,,Fixed Curtain Wall,dynamic,Fixed Curtain Wall,Ground Floor,Curtain Wall QA
,,Seismic Jamb,dynamic,Seismic Jamb,Ground Floor,Curtain Wall QA
,Columns,,,,,
,,Sill Tray - Gutter Splice,,Gutter Splice,,
,,Sill Tray - Hole centers,,Hole centers (Max 450 centers),,
,,Sill Tray - Correct packing,,Correct packing,,
,,Sill Tray - Internal Weather Seal,,Internal Weather Seal,,
,,Sill Tray - External Weather Seal,,External Weather Seal,,
,,Sill Tray - External flashing,,External flashing,,
,,Sill Tray - Bolt hole seal,,Bolt hole seal,,
,,Sill Tray - Correct height/Position on the gridline,,Correct height/Position on the gridline,,
,,Sill Tray - End dam installed/sealed,,End dam installed/sealed,,
,,Sill Tray - Internal angle,,Internal angle,,
,,Bracket - 2x M12 316 Stainless Steel Dynabolt fixings,,2x M12 316 Stainless Steel Dynabolt fixings (70mm min),,
,,Bracket - Installed in correct location according to drawings,,Installed in correct location according to drawings,,
,,Curtain Wall - Set to correct/same height,,Set to correct/same height (Using M8 bolt facade system) (Level),,
,,Curtain Wall - Gutter Splice,,Gutter Splice,,
,,Curtain Wall - Mullion spacing,,Mullion spacing,,
,,Curtain Wall - Fireproofing installed,,Fireproofing installed (by others),,
,,Curtain Wall - Internal flashing installed to mezzanine level,,Internal flashing installed to mezzanine level,,
,,Curtain Wall - Internal Sealant,,Internal Sealant (if any),,
,,Curtain Wall - Vertical accuracy,,Vertical accuracy (Plumb),,
,,"Trade Clean - Remove unnecessary packers, glass stickers",,"Remove unnecessary packers, glass stickers",,
,,Trade Clean - Remove excess silicone,,Remove excess silicone (if any),,
,,Trade Clean - Damages to product,,"Damages to product (Scratches, dents, etc.)",,
,,Seismic Jamb - Concrete primer,,Concrete primer (Sika Primer),,
,,Seismic Jamb - Galvanised steel angle installed in correct position,,Galvanised steel angle installed in correct position,,
,,Seismic Jamb - M8 316 Stainless steel dynabolts installed,,M8 316 Stainless steel dynabolts installed (Max 450 centers),,
,,Seismic Jamb - Jamb installed to correct orientation,,Jamb installed to correct orientation,,
,,Seismic Jamb - Internal flashing/Seal,,Internal flashing/Seal,,
,,Seismic Jamb - External Flashing/Seal,,External Flashing/Seal,,
,,,,,,
Mezzanine - Detailed Progress,,,,,,
,Scope,,,Mezzanine,,
,Rows,,,,,
,,Brackets,dynamic,Brackets,Mezzanine,Curtain Wall QA
,,Fixed Curtain Wall,dynamic,Fixed Curtain Wall,Mezzanine,Curtain Wall QA
,,Seismic Jamb,dynamic,Seismic Jamb,Mezzanine,Curtain Wall QA
,Columns,,,,,
,,Bracket - 2x M12 316 Stainless Steel Dynabolt fixings,,2x M12 316 Stainless Steel Dynabolt fixings (70mm min),,
,,Bracket - Installed in correct location according to drawings,,Installed in correct location according to drawings,,
,,Curtain Wall - Set to correct/same height,,Set to correct/same height (Using M8 bolt facade system) (Level),,
,,Curtain Wall - Vertical accuracy,,Vertical accuracy (Plumb),,
,,Curtain Wall - Mullion spacing,,Mullion spacing,,
,,Curtain Wall - External flashing,,External flashing (If any),,
,,Curtain Wall - External weatherproof seal,,External weatherproof seal (Head Seal),,
,,"Trade Clean - Remove unnecessary packers, glass stickers",,"Remove unnecessary packers, glass stickers",,
,,Trade Clean - Remove excess silicone,,Remove excess silicone (if any),,
,,Trade Clean - Damages to product,,"Damages to product (Scratches, dents, etc.)",,
,,Seismic Jamb - Concrete primer,,Concrete primer (Sika Primer),,
,,Seismic Jamb - Galvanised steel angle installed in correct position,,Galvanised steel angle installed in correct position,,
,,Seismic Jamb - M8 316 Stainless steel dynabolts installed,,M8 316 Stainless steel dynabolts installed (Max 450 centers),,
,,Seismic Jamb - Jamb installed to correct orientation,,Jamb installed to correct orientation,,
,,Seismic Jamb - Internal flashing/Seal,,Internal flashing/Seal,,
,,Seismic Jamb - External Flashing/Seal,,External Flashing/Seal,,
