"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Basements/Ground Floors Progress"
,"Scope",,
,"Rows"
,,"Site QA","grouping","site qa"
,,"Basement 6 Top Down Construction",,"basement 6 top down construction"
,,"Basement 5 Top Down Construction",,"basement 5 top down construction"
,,"Basement 4 Top Down Construction",,"basement 4 top down construction"
,,"Basement 3 Top Down Construction",,"basement 3 top down construction"
,,"Basement 2 Top Down Construction",,"basement 2 top down construction"
,,"Basement 1 Top Down Construction",,"basement 1 top down construction"
,,"Ground Floor",,"ground floor"
,,"Basement 6",,"basement 6"
,,"Basement 5",,"basement 5"
,,"Basement 4",,"basement 4"
,,"Basement 3",,"basement 3"
,,"Basement 2",,"basement 2"
,,"Basement 1",,"basement 1"
,,"Ground Floor (1)",,"ground floor (1)"
,"Columns"
,,"Internal Drainage",,"internal drainage"
,,"Internal Stormwater",,"internal stormwater"
,,"Sewer Stacks / Storm water stacks",,"sewer stacks / storm water stacks"
,,"Commissioning",,"commissioning"
,,"Lobby",,"lobby"

"Level 1-46 Progress"
,"Scope",,
,"Rows"
,,"Level 1","dynamic","level 1"
,,"Level 2","dynamic","level 2"
,,"Level 3","dynamic","level 3"
,,"Level 4","dynamic","level 4"
,,"Level 5","dynamic","level 5"
,,"Level 6","dynamic","level 6"
,,"Level 7","dynamic","level 7"
,,"Level 8","dynamic","level 8"
,,"Level 9","dynamic","level 9"
,,"Level 10","dynamic","level 10"
,,"Level 11","dynamic","level 11"
,,"Level 12","dynamic","level 12"
,,"Level 13","dynamic","level 13"
,,"Level 14","dynamic","level 14"
,,"Level 15","dynamic","level 15"
,,"Level 16","dynamic","level 16"
,,"Level 17","dynamic","level 17"
,,"Level 18","dynamic","level 18"
,,"Level 19","dynamic","level 19"
,,"Level 20","dynamic","level 20"
,,"Level 21","dynamic","level 21"
,,"Level 22","dynamic","level 22"
,,"Level 23","dynamic","level 23"
,,"Level 24","dynamic","level 24"
,,"Level 25","dynamic","level 25"
,,"Level 26","dynamic","level 26"
,,"Level 27","dynamic","level 27"
,,"Level 28","dynamic","level 28"
,,"Level 29","dynamic","level 29"
,,"Level 30","dynamic","level 30"
,,"Level 31","dynamic","level 31"
,,"Level 32","dynamic","level 32"
,,"Level 33","dynamic","level 33"
,,"Level 34","dynamic","level 34"
,,"Level 35","dynamic","level 35"
,,"Level 36","dynamic","level 36"
,,"Level 37","dynamic","level 37"
,,"Level 38","dynamic","level 38"
,,"Level 39","dynamic","level 39"
,,"Level 40","dynamic","level 40"
,,"Level 41","dynamic","level 41"
,,"Level 42","dynamic","level 42"
,,"Level 43","dynamic","level 43"
,,"Level 44","dynamic","level 44"
,,"Level 45","dynamic","level 45"
,,"Level 46","dynamic","level 46"
,"Columns"
,,"Plumbing Rough-In",,"plumbing rough-in"
,,"Fit Off",,"fit off"
,,"Commissioning",,"commissioning"

