resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
,,,,,step,,,Level 4,,,,,,,,,
Drains,Rough In,Corridor,Fit Off,Commisioning,folder-with-checklists,,,,Male Change 4.04,,,,,,,,
Drains,Rough In,Corridor,Fit Off,Commisioning,folder-with-checklists,,,,Unisex DDA 4.05,,,,,,,,
Drains,Rough In,Corridor,Fit Off,Commisioning,folder-with-checklists,,,,Female Change 4.06,,,,,,,,
,,,,,step,,,Level 17,,,,,,,,,
Drains,Rough In,Corridor,Fit Off,Commisioning,folder-with-checklists,,,,Kitchen 17.21,,,,,,,,
Drains,Rough In,Corridor,Fit Off,Commisioning,folder-with-checklists,,,,HUB 17.20,,,,,,,,
Drains,Rough In,Corridor,Fit Off,Commisioning,folder-with-checklists,,,,Corridor 17.19/ 17.18/ 17.29,,,,,,,,
Drains,Rough In,Corridor,Fit Off,Commisioning,folder-with-checklists,,,,Workplace Entry (Hydration Point 1) 17.26,,,,,,,,
Drains,Rough In,Corridor,Fit Off,Commisioning,folder-with-checklists,,,,Global Research (Hydration Point 2) 17.31,,,,,,,,
Drains,Rough In,Corridor,Fit Off,Commisioning,folder-with-checklists,,,,Workplace Entry (Hydration Point 3 & 4) 17.32/ 17.34,,,,,,,,
,,,,,step,,,Level 18 ,,,,,,,,,
Drains,Rough In,Corridor,Fit Off,Commisioning,folder-with-checklists,,,,Kitchenette 18.33,,,,,,,,
Drains,Rough In,Corridor,Fit Off,Commisioning,folder-with-checklists,,,,Wellness 18.34,,,,,,,,
Drains,Rough In,Corridor,Fit Off,Commisioning,folder-with-checklists,,,,Corridor 18.29/ 18.50/ 18.46,,,,,,,,
Drains,Rough In,Corridor,Fit Off,Commisioning,folder-with-checklists,,,,Amenities (Male/ Female) 18.53/ 18.54/ 18.55 ,,,,,,,,
Drains,Rough In,Corridor,Fit Off,Commisioning,folder-with-checklists,,,,Catering Kitchen 18.52,,,,,,,,
Drains,Rough In,Corridor,Fit Off,Commisioning,folder-with-checklists,,,,ER 18.38,,,,,,,,
Drains,Rough In,Corridor,Fit Off,Commisioning,folder-with-checklists,,,,Workplace Entry (Hydration Point 2) 18.40,,,,,,,,
Drains,Rough In,Corridor,Fit Off,Commisioning,folder-with-checklists,,,,Workplace Entry (Hydration Point 1) 18.37,,,,,,,,
