PANEL,ISSUE,JOBNUMBER,LEVEL,TYPE,PANEL-ID,ZONE,COLOUR,THK,VOL,MASS,NET_AREA,GROSS_AREA,MPA,REO_KG,KGM3,WIDTH,HEIGHT,TRANSPORT_WIDTH,TRANSPORT_HEIGHT,LIFTING_CLUTCH_TYPE,LIFTER_WLL,FRANNA_REQUIRED
'01-01,CONSTRUCTION,MOS005,L01,PANEL,'01-01,PW5,GREY,250,1.56,3.8,6.26,6.54,50,193.17,123.44,2270,2880,2270,2880,LMC10 ,10.0T ,NO
'01-02,CONSTRUCTION,MOS005,L01,PANEL,'01-02,PW5,GREY,250,3.59,8.65,14.34,14.34,50,377.48,105.28,4980,2880,4980,2880,LMC10 ,10.0T ,NO
'01-03,CONSTRUCTION,MOS005,L01,PANEL,'01-03,PW6,GREY,250,3.82,9.32,15.29,15.59,50,408.16,106.77,4980,3130,4980,3130,LMC10 ,10.0T ,NO
'01-04,CONSTRUCTION,MOS005,L01,PANEL,'01-04,PW6,GREY,250,3.9,9.52,15.59,15.59,50,406.43,104.3,4980,3130,4980,3130,LMC10 ,10.0T ,NO
'01-05,CONSTRUCTION,MOS005,L01,PANEL,'01-05,PW6,GREY,250,3.9,9.52,15.59,15.59,50,406.43,104.3,4980,3130,4980,3130,LMC10 ,10.0T ,NO
'01-06,CONSTRUCTION,MOS005,L01,PANEL,'01-06,PW6,GREY,250,3.9,9.52,15.59,15.59,50,406.43,104.3,4980,3130,4980,3130,LMC10 ,10.0T ,NO
'01-07,CONSTRUCTION,MOS005,L01,PANEL,'01-07,PW6,GREY,250,3.9,9.52,15.59,15.59,50,406.43,104.3,4980,3130,4980,3130,LMC10 ,10.0T ,NO
'01-08,CONSTRUCTION,MOS005,L01,PANEL,'01-08,PW6,GREY,250,3.9,9.52,15.58,15.59,50,406.43,104.32,4980,3130,4980,3130,LMC10 ,10.0T ,NO
'01-09,CONSTRUCTION,MOS005,L01,PANEL,'01-09,PW6,GREY,250,2.77,6.78,11.08,13.11,50,303.65,109.59,4246,3087,4246,3087,LMC10 ,10.0T ,NO
'01-10,CONSTRUCTION,MOS005,L01,SPECIAL,'01-10,PW6,GREY,700,1.8,4.57,3.48,3.73,50,301.39,167.83,3927,951,3927,951,LMC10 ,10.0T ,NO
'01-11,CONSTRUCTION,MOS005,L01,SPECIAL,'01-11,PW6,GREY,700,2.1,5.33,3.73,3.96,50,320.55,152.29,4168,951,4168,951,LMC10 ,10.0T ,NO
'01-12,CONSTRUCTION,MOS005,L01,SPECIAL,'01-12,PW6,GREY,700,2.1,5.33,3.73,3.96,50,320.55,152.29,4168,951,4168,951,LMC10 ,10.0T ,NO
