"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3714c3e8-10c5-4caa-b3d1-f75b8784d974","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA"
"ff4c44d2-9113-497e-bf80-1225617a2058","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations "
"1e9a9708-65c6-454e-9481-a015ecdafa1b","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations ","Retaining Wall"
"4e95ca6c-0864-4eba-bba6-8d437badf41f","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations ","Retaining Wall","Retaining Poles"
"b874a083-2532-5012-a7c6-ae1335b3aa55","","checklist-flat","pass","QA - Retaining Poles Checklist (V1)","checklist-flat","FALSE","FALSE","Project QA","Foundations ","Retaining Wall","Retaining Poles","Retaining Pole Pre-Pour Inspection 30/6/21"
"da480800-5211-494e-ad1f-7a54d4219b8a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Foundations ","Retaining Wall","Lagging and Drainage"
"c3666f59-ff67-4ef7-aa3c-2e099ea7935a","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations ","Piling"
"e795fd3b-1679-4a5f-8973-2420cc3fc966","","checklist-sectioned","pass","7724f3431d8faa9ea49601f72bcd761bc3c32491b047280e7697f7a88216656b","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","QA - Piling Checklist"
"160372cb-dfa9-4e2a-9987-a629bbfd92bf","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations ","Piling","Piles 1-15"
"1a67b94b-a42b-4a7a-ad8b-a9c6338b05ef","Child Post pour(34a59720-f5d8-5acd-91ec-5eaca3e569f9) -- Date of Concrete Pour(cecf0cc7-fa5c-4e99-b458-b5f69cc3c491): checkpoint-no-status has incorrect meta.stepType checkpoint-status","checklist-sectioned","pass","fd616978529b04b21a624d536a88395c8e3060f1b8afa7e1822b9cb47451afd6","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 1-15","Pile 1"
"76e29c7d-fc88-4a8e-ae2a-b79f9546e1f3","Child Post pour(cafc4857-61b9-56ed-ae9f-a480368483b8) -- Date of Concrete Pour(9fb874ea-cb46-4b3e-8574-5dbeea55d042): checkpoint-no-status has incorrect meta.stepType checkpoint-status","checklist-sectioned","pass","fd616978529b04b21a624d536a88395c8e3060f1b8afa7e1822b9cb47451afd6","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 1-15","Pile 2"
"2fd28245-2ba9-4cc8-8716-0754e1f5bee1","Child Post pour(8cd5a56d-bec9-5553-9cc9-a65f0d227a42) -- Date of Concrete Pour(9f0d3ff7-3c09-4719-8bde-67f7e9227c43): checkpoint-no-status has incorrect meta.stepType checkpoint-status","checklist-sectioned","pass","fd616978529b04b21a624d536a88395c8e3060f1b8afa7e1822b9cb47451afd6","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 1-15","Pile 3"
"f1b725bc-52fe-4e54-9c6a-65f98c97a76f","Child Post pour(517ad84f-30cd-5a52-89c4-3063d5eb605d) -- Date of Concrete Pour(3ca906d5-de90-441b-a9ac-86944d8c63e3): checkpoint-no-status has incorrect meta.stepType checkpoint-status","checklist-sectioned","pass","fd616978529b04b21a624d536a88395c8e3060f1b8afa7e1822b9cb47451afd6","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 1-15","Pile 4"
"fc2da55c-731f-43a8-a22d-e619d358772f","Child Post pour(10ffc6ac-68d6-5b8d-98ad-b4034a953088) -- Date of Concrete Pour(f521aa55-7928-4487-8c27-cf08e5a0f350): checkpoint-no-status has incorrect meta.stepType checkpoint-status","checklist-sectioned","pass","fd616978529b04b21a624d536a88395c8e3060f1b8afa7e1822b9cb47451afd6","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 1-15","Pile 5"
"fd4c8b83-adec-43aa-9f3f-21577ea0b245","Child Post pour(c2e5a8a0-1c2f-5585-83bc-5bb550c5b713) -- Date of Concrete Pour(79006a6c-2caa-47f7-af3b-d8db13e76228): checkpoint-no-status has incorrect meta.stepType checkpoint-status","checklist-sectioned","pass","fd616978529b04b21a624d536a88395c8e3060f1b8afa7e1822b9cb47451afd6","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 1-15","Pile 6"
"b1a9f585-0e46-461f-9581-9038067adf8e","Child Post pour(6c212acb-2fc4-5db4-a995-47c402fc965f) -- Date of Concrete Pour(d45b2b02-b076-4c3f-bedc-dbb3e383c9dc): checkpoint-no-status has incorrect meta.stepType checkpoint-status","checklist-sectioned","pass","fd616978529b04b21a624d536a88395c8e3060f1b8afa7e1822b9cb47451afd6","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 1-15","Pile 7"
"9ad424fb-5e30-43d8-ba0b-803299d4d83b","Child Post pour(b48e8387-fa23-5ac6-94a9-bc9763e974f4) -- Date of Concrete Pour(5d58e785-d6d9-4036-8d14-4921067cb818): checkpoint-no-status has incorrect meta.stepType checkpoint-status","checklist-sectioned","pass","fd616978529b04b21a624d536a88395c8e3060f1b8afa7e1822b9cb47451afd6","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 1-15","Pile 8"
"ee2bfd76-f9da-45c2-b0db-736088cab682","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 1-15","Pile 9"
"cef54509-e6f6-43b6-a88a-d51025d54d12","Child Post pour(6cfc1e30-fb4a-503b-babf-cc0d090ff422) -- Date of Concrete Pour(cce883b5-ca5c-459e-a372-9ca8b9a5cb78): checkpoint-no-status has incorrect meta.stepType checkpoint-status","checklist-sectioned","pass","fd616978529b04b21a624d536a88395c8e3060f1b8afa7e1822b9cb47451afd6","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 1-15","Pile 10"
"5651fd93-d6de-4c69-af32-4dd40eb47976","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 1-15","Pile 11"
"5a08971f-93fb-43ff-8555-2c995314b52b","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 1-15","Pile 12"
"bbd2c6fe-3d9c-43bc-a3db-741d2a30b782","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 1-15","Pile 13"
"73d49e5c-58e1-46b4-9f8c-0a824d23fb24","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 1-15","Pile 14"
"bbbae387-25cf-4795-98d4-45e9de08eb88","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 1-15","Pile 15"
"74c73f4f-bcc6-446d-a780-f66341767a31","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations ","Piling","Piles 16-30"
"3b1da431-6ff1-4d83-85d6-f7220e8d9f10","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 16-30","Pile 16"
"d9ffdb58-ad2d-4515-89a5-d5721f39437c","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 16-30","Pile 17"
"5115a3f9-e35b-47c5-bca7-8747dd77d8c3","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 16-30","Pile 18"
"230160ef-dc78-4d3e-9ae5-07ca8d1b04ca","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 16-30","Pile 19"
"ee5f985a-3732-4288-a069-b399fb973ebe","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 16-30","Pile 20"
"57d5959d-f8ae-4a93-9f6c-7819d32dffd4","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 16-30","Pile 21"
"60f55c08-5baf-4bab-84a9-d18d82127693","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 16-30","Pile 22"
"a890fe52-ebce-4f88-a9ba-61325c37e4cf","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 16-30","Pile 23"
"56bc3e24-4e27-4661-93d8-49dcae3e237a","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 16-30","Pile 24"
"7249c5bf-98fd-414b-9400-9b6aab357a30","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 16-30","Pile 25"
"80470d68-f02c-4f3d-a9eb-eb0bb4829478","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 16-30","Pile 26"
"54be9b91-99aa-4473-b19b-cdf71918f0e7","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 16-30","Pile 27"
"d1981969-310f-4c29-8c32-7facfc2be095","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 16-30","Pile 28"
"d66d7869-2189-41bb-a9f8-ab6196af4cf4","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 16-30","Pile 29"
"ec188eeb-749e-45b9-a882-2d14a934e527","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 16-30","Pile 30"
"fc0f2250-f8f6-42e1-af2d-619ae7ab3e79","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations ","Piling","Piles 31-45"
"a67657cd-410e-40bc-9bcb-e12a8f4723bf","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 31-45","Pile 31"
"6454b58d-07e8-4e54-981f-8bb6ab44311b","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 31-45","Pile 32"
"c2d697c4-079a-41d7-ab13-b60234e27fe9","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 31-45","Pile 33"
"da3e8872-c290-4740-991d-b7659213f3c1","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 31-45","Pile 34"
"370272f5-50d3-48b0-b4d0-b57c7509bcfd","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 31-45","Pile 35"
"04e7ce75-5fca-4915-b8a8-ba4e7bde4002","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 31-45","Pile 36"
"33059a35-0032-4b3a-b558-f7e02744115b","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 31-45","Pile 37"
"84e84ae0-dc1b-4748-be50-747850283f58","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 31-45","Pile 38"
"8ba4a41a-cb32-417c-b818-67fab57cd764","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 31-45","Pile 39"
"342c712d-1f0e-4fa6-8118-05dab1053f68","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 31-45","Pile 40"
"84b55a54-e2bd-40b1-9687-4565755c4e15","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 31-45","Pile 41"
"23f517e5-2033-449e-bab6-0eebb63b9a53","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 31-45","Pile 42"
