"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9e5dea19-2dab-4992-b810-97f15ba6b280","","work-in-progress","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"3777e8fe-e549-4a6b-a013-24631234ab92","","work-in-progress","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/1"
"bf418d35-86b3-40a4-88e7-ba385d76672d","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/1","Pre-Pour Checklist"
"387031bf-5fc0-440c-ae17-385b58d2aec6","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/1","Concrete Delivery Checklist"
"403b2858-1849-4af1-9f77-6543c6a57a04","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/2"
"b4ef9776-8eb0-4048-872c-3b3eeaef8778","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/2","Pre-Pour Checklist"
"0e071680-25d3-4eb4-8f5e-13e4b604e074","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/2","Concrete Delivery Checklist"
"11bdc27b-7147-4a65-be3b-d69a185d2923","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/3"
"d1103b3b-3761-4834-8b14-255bdaa51540","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/3","Pre-Pour Checklist"
"d40f5f27-4658-4331-b14f-c284f434cead","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/3","Concrete Delivery Checklist"
"f8f383ab-3a46-473a-a7ac-1782d1a248fc","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/4"
"953a9196-e00e-4243-bbe4-aa834036aad7","","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/4","Pre-Pour Checklist"
