"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a7cc6be7-2302-4de5-bd69-919708adb178","","pass","","folder","TRUE","FALSE","FW/1"
"cf12a992-2dd9-4bbc-9632-d213ada1e60a","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","FW/1","Pre-Pour Checklist 1"
"46c5309d-eac7-4111-94c2-dfea80ac288c","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","FW/1","Concrete Delivery Checklist"
"72317482-3309-420e-a2f8-c4556fdebb15","","pass","","folder","TRUE","FALSE","FW/2"
"a893afec-c350-4cf7-8b0b-d6c4de628bf4","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","FW/2","Pre-Pour Checklist 1"
"a0dd7ff6-926e-446f-81b8-c391991b37b0","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","FW/2","Concrete Delivery Checklist"
"ee056421-27fb-44de-b58e-cb38dffa77ac","","pass","","folder","TRUE","FALSE","DP/1"
"e020c129-f8f8-4959-b02c-926b9fe28ae5","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","DP/1","Pre-Pour Checklist 1"
"2e2373dd-cdb4-4653-b97b-f783d96a60a1","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","DP/1","Concrete Delivery Checklist"
"af7790f9-b295-40b0-89d0-b40418bac37f","","pass","","folder","TRUE","FALSE","DP/2"
"8d329e20-2589-401c-a942-0949484bd657","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","DP/2","Pre-Pour Checklist 1"
"e6ea1fd2-e349-42be-8c71-5b9e09d6fdb5","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","DP/2","Concrete Delivery Checklist"
"e6702ae4-2943-4eb0-96e3-1fa06075b7f5","","pass","","folder","TRUE","FALSE","DP/3"
"839638c3-6f41-4cb3-998d-9c860bca3e8c","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","DP/3","Pre-Pour Checklist 1"
"db14a641-e145-4d94-a038-332eacdf80f0","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","DP/3","Concrete Delivery Checklist"
"4e95b31a-eafb-4b54-ae54-284c1f60d46d","","pass","","folder","TRUE","FALSE","DP/4"
"ff5314ba-7111-472d-aed0-3ff3b38401f6","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","DP/4","Pre-Pour Checklist 1"
"604123eb-10b5-420d-8e5c-dc884b281b5d","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","DP/4","Concrete Delivery Checklist"
"852c80e6-225a-4e8d-8a32-6ad263e57682","","pass","","folder","TRUE","FALSE","DP/5"
"e83a39ba-c21c-410f-8f62-66004d34533b","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","DP/5","Pre-Pour Checklist 1"
"2724bc76-95e2-4b30-8569-43efca1fb207","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","DP/5","Concrete Delivery Checklist"
"c776c83b-9a0c-45b1-8d4f-9795d8c32def","","pass","","folder","TRUE","FALSE","DP/6"
"b503d676-3ff2-43d2-ad15-fd9650222e48","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","DP/6","Pre-Pour Checklist 1"
"66ead383-4e95-46b1-946c-24297dda3665","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","DP/6","Concrete Delivery Checklist"
"a7b44829-11fc-4714-9293-d4e2075ac939","","pass","","folder","TRUE","FALSE","DP/7"
"8ea579bc-d3da-43e7-8c49-b9a9bf44f24d","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","DP/7","Pre-Pour Checklist 1"
"08789570-e810-47be-8a42-411e9032721f","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","DP/7","Concrete Delivery Checklist"
"555c0231-1e8d-45a4-8069-ffe95da6c55a","","pass","","folder","TRUE","FALSE","DP/8"
"b27b4313-205b-42b1-a6a4-3a514c02318a","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","DP/8","Pre-Pour Checklist 1"
"5d8091b7-0e59-45d3-8234-167428f55871","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","DP/8","Concrete Delivery Checklist"
"5d164708-bb1c-49f9-a2ad-416dbeac3f5b","","pass","","folder","TRUE","FALSE","DP/9"
"58144eb5-69c7-437e-9c55-074a936abe7b","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","DP/9","Pre-Pour Checklist 1"
"d25d5d37-c5a7-438d-bee4-9a16100c52bc","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","DP/9","Concrete Delivery Checklist"
"5c18b827-4e4b-48a6-87d8-e9e85c44c620","","pass","","folder","TRUE","FALSE","DP/10"
"edd23b91-c097-4a0e-bb83-5e4f87362ca2","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","DP/10","Pre-Pour Checklist 1"
"56b7c412-4383-4d8a-9131-5b8e3f1e6e68","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","DP/10","Concrete Delivery Checklist"
"2716ad52-9ac0-4538-b918-da87d889afcd","","pass","","folder","TRUE","FALSE","DP/11"
"ade69f17-00d8-40b2-a6aa-1bc70ebbe6ef","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","DP/11","Pre-Pour Checklist 1"
"046b6b66-69ba-43b8-bc53-1de1543c9a3c","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","DP/11","Concrete Delivery Checklist"
"d5ac0726-607e-4238-bdcd-4c52cb63b737","","pass","","folder","TRUE","FALSE","DP/12"
"b3a5d703-b6ea-48f3-ace6-a1c677576d79","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","DP/12","Pre-Pour Checklist 1"
"cae88c9f-5a6e-4c43-bbca-fce9615c7f51","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","DP/12","Concrete Delivery Checklist"
"941774f4-5ef1-41f1-8e1d-befe1a212a95","","not-started","","folder","TRUE","FALSE","PSCP/1"
"43890845-2729-41fc-95c3-0974d5d869ca","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/1","Pre-Pour Checklist"
"307b9cf7-0890-4fdd-801d-bf02e8c24921","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/1","Concrete Delivery Checklist"
"1f3a354e-d779-4e31-8eee-5930dcd8dbc5","","pass","","folder","TRUE","FALSE","PSCP/2"
"3f2611cc-5e80-4a60-80af-e164afec3207","","pass","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/2","Pre-Pour Checklist"
"af8a7074-ab98-44be-bc2d-9f6015012fe7","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/2","Concrete Delivery Checklist"
"9ea4066d-754c-460a-9988-90cd6b8eaf6c","","not-started","","folder","TRUE","FALSE","PSCP/3"
"aabeb41c-b7bc-4d98-8f8e-8367a15260b4","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/3","Pre-Pour Checklist"
"5c82444b-55e8-4090-9bbd-2cdf68d3939f","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/3","Concrete Delivery Checklist"
"3dd3b2ad-39be-4af3-8169-a076cb4b6e70","","not-started","","folder","TRUE","FALSE","PSCP/4"
"d618e273-0fe8-4734-8185-7710d8037bf3","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/4","Pre-Pour Checklist"
"9a54e33b-11a9-4a66-95a2-8318e7182e91","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/4","Concrete Delivery Checklist"
"9f134106-2a78-4d05-87e1-151353fec28f","","not-started","","folder","TRUE","FALSE","PSCP/5"
"f0fdc8c2-76cb-488d-ab91-b4754eb5771d","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/5","Pre-Pour Checklist"
"07883d7d-5e90-4e51-91d8-152454ec4104","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/5","Concrete Delivery Checklist"
"dd89fc3f-a423-4c95-9b18-a29c57708611","","not-started","","folder","TRUE","FALSE","PSCP/6"
"0a4447f4-1b6a-480e-8ec7-5349ed52a345","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/6","Pre-Pour Checklist"
"78786007-52f2-40f5-90a8-6776a13f5861","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/6","Concrete Delivery Checklist"
"da557a17-845f-48ea-a005-543b2ffa4a95","","not-started","","folder","TRUE","FALSE","PSCP/7"
"c5a4e7f5-6fab-41a4-8fdc-dd293d8559ae","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/7","Pre-Pour Checklist"
"9f001557-f82f-46ac-93a2-98a8d2ffb752","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/7","Concrete Delivery Checklist"
"2fc22854-e788-4c34-acbd-b53da27ba42e","","not-started","","folder","TRUE","FALSE","PSCP/8"
"b7aec6d1-e25f-4198-ac9a-1addc864e3ed","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/8","Pre-Pour Checklist"
"a35bb5ed-cfd2-4f78-9b68-608c6f8ce3c7","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/8","Concrete Delivery Checklist"
"d9a134be-f9cb-43c5-8098-2bec80ca08af","","not-started","","folder","TRUE","FALSE","PSCP/9"
"5accd4e2-f92e-4371-ad6d-b1515ddf4294","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/9","Pre-Pour Checklist"
"c9b554d9-c1ba-43b9-b7d6-c55a619d84e9","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/9","Concrete Delivery Checklist"
"d8a3e826-8240-4c68-9171-4697b4b1a951","","not-started","","folder","TRUE","FALSE","PSCP/10"
"725addb6-b4dd-4ecc-8069-22464df329db","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/10","Pre-Pour Checklist"
"ae6eff86-4865-4f47-8da8-39c4574f87d8","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/10","Concrete Delivery Checklist"
"115fbb57-f77a-4f5b-84b3-c82c969a8c21","","not-started","","folder","TRUE","FALSE","PSCP/11"
"fb891366-75ce-404d-ad95-7a9f0cfe8382","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/11","Pre-Pour Checklist"
"cde7d32e-4bbc-4701-be6e-73f7379d23e1","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/11","Concrete Delivery Checklist"
"c25ccaba-a083-4d76-b210-fc784df38dff","","not-started","","folder","TRUE","FALSE","PSCP/12"
"468c3679-d2b2-45e4-a066-bb0df6444fa5","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/12","Pre-Pour Checklist"
"943c7bd5-35af-4cde-b625-6ced9342dca2","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/12","Concrete Delivery Checklist"
"0e65c341-488d-4669-8a6f-667d25d008b3","","not-started","","folder","TRUE","FALSE","PSCP/13"
"94307845-e7c2-40cf-8267-83368ce82689","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/13","Pre-Pour Checklist"
