"","data:Weight","data:length","data:width","data:thickness","data:Lifter Type","Inspector Sign Off Attached Below?","data:Pour Date","data:Time Batched","data:Concrete Strength","Inspector Sign Off Attached Below?"
"Panel ID No.",,,,,,,,,,
"CP01","0.295T","1493","1040","700"," Foot Anchor 1.3T","pass","04/07/23","6.00","","pass"
"CP02","","","","","","not started","","","","not started"
"CP03","0.295T","1493","1040","700"," Foot Anchor 1.3T","pass","13/07/23","6.00","","pass"
"CP04","0.295T","1040","800","700","","pass","13/05/24","6:00","","pass"
"CP05","","","","","","not started","","","","not started"
"CP06","","","","","","wip","","","","wip"
"CP07","","","","","","not started","","","","not started"
"CP08","","","","","","not started","","","","not started"
"CP09","","","","","","not started","","","","not started"
"CP10","","","","","","not started","","","","not started"
"CP11","0.295T","1493","1040","700"," Foot Anchor 1.3T","wip","07/07/23","5.45","","wip"
"CP12","","","","","","not started","","","","not started"
"CP13","0.295T","1040","780","1487"," Foot Anchor 2.5T","pass","16/05/24","6.00","","pass"
"CP14","0.295T","1493","1040","700"," Foot Anchor 1.3T","wip","","","","wip"
"CP15","","","","","","not started","","","","not started"
"CP16","0.295T","1493","1040","700"," Foot Anchor 1.3T","pass","04/07/23","6.00","","pass"
"FP01","1.35T","5170","1040","700"," Foot Anchor 1.3T","pass","13/04/23","7.00","","pass"
"FP02","1.24T","5033","1040","700"," Foot Anchor 1.3T","pass","24/04/23","11.00","","pass"
"FP03","1.24T","5024","1040","700"," Foot Anchor 1.3T","pass","28/03/23","10.00","","pass"
"FP04","1.24","5037","1040","700"," Foot Anchor 1.3T","pass","31/03/23","6.30","","pass"
"FP05","1.24T","5031","1040","700"," Foot Anchor 1.3T","pass","12/04/23","6.10","","pass"
"FP06","1.24T","5028","1040","700"," Foot Anchor 1.3T","pass","28/04/23","6.30","","pass"
"FP07","1.24T","5038","1040","700"," Foot Anchor 1.3T","pass","02/05/23","6.10","","pass"
"FP08","1.24T","5037","1040","700"," Foot Anchor 1.3T","pass","05/05/23","5.30","","pass"
"FP09","1.24T","5030","1040","700"," Foot Anchor 1.3T","pass","12/05/23","6.05","","pass"
"FP10","1.24T","5111","1040","700"," Foot Anchor 1.3T","pass","14/07/23","5.45","","pass"
"FP11","1.16T","5185","1040","700"," Foot Anchor 2.5T","pass","30/05/24","6:00","","pass"
"FP12","","","","","","not started","","","","not started"
"FP13","1.35T","4028","1459","700"," Foot Anchor 2.5T","pass","14/05/24","6.30 ","","pass"
"FP14","1.35T","4045","1459","700","","pass","09/05/24","6:30","","pass"
"FP15","","","","","","not started","","","","not started"
"FP16","","","","","","not started","","","","not started"
"FP17","FP17","5111","1040","700"," Foot Anchor 1.3T","pass","11/08/23","6.30","","pass"
"FP18","1.24T","5030","1040","700"," Foot Anchor 1.3T","pass","23/05/23","5.30","","pass"
"FP19","1.24T","5037","1040","700"," Foot Anchor 1.3T","pass","09/05/23","5.30","","pass"
"FP20","1.24T","5038","1040","700"," Foot Anchor 1.3T","pass","29/05/23","6.00","","pass"
"FP21","1.24T","5028","1040","700"," Foot Anchor 1.3T","pass","23/06/23","8.00","","pass"
"FP22","1.24T","5031","1040","700"," Foot Anchor 1.3T","pass","27/06/23","7.00","","pass"
"FP23","1.24T","5037","1040","700"," Foot Anchor 1.3T","pass","3/07/23","5.30","","pass"
"FP24","1.24T","5024","1040","700"," Foot Anchor 1.3T","pass","06/07/23","5.45","","pass"
"FP25","1.24T","5033","1040","700"," Foot Anchor 1.3T","pass","11/07/23","6.30","","pass"
"FP26","1.35T","5170","1040","700"," Foot Anchor 1.3T","pass","19/04/23","9.30","","pass"
"JP01","0.45T","950","1040","700"," Foot Anchor 1.3T","pass","10/05/23","6.00","","pass"
"JP02","0.45T","950","1040","700"," Foot Anchor 1.3T","pass","10/05/23","6.00","","pass"
"JP03","0.45T","950","1040","700"," Foot Anchor 1.3T","pass","10/05/23","6.00","","pass"
"JP04","0.45T","950","1040","700"," Foot Anchor 1.3T","pass","10/05/23","6.00","","pass"
"JP05","15/05/23","950","1040","700"," Foot Anchor 1.3T","pass","15/05/23","6.30","","pass"
"JP06","0.45T","950","1040","700"," Foot Anchor 1.3T","pass","15/05/23","6.30","","pass"
"JP07","0.45T","950","1040","700"," Foot Anchor 1.3T","pass","15/05/23","6.30","","pass"
"JP08","0.45T","950","1040","700"," Foot Anchor 1.3T","pass","15/05/23","6.30","","pass"
"JP09","0.64T","1459","950","700"," Foot Anchor 2.5T","pass","","","","not started"
"JP10","0.64T","1459","950","700"," Foot Anchor 2.5T","pass","","","","not started"
"JP11","0.45T","950","1040","700"," Foot Anchor 1.3T","pass","23/05/23","7.30","","pass"
"JP12","0.45T","950","1040","700"," Foot Anchor 1.3T","pass","23/05/23","7.30","","pass"
"JP13","0.45T","950","1040","700"," Foot Anchor 1.3T","pass","23/05/23","7.30","","pass"
"JP14","0.45T","950","1040","700"," Foot Anchor 1.3T","pass","23/05/23","7.30","","pass"
"JP15","0.45T","950","1040","700"," Foot Anchor 1.3T","pass","25/05/23","6.30","","pass"
"JP16","0.45T","950","1040","700"," Foot Anchor 1.3T","pass","25/05/23","6.30","","pass"
"JP17","0.45T","950","1040","700"," Foot Anchor 1.3T","pass","25/05/23","7.00","","pass"
"JP18","0.45T","950","1040","700"," Foot Anchor 1.3T","pass","25/05/23","7.00","","pass"
