resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,step,,,Stage 09 - Townhouses,,,,,,,,
,,,step,,,,Block 38,,,,,,,
Townhouse Rough In,Townhouse Fix,Townhouse Fit Off,folder-with-checklists,,,,,Villa 01,,,,,,
Townhouse Rough In,Townhouse Fix,Townhouse Fit Off,folder-with-checklists,,,,,Villa 03,,,,,,
,,,step,,,,Block 39,,,,,,,
Townhouse Rough In,Townhouse Fix,Townhouse Fit Off,folder-with-checklists,,,,,Villa 01,,,,,,
Townhouse Rough In,Townhouse Fix,Townhouse Fit Off,folder-with-checklists,,,,,Villa 03,,,,,,
Townhouse Rough In,Townhouse Fix,Townhouse Fit Off,folder-with-checklists,,,,,Villa 05,,,,,,
Townhouse Rough In,Townhouse Fix,Townhouse Fit Off,folder-with-checklists,,,,,Villa 07,,,,,,
,,,step,,,,Block 40,,,,,,,
Townhouse Rough In,Townhouse Fix,Townhouse Fit Off,folder-with-checklists,,,,,Villa 09,,,,,,
Townhouse Rough In,Townhouse Fix,Townhouse Fit Off,folder-with-checklists,,,,,Villa 11,,,,,,
Townhouse Rough In,Townhouse Fix,Townhouse Fit Off,folder-with-checklists,,,,,Villa 13,,,,,,
,,,step,,,,Block 41,,,,,,,
Townhouse Rough In,Townhouse Fix,Townhouse Fit Off,folder-with-checklists,,,,,Villa 08,,,,,,
Townhouse Rough In,Townhouse Fix,Townhouse Fit Off,folder-with-checklists,,,,,Villa 10,,,,,,
Townhouse Rough In,Townhouse Fix,Townhouse Fit Off,folder-with-checklists,,,,,Villa 12,,,,,,
Townhouse Rough In,Townhouse Fix,Townhouse Fit Off,folder-with-checklists,,,,,Villa 14,,,,,,
,,,step,,,,Block 42,,,,,,,
Townhouse Rough In,Townhouse Fix,Townhouse Fit Off,folder-with-checklists,,,,,Villa 01,,,,,,
Townhouse Rough In,Townhouse Fix,Townhouse Fit Off,folder-with-checklists,,,,,Villa 03,,,,,,
Townhouse Rough In,Townhouse Fix,Townhouse Fit Off,folder-with-checklists,,,,,Villa 05,,,,,,
,,,step,,,,Block 43,,,,,,,
Townhouse Rough In,Townhouse Fix,Townhouse Fit Off,folder-with-checklists,,,,,Villa 01,,,,,,
