"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bcccccdf-f303-411a-9277-3f751bb6d1fe","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"a60ab825-7592-49a2-aa97-8d63bb266a63","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","AWPT"
"1e686aa9-6004-488a-a857-e5ad617c5134","","checklist-sectioned","not-started","0. HB AWPT ITP - Material testing","checklist","FALSE","FALSE","Site QA","AWPT","0. HB AWPT ITP - Material testing"
"993dde0f-4490-4e85-9b34-9cc22d131521","","checklist-sectioned","not-started","1. HB AWPT ITP - Nth Rakaipaka","checklist","FALSE","FALSE","Site QA","AWPT","1. HB AWPT ITP - Nth Rakaipaka"
"ad4c20d1-3594-417f-b7a7-af18f85e1833","","checklist-sectioned","not-started","2. HB AWPT ITP - Rakaipaka A","checklist","FALSE","FALSE","Site QA","AWPT","2. HB AWPT ITP - Rakaipaka A"
"918da533-6554-4665-9334-171a8a5f775a","","checklist-sectioned","not-started","3. HB AWPT ITP - McKenzies","checklist","FALSE","FALSE","Site QA","AWPT","3. HB AWPT ITP - McKenzies"
"3f176654-b09e-4112-8ecf-3b251734d490","","checklist-sectioned","not-started","4. HB AWPT ITP - Mahiaruhe Stream Bridge Sth","checklist","FALSE","FALSE","Site QA","AWPT","4. HB AWPT ITP - Mahiaruhe Stream Bridge Sth"
"296e6a5d-338f-43c9-aef2-61a245c0c435","","checklist-sectioned","not-started","5. HB AWPT ITP - Snee Rd II","checklist","FALSE","FALSE","Site QA","AWPT","5. HB AWPT ITP - Snee Rd II"
"f1edfc10-1625-42e9-9f8a-2cf98bc196fb","","checklist-sectioned","not-started","6. HB AWPT ITP - Nth of Waione Bridge","checklist","FALSE","FALSE","Site QA","AWPT","6. HB AWPT ITP - Nth of Waione Bridge"
"938c9196-e7eb-4a44-b72b-3530d68da152","","checklist-sectioned","not-started","7. HB AWPT ITP - Maori Gully II","checklist","FALSE","FALSE","Site QA","AWPT","7. HB AWPT ITP - Maori Gully II"
"1a560cc1-b1e2-47a5-92f9-44eac198b3a1","","checklist-sectioned","not-started","8. HB AWPT ITP - Clarkesons Hill A","checklist","FALSE","FALSE","Site QA","AWPT","8. HB AWPT ITP - Clarkesons Hill A"
"fed391d5-3d56-4412-b798-d5597b496665","","checklist-sectioned","not-started","9. HB AWPT ITP - Clarkesons Hill B","checklist","FALSE","FALSE","Site QA","AWPT","9. HB AWPT ITP - Clarkesons Hill B"
"238cedb3-2fb6-4d22-811a-c31f5cb0a146","","checklist-sectioned","work-in-progress","10. HB AWPT ITP - Sainsburry Farm","checklist","FALSE","FALSE","Site QA","AWPT","10. HB AWPT ITP - Sainsburry Farm"
"654494c3-e954-41a5-8632-7732396f842f","","checklist-sectioned","not-started","11. HB AWPT ITP - Sth Tikokino Rd","checklist","FALSE","FALSE","Site QA","AWPT","11. HB AWPT ITP - Sth Tikokino Rd"
"80379b22-de63-4a5d-8452-973a1a798321","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","TAC"
"ed87dabc-1b99-41cc-ade8-6c171b3b680b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Chipseal"
"7a0ee51c-e504-4196-8c64-a8ef9aa0e530","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Chipseal","SOP"
