type,name,values,prefix,postfix,usage count,user addable,template name,
checklist,Anchoring Works,,,,,Yes,Anchoring Works,27f2a3f9-1a6e-47ea-8911-9e936a68f047
section,Prior to Start,,,,,,,
checkpoint,Drawings,,,,,,,
boolean,Drawing name,,,,,,,
checkpoint,Anchor Supply (1),,,,,,,
holdpoint,Mill certificate,,,,,,,
checkpoint,Anchor Supply (2),,,,,,,
holdpoint,Test Certificate,,,,,,,
checkpoint,Anchor Supply (3),,,,,,,
holdpoint,Batch number Noted,,,,,,,
checkpoint,Anchor Survey Set out,,,,,,,
boolean,Anchor points to be marked by surveyor and confirmed with DELTA,,,,,,,
boolean,Surveyor Records,,,,,,,
section,Anchor Works,,,,,,,
checkpoint,Anchor Strand Centralisers,,,,,,,
boolean,Batch number Noted,,,,,,,
checkpoint,Excavation & Preparation of Anchor Wall face / batter,,,,,,,
boolean,As per drawings & site inspection from DELTA,,,,,,,
checkpoint,Anchor Drilling,,,,,,,
boolean,Hole to be drilled to specification,,,,,,,
holdpoint,On Record as per Drilling and Installation docket,,,,,,,
checkpoint,Grout Equipment,,,,,,,
boolean,Grout pump to be actuated by a piston of screw pump,,,,,,,
checkpoint,Grout supply,,,,,,,
boolean,Water & Cement grout mix as per design,,,,,,,
boolean,"TDS, PDS, Batch number",,,,,,,
checkpoint,Grout batching,,,,,,,
boolean,"Batch by dry weight measure water by calibrated flow meter, continuous agitating after mixing use recirculation system inject within 30 mins of batching",,,,,,,
checkpoint,Grout Testing,,,,,,,
holdpoint,"Field testing of grout for Compressive Strength, Per batch, 3 tests",,,,,,,
checkpoint,Installation & Grouting of Rock Bolt/Anchors/Soil Nails,,,,,,,
boolean,"Place anchor in prepared clean hole, fill hole from the bottom using grout tube allow grout to flow until pure grout comes out top of hole",,,,,,,
boolean,"TDS, PDS, batch number, Mill certificates, Test Certificates",,,,,,,
checkpoint,Anchor Stressing,,,,,,,
boolean,AS per drawings & specification,,,,,,,
boolean,Drilling and installation docket for Anchors done on a daily basis,,,,,,,
holdpoint,Stressing records captured per AGT records,,,,,,,
