"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a887080d-0473-4c43-8a47-7767338de4da","","folder-normal","pass","","step","TRUE","FALSE","Site QA"
"577f39d0-1169-4dc9-b2e5-d04244298142","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Foundation"
"2c3d0674-bef2-4cf2-941d-cfbc7dba07b6","","checklist-flat","pass","69c8309a739c768506de7f55382cece907c439d7a9aac4800ac0db6c381d5d72","checklist-flat","FALSE","FALSE","Site QA","Foundation","Lift Pit"
"384a00e6-52d5-4d17-9db4-00fd5c7349c3","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Lower Ground"
"827efb3b-976b-4b39-8360-4e601d455e56","","checklist-flat","pass","9452013b68ea38af658bf821f011fe24846878b401510899962da75525e31cac","checklist-flat","FALSE","FALSE","Site QA","Lower Ground","Detention Tank"
