"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4ef6a46f-2f86-4106-b140-5baf7406abe1","","not-started","","folder","TRUE","FALSE","Site QA"
"b6a5d6b3-9fc5-4996-a198-05fdf7cd023c","","not-started","","folder","TRUE","FALSE","Site QA","Road Rehabs"
"b49699bd-79b5-4a37-88aa-9c51c24a43f7","","not-started","Verified Program","checklist","FALSE","FALSE","Site QA","Road Rehabs","Verified Program"
"ea6b4d34-5d72-4298-bf76-2f14ea617465","","not-started","QMP","checklist","FALSE","FALSE","Site QA","Road Rehabs","QMP"
"f91238b3-d148-4cc3-82ad-8159864e85a8","","not-started","Production and Testing ITPs","checklist","FALSE","FALSE","Site QA","Road Rehabs","Production and Testing ITPs"
"17ee690d-a2d3-4a6c-a34f-16ffe5f2d7bc","","not-started","Approved JMF","checklist","FALSE","FALSE","Site QA","Road Rehabs","Approved JMF"
"a827c7d9-ae41-481c-ab14-8deade0d5e0d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Road Rehabs","Site List"
"f79eba11-e8ef-49a5-a096-fc8f8cb1fdfa","","not-started","","folder","TRUE","FALSE","Site QA","Asphalt"
"80f565a8-cff3-4726-a4b7-5b2783c60d9c","","not-started","Verified Program","checklist","FALSE","FALSE","Site QA","Asphalt","Verified Program"
"b38d80a3-2181-4499-a433-7830d596d207","","not-started","QMP","checklist","FALSE","FALSE","Site QA","Asphalt","QMP"
"d7a8f24b-74af-42ca-ad7c-78559c28b0e0","","not-started","Production and Testing ITPs","checklist","FALSE","FALSE","Site QA","Asphalt","Production and Testing ITPs"
"80221068-48b3-49cd-92b2-4164e1ec3961","","not-started","Approved JMF","checklist","FALSE","FALSE","Site QA","Asphalt","Approved JMF"
"e60ab48b-50cc-4825-8a51-7badf4098e6c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Asphalt","Site List"
"dd171f97-f51d-4a10-bba2-2b7693b45bf0","","not-started","","folder","TRUE","FALSE","Site QA","Chipseal"
"629827d5-c78b-4e6c-a587-05370ba13024","","not-started","Verified Program","checklist","FALSE","FALSE","Site QA","Chipseal","Verified Program"
"9fd42b76-ea05-417f-8e16-067f9ddbdf61","","not-started","QMP","checklist","FALSE","FALSE","Site QA","Chipseal","QMP"
"c5f25d77-b515-40b4-baa3-cbe7e543019a","","not-started","Production and Testing ITPs","checklist","FALSE","FALSE","Site QA","Chipseal","Production and Testing ITPs"
"5a79e079-b3ed-4032-a957-baed471f6f67","","not-started","Approved JMF","checklist","FALSE","FALSE","Site QA","Chipseal","Approved JMF"
"5503d849-a0db-457b-976f-a7d71175e632","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Chipseal","Site List"
