"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ed1ed806-aa00-4706-a758-c1516dcaca5b","","folder-normal","","","step","TRUE","FALSE","Basement 1"
"45b80f35-175f-401a-a510-8e08c81d4419","","checklist-sectioned","","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Basement 1","B1-CP21"
"a1a4a4c5-d339-45cc-b41d-1d4747364864","","checklist-sectioned","","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Basement 1","B1-CP22"
"95fd16cb-6501-4911-82e8-75f6d439bb4b","","checklist-sectioned","","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Basement 1","B1-CP23"
"eb823639-2907-4615-9afd-60c6de9073b8","","checklist-sectioned","","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Basement 1","B1-CP24"
"199785e7-b33a-4090-aaed-67df17c08cb8","","checklist-sectioned","","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Basement 1","B1-CP25"
"8b4947e8-9eb5-4cb8-958d-bc256a9b06b5","","checklist-sectioned","","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Basement 1","B1-CP27"
"89954ebb-a466-472a-acaf-888e5c31e429","","checklist-sectioned","","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Basement 1","B1-CP28"
"df3ed945-dab3-4c30-ba66-e436a6f1969a","","checklist-sectioned","","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Basement 1","B1-CP29"
"6ab59012-c7ef-4b62-9d22-c1bdda138f76","","checklist-sectioned","","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Basement 1","B1-CP30"
"9569c300-984d-45a3-b01f-f6b02c98a350","","checklist-sectioned","","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Basement 1","B1-CP32"
"ab0e1c52-79d1-4d2b-b071-968b713289d9","","checklist-sectioned","","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Basement 1","B1-CP33"
"c4878a0a-1be6-4397-9d8b-7a3162da4447","","checklist-sectioned","","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Basement 1","B1-CP35"
"3b6921d6-e064-4b62-8301-10c20be3dc43","","checklist-sectioned","","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Basement 1","B1-CP36"
"0c93b016-bbd1-4f0c-a119-a875d048ff81","","folder-normal","","","step","TRUE","FALSE","Basement 2"
"357d3ae7-845f-4def-9992-310b601e5813","","checklist-sectioned","","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Basement 2","B2-P01"
"48dd1e51-7916-480c-8d53-74f7b56359bf","","checklist-sectioned","","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Basement 2","B2-P02"
"d370b5bb-b84e-4078-9964-c37071143c8e","","checklist-sectioned","","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Basement 2","B2-P03"
"0f5c1e10-2d96-4d76-8123-56e486284db7","","checklist-sectioned","","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Basement 2","B2-P04"
"7f8e1a95-c880-4ead-bbe5-b49b7f23cd9c","","checklist-sectioned","","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Basement 2","B2-P05"
"1d120cf8-5d1f-45fa-9874-9b01b5db5fcb","","checklist-sectioned","","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Basement 2","B2-P06"
"1bcf97e3-807b-479d-9655-155ec8c45a4c","","checklist-sectioned","","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Basement 2","B2-P07"
"09879778-df01-47e1-854d-7d5e0f256555","","checklist-sectioned","","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Basement 2","B2-P08"
