"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"78b59380-9fd8-4823-8321-e74bb482fba2","","pass","","folder","TRUE","FALSE","CORE 01"
"08346fe7-c0cb-45dd-bb7c-b93e93faa338","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C01"
"2e10cc7d-901f-4bab-a957-e9b9596e622e","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C02"
"f2366b34-14db-4810-9b3b-792798ba61f0","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C03"
"8921cf98-325e-4543-9a53-65fff5d52709","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C04"
"3c6bf9a3-b8cb-4b54-925b-2e2b4668516e","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C05"
"0e8f3acf-fd32-4e0e-876c-e2aa5bea2010","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C06"
"05554747-1086-4f33-853c-f022b6239ca2","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C07"
"70beea4e-ebfd-4507-857d-7c75de954b86","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C08"
"344a5537-ce46-4a8c-8d97-f1d51fbbc7f2","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C09"
"bb971a5b-dacb-4605-9286-88922fe040e4","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C10"
"8fa53435-25e6-4440-8a57-ed1885139ee6","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C11"
"9b0546d2-58f1-44cf-81cb-6c63961208ae","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C12"
"2733fd58-6785-41b0-96df-26046631c287","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C13"
"b8cec77e-51d8-44a3-afba-ee4cb2dc2bf0","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C14"
"f4a9ab3b-111b-4164-986f-be1f0765a8ca","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C15"
"8605db5d-6161-475d-a3c2-1b4c3606d4ff","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C16"
"8b1db1b0-a4ab-41dd-afc8-166b9ea79386","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C17"
"8945e6fe-8b91-4f2b-abea-e8d2b88fd85d","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C18"
"f473063b-5745-4233-8edf-9475a4936bc3","","pass","1ca1e1d3e32dd8bb13e13d65caa21f018e03435de2693c1b02d042fe02b77e5e","checklist","FALSE","FALSE","CORE 01","C01C19"
