Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall progress,,,,,
,Scope,,,,
,Rows,,,,
,,Zone 1 - (Grids 1-6 & A-G),dynamic,zone 1 - (grids 1-6 & a-g),
,,zone 2 - (grids 6-12 & a-f),dynamic,zone 2 - (grids 6-12 & a-f),
,,zone 3 - (grids 6-12 & f_k),dynamic,zone 3 - (grids 6-12 & f_k),
,,zone 4 - (grids 1-6 & g-k),dynamic,zone 4 - (grids 1-6 & g-k),
,,zone 5 - (grids 6-12 & k-n),dynamic,zone 5 - (grids 6-12 & k-n),
,,zone 6 - (grids 1-6 & k-n),dynamic,zone 6 - (grids 1-6 & k-n),
,Columns,,,,
,,pipe laying,,pipe laying,
,,backfill,,backfill,
