"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"355ef459-b353-4bd8-8662-10c122f66761","","folder-normal","fail","","step","TRUE","FALSE","QA"
"be662c48-8e32-49c7-a243-9edd3ffb8210","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Foundations"
"d2e622a3-4b9c-49f0-83b2-1afef7b2e0a6","","folder-normal","not-started","","step","TRUE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)"
"d4272bb5-d005-42b1-a428-f277e51cf633","","checklist-sectioned","not-started","Add Stormwater Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)"
"ca0e94dd-04a4-5c28-9ff1-85daae83785f","","checklist-sectioned","not-started","Add Waster Water Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Waste Water (Main Line)"
"d8b4ad6a-f1a3-5e54-b1a9-970a0cc81d7b","","checklist-sectioned","not-started","Add Water Main","checklist","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Water Main"
"f4b2a81f-9d23-4d24-9277-fdccaf3ea6b1","","folder-normal","not-started","","step","TRUE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)"
"cc6db528-f6fe-414c-8641-780ce15e3b3b","","checklist-sectioned","not-started","Add Stormwater Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Stormwater (Main Line)"
"cb08542f-37d4-51c2-96d6-cae2feb28c7e","","checklist-sectioned","not-started","Add Waster Water Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Waste Water (Main Line)"
"36049f44-97c7-5929-b6bf-153e8b17e364","","checklist-sectioned","not-started","Add Water Main","checklist","FALSE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Water Main"
"b2ebdd49-4d37-4788-a741-116039c49f26","","folder-normal","not-started","","step","TRUE","FALSE","QA","Foundations","Zone 3 - (Grids 6-12 & F_K)"
"af4b9e0a-b773-4517-a430-0451ada15f93","","checklist-sectioned","not-started","Add Stormwater Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 3 - (Grids 6-12 & F_K)","Stormwater (Main Line)"
"6b511719-4a47-5ee1-b115-d860a6b41cc2","","checklist-sectioned","not-started","Add Waster Water Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 3 - (Grids 6-12 & F_K)","Waste Water (Main Line)"
"f444131c-1738-5463-8768-3a9ca7d01fe1","","checklist-sectioned","not-started","Add Water Main","checklist","FALSE","FALSE","QA","Foundations","Zone 3 - (Grids 6-12 & F_K)","Water Main"
"6d002e1c-3e06-4b8f-84b3-dec11d731ad8","","folder-normal","pass","","step","TRUE","FALSE","QA","Foundations","Zone 4 - (Grids 1-6 & G-K)"
"81b02baa-c134-4c75-81e3-db720ae61ef0","","checklist-sectioned","pass","Add Stormwater Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 4 - (Grids 1-6 & G-K)","Stormwater (Main Line)"
"d46401f7-d798-531a-9f71-ca38a6760b6c","","checklist-sectioned","pass","Add Waster Water Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 4 - (Grids 1-6 & G-K)","Waste Water (Main Line)"
"ef3c93e5-a743-518f-b608-6a48b9cf4a33","","checklist-sectioned","pass","Add Water Main","checklist","FALSE","FALSE","QA","Foundations","Zone 4 - (Grids 1-6 & G-K)","Water Main"
"ab48f4c5-51ba-4d01-b569-04a334ec25d4","","folder-normal","not-started","","step","TRUE","FALSE","QA","Foundations","Zone 5 - (Grids 6-12 & K-N)"
"da8964f5-2ea8-4b17-aa82-be3711d15e23","","checklist-sectioned","not-started","Add Stormwater Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 5 - (Grids 6-12 & K-N)","Stormwater (Main Line)"
"46eff5b8-a7fe-5772-a8bc-765dfabf51c1","","checklist-sectioned","not-started","Add Waster Water Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 5 - (Grids 6-12 & K-N)","Waste Water (Main Line)"
"befc689c-975f-500f-9eb0-cfa61a992094","","checklist-sectioned","not-started","Add Water Main","checklist","FALSE","FALSE","QA","Foundations","Zone 5 - (Grids 6-12 & K-N)","Water Main"
"2da836a3-54d1-4f2f-a02c-f9e8daa2fd3a","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Foundations","Zone 6 - (Grids 1-6 & K-N)"
"33a523bd-ac9a-4b0d-996a-3e8ed81707ec","","checklist-sectioned","pass","Add Stormwater Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 6 - (Grids 1-6 & K-N)","Stormwater 1"
"92b2436d-2b2e-5f9f-b644-5ee527cf1f53","","checklist-sectioned","not-started","Add Waster Water Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 6 - (Grids 1-6 & K-N)","Waste Water (Main Line)"
"b248cdbb-9294-5e5d-8077-6e09597c40a2","","checklist-sectioned","not-started","Add Water Main","checklist","FALSE","FALSE","QA","Foundations","Zone 6 - (Grids 1-6 & K-N)","Water Main"
"58e5ede6-c663-4f7c-aeaf-fa4d092bc8ac","","folder-normal","pass","","step","TRUE","FALSE","QA","Foundations","Zone 6 - (Grids 1-6 & K-N)"," Stormwater 2 "
"35bd8293-f8c9-43ec-8b66-2bb5a552d606","","checklist-sectioned","pass","Add Stormwater Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 6 - (Grids 1-6 & K-N)"," Stormwater 2 ","Stormwater (Main Line)"
"d85cef9b-2739-4a86-a4ee-71d72bf90daf","","folder-normal","pass","","step","TRUE","FALSE","QA","Basement Pipework"
"0146021c-79dd-42eb-9aa8-43e296f49294","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Basement Pipework","Zone 1 (Grid 1-6 & A-F)"
"c6e8c9e0-bcfa-4983-9395-bb48e275f91a","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Basement Pipework","Zone 2 (Grid 6-12 & A-F)"
"cb2dba20-e78f-4d7a-bd1d-5f7a83cfa24c","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Basement Pipework","Zone 3 (Grid 1-6 & F-K)"
"765ff4c0-2270-4675-8dd2-d7e28ba40fa6","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Basement Pipework","Zone 4 (Grid 6-12 & F-K)"
"3ec42815-1178-46be-bfc5-99e558ff46c3","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Basement Pipework","Zone 5 (Grid 6-12 & K-N)"
"a98dde85-efb5-4bea-ba43-e928ffd1d171","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Basement Pipework","Zone 6 (Grid 1-6 & K-N)"
"3f3ea110-5ecd-4f1a-9ee1-d23614bcb39a","","folder-normal","pass","","step","TRUE","FALSE","QA","Lower Ground (LG)"
"c9190b6d-1141-4a0b-8715-4e2670640e4c","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Lower Ground (LG)","Zone 1 (Grid 1-6 & A-F)"
"85bb9e26-d477-450a-ba0b-6c391e186c26","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Lower Ground (LG)","Zone 2 (Grid 6-12 & A-F)"
"d350beb8-1043-456a-9a08-21aa2d9b19b9","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Lower Ground (LG)","Zone 3 (Grid 1-6 & G-K)"
"1578122f-a6f1-4bbe-a0db-b99191967493","","checklist-sectioned","pass","Basement checklist","checklist","FALSE","FALSE","QA","Lower Ground (LG)","Zone 4 (Grid 6-12 & F-K)"
