"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ef58be16-4e76-4c32-9e46-37fc6f3358ea","","no-status-not-started","","folder","TRUE","FALSE","Site QA"
"49757f03-e18f-42f7-bc6a-5a6ca4e679f3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs"
"bb081699-bc6e-4c67-8df6-10bcec99f450","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R001"
"71a38e4c-a5b6-4b5a-b55e-37fff3b5f804","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R002"
"3d8c1983-c50d-4735-b19e-dd317026c5c3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R003"
"af80a314-03aa-4a85-abf1-41a18bea836c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R004"
"b10ad7ed-9a9c-44be-b5f7-934bef3bb3e8","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R005"
"acfb892e-1f60-4491-9321-dda7b002fe6d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R006"
"6d5fa70b-8712-43d3-8231-a02e7b7f623f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R007"
"7cbece79-6203-435d-b275-15bda89323d8","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R008"
"17364d11-19bf-403a-afc8-791586ade9b5","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R009"
"77806cf4-0722-4350-9251-063e5d136a68","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R010"
"da60ea46-afbe-4e0e-8b58-83e689ecfb41","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R011"
"00b6092e-e53a-476a-bc17-928c322cfde4","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R012"
"78011dab-915e-4551-8f1a-3dc3f90e7a2b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R013"
"e5893e29-d1b6-4eba-b165-86f8706e5807","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R014"
"813d1287-a0c5-415c-bab4-0bfb7a0ae90f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R015"
"74168784-353e-4e2c-84ca-8196e59c52f1","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R016"
"f0423b9d-4b7d-4137-bad9-a24aeb6eda87","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R017"
"ce60c014-a819-46a0-a1c2-e35e08bca097","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R018"
"8bb699d3-24b1-47da-83fc-5b9050bd38c8","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R019"
"08508cf5-49cb-4223-a5f7-95aa428870ce","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Anomaly Repairs","R020"
"337ee6e3-7e4b-482f-8b9e-79cf87dfca69","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Material Testing"
