"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9bc4e785-452f-48e3-9eec-1cb93c67ffd2","","not-started","","folder","TRUE","FALSE","New Pool AHU"
"89c127c1-6e7d-443e-a516-a478963f6b49","","not-started","","folder","TRUE","FALSE","New Pool AHU","AHU 1"
"9bd81d41-db5c-4538-9fe1-bd16a6c3d63d","","not-started","Pre-Start AHU","checklist","FALSE","FALSE","New Pool AHU","AHU 1","Pre-Start AHU"
"362e1f62-959d-4305-a882-2bef75998910","","not-started","First Fix AHU","checklist","FALSE","FALSE","New Pool AHU","AHU 1","First Fix AHU"
"038f11e3-dd29-4dc8-b300-2b836d72d9df","","not-started","Second Fix AHU","checklist","FALSE","FALSE","New Pool AHU","AHU 1","Second Fix AHU"
"8282272b-855c-430f-a098-cb025c96ce30","","not-started","Commission AHU","checklist","FALSE","FALSE","New Pool AHU","AHU 1","Commission AHU"
