"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d23bae9c-abc2-4086-8422-ac9126459750","","not-started","","folder","TRUE","FALSE","INSPECTION TEST PLAN / CHECK LIST"
"a8342e44-9b75-4d79-8f35-4aa2a61ede13","","not-started","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","PIT07-16 - Bs"
"b9a4e356-38a8-4e80-9c6d-93df7bb9ba09","","not-started","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","PIT07-16 - Wl"
"9f4d71bb-6f36-486d-b198-1607c9d9e587","","not-started","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST","PIT07-16 - Ld"
"30fca4a1-07b0-4575-90d4-f4763095b485","","work-in-progress","","folder","TRUE","FALSE","Checkers Checklist"
"f9431091-45d5-40cb-abc8-1c3e5aa14987","","work-in-progress","Checkers Checklist","checklist","FALSE","FALSE","Checkers Checklist","PIT07-16 - Bs"
"89180b1e-ae18-4db5-abdb-cca1a263e34d","","not-started","Checkers Checklist","checklist","FALSE","FALSE","Checkers Checklist","PIT07-16 - Wl"
"09249bc5-968a-4063-9a0f-4aa04985a33b","","not-started","Checkers Checklist","checklist","FALSE","FALSE","Checkers Checklist","PIT07-16 - Ld"
"ca58fd7c-6e5c-4a3d-95ef-34b2ad30c06d","","not-started","","folder","TRUE","FALSE","Installers Checklist"
"3d746f0a-95e4-411d-98e1-14237c7e6ea9","","not-started","Installers Checklist","checklist","FALSE","FALSE","Installers Checklist","PIT07-16 - Bs"
"873311e3-87ad-4192-b7c6-80527b1bddb6","","not-started","Installers Checklist","checklist","FALSE","FALSE","Installers Checklist","PIT07-16 - Wl"
"314354b1-cbb4-4af8-8d46-9075bd2a0da4","","not-started","Installers Checklist","checklist","FALSE","FALSE","Installers Checklist","PIT07-16 - Ld"
