"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c56415df-6485-4d2c-a173-8bb1798136a4","","not-started","","folder","TRUE","FALSE","Project Wide"
"94270cd0-e430-44fe-8154-444979482f31","","not-started","","folder","TRUE","FALSE","Project Wide","G10 - Traffic Management"
"6026cacd-ca7d-466c-b499-8a8e581fb65f","","not-started","G10 - Traffic Management","checklist","FALSE","FALSE","Project Wide","G10 - Traffic Management","TTM-G10 - Traffic Management-LOT-001"
"487e1f4d-52b7-443f-a91f-0919b5b9ecd7","","no-status-not-started","","folder","TRUE","FALSE","Project Wide","G36 - Environmental Management"
"79becbf2-fabd-49fb-8907-f75ba079dccb","","no-status-not-started","","folder","TRUE","FALSE","Project Wide","G38 - Soil & Water Management"
"2977dbb6-0072-4e3e-a8f9-3b3655a8b234","","no-status-not-started","","folder","TRUE","FALSE","Project Wide","G40 - Clearing and Grubbing"
"1e8631fd-7829-420e-a2a5-1a605829fe01","","no-status-not-started","","folder","TRUE","FALSE","Project Wide","R44-01 - General Earthworks"
"9317b4d6-39f8-4905-878c-5ebb44550b0d","","no-status-not-started","","folder","TRUE","FALSE","Project Wide","R44-02 - Rock Armour"
"4ceaf99a-e728-49ac-ae9b-1166bbb9a272","","no-status-not-started","","folder","TRUE","FALSE","Project Wide","R64-01 - Soil Nails"
"5f554c57-def3-438a-ac57-648bc5050cf6","","no-status-not-started","","folder","TRUE","FALSE","Project Wide","R64-02 - Strip Drains & Horizontal PVC Drains"
"fd6a7cf6-a704-4f40-9092-e828511cdcd8","","no-status-not-started","","folder","TRUE","FALSE","Project Wide","R68-01 - Shotcrete Work Without Steel Fibres"
"b7532a1f-892b-4462-b4bf-c53bb871893b","","no-status-not-started","","folder","TRUE","FALSE","Project Wide","R116 - Heavy Duty Dense Graded Asphalt (Intermediate & Wearing Courses)"
"bf627b33-1233-4055-affe-88db3b41970c","","no-status-not-started","","folder","TRUE","FALSE","Project Wide","R132 - Safety Barrier Systems (Removal and Installation)"
"a4efadd2-da2e-4342-a8f7-5aa13d80a4d6","","no-status-not-started","","folder","TRUE","FALSE","Project Wide","R145 & R142 - Line Marking & Retroreflective Raised Pavement Markers"
