"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"231d30b6-66bc-48b1-aaa5-e170f674b239","","folder-normal","work-in-progress","","step","TRUE","FALSE","Ground Floor "
"839b3aad-a782-4fd4-a46c-4f7d9ddacfe8","","checklist-sectioned","not-started","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C50"
"0e1ce05e-a845-433c-b0be-e9dcdb0deef9","","checklist-sectioned","not-started","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C64"
"7d94b7f8-1435-44be-8352-14249996fff2","","checklist-sectioned","not-started","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C66"
"b99672ce-2d59-45b4-9195-d24ef4474e7d","","checklist-sectioned","not-started","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C68"
"b8283f4c-9303-4a71-9d75-e6717621463c","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C76"
"d86a2883-a423-4630-b20c-fab144ab961f","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C79"
"5bb5e4c4-5149-4eca-bf19-24ba097817f9","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C51"
"8ffb5033-dd23-4bae-8ddd-b78ffe86bed7","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C77"
"f8d676f3-9c3d-49c4-ab6b-0728ebdf008e","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C80"
"d5f629ba-25dc-45b3-bd32-df5413d707b5","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C95"
"2747ed63-9781-4e4e-b430-80e659a652e9","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C98"
"2c2b4d46-190c-4bec-b50a-19f5eb3e63d4","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C131"
"09b3ea47-03f4-4960-abb4-a0b9c85a85b1","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C099"
"c19c6202-68bc-440c-8694-03e2db183228","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C101"
"96bc174e-7e3e-41ba-bb36-e640775d5bf4","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C110"
"6a06e297-6ee4-45e1-9c7c-fb7c6ec6f143","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C112"
"bf0bfe5e-7027-4ffd-a195-78b6c9d9ab4c","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C113"
"dbd2e59a-a87b-4768-80cf-dc60777d6b81","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C114"
"86c23d6a-c55f-4e8f-9313-fd983df72b00","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C117"
