"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fedd6d80-ef09-4b80-8fa3-cb870f4b60a8","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project Build QA"
"b4e57143-7ebd-4c9b-97cc-8c4e044ba869","","folder-normal","pass","","step","TRUE","FALSE","Project Build QA","Stage 401"
"459ca399-d6d8-4fc1-9ea0-f45ffdff98ef","","folder-normal","pass","","step","TRUE","FALSE","Project Build QA","Stage 401","Stage 401 - Fire Kiosk"
"7a6db25d-f5e2-4404-a619-61b641727fc8","","folder-normal","pass","","step","TRUE","FALSE","Project Build QA","Stage 401","Stage 401 - Fire Kiosk","Valve Room"
"6ca3572c-7e21-41e8-93a2-3a816be558e8","","checklist-sectioned","pass","ST - S - Concrete Pour","checklist","FALSE","FALSE","Project Build QA","Stage 401","Stage 401 - Fire Kiosk","Valve Room","Groundwork/Concrete"
"f4ef1d87-f2f8-49b5-ad71-c549593472a7","","checklist-flat","pass","SYSRPL - ST - S - Timber Framing","checklist-flat","FALSE","FALSE","Project Build QA","Stage 401","Stage 401 - Fire Kiosk","Valve Room","Timber Framing"
"40ebd2d1-e593-4baa-b6f0-8ac17f36240e","","checklist-flat","pass","PRE - S - Insulation","checklist-flat","FALSE","FALSE","Project Build QA","Stage 401","Stage 401 - Fire Kiosk","Valve Room","Insulation"
"4cb19b2b-0676-4f9a-869e-020c8e121ce4","","checklist-flat","pass","POST - S - Internal Lining - Walls","checklist-flat","FALSE","FALSE","Project Build QA","Stage 401","Stage 401 - Fire Kiosk","Valve Room","Wall Lining"
"78b47bd6-a54b-472b-8003-0024122dc5ee","","checklist-flat","pass","SYSRPL - ST - S - Roof structure - Timber Trusses","checklist-flat","FALSE","FALSE","Project Build QA","Stage 401","Stage 401 - Fire Kiosk","Valve Room","Timber Trusses"
"d36c3251-e3e3-4d69-a8c0-0240dbf8c4fb","","checklist-flat","pass","POST - S - Internal Lining - Ceilings","checklist-flat","FALSE","FALSE","Project Build QA","Stage 401","Stage 401 - Fire Kiosk","Valve Room","Ceiling Lining"
"9e022ce2-af4e-43d8-a5e6-46d65292bfb3","","checklist-flat","not-applicable","POST - S - Stopping","checklist-flat","FALSE","FALSE","Project Build QA","Stage 401","Stage 401 - Fire Kiosk","Valve Room","Stopping"
"b0ec7bb6-79dc-440b-b0ba-cd92a872aec7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project Build QA","Stage 3 - THB 11 & 13"
"8debe972-b14a-4210-8dd5-62075dcaffdd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project Build QA","Stage 3 - THB 11 & 13","THB11"
"2e81602c-d8b8-4f99-9ce8-f75cccb2ae12","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project Build QA","Stage 3 - THB 11 & 13","THB11","TH33"
"a30020f6-72d2-49e8-b2ce-f93c31fd4a0d","","checklist-flat","work-in-progress","db845702340c1d41708c969cc451da14f36b43f98eddc19750c94a12e464ec0f","checklist-flat","FALSE","FALSE","Project Build QA","Stage 3 - THB 11 & 13","THB11","TH33","Timber Framing"
"dbe5ab2f-4ec7-4031-87e0-1aef439e9e10","","checklist-flat","work-in-progress","b049b6b469e4d435f46dab06bcd81b2be4fdea046091855a857c618adbf94ec9","checklist-flat","FALSE","FALSE","Project Build QA","Stage 3 - THB 11 & 13","THB11","TH33","Timber Trusses"
"3d0da2e1-6718-47bd-91f0-fbfdb6931df9","","checklist-flat","work-in-progress","faf399c502a6a69939e6acf03fc541f444ca64fee7851f8bf390358964dcdabd","checklist-flat","FALSE","FALSE","Project Build QA","Stage 3 - THB 11 & 13","THB11","TH33","External Envelope"
"38494242-5d73-4514-bad0-e43fc4f2954b","","checklist-flat","work-in-progress","d874736f0b3834d8661357a87d45ecc83a5b71d1a400d416fc97fdfe81030de0","checklist-flat","FALSE","FALSE","Project Build QA","Stage 3 - THB 11 & 13","THB11","TH33","Windows, Sliders and Sealants"
"11e245e8-102b-4f67-aa55-d0e1b12ce050","","checklist-flat","not-started","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","Project Build QA","Stage 3 - THB 11 & 13","THB11","TH33","Skirting, Architraves & Trims"
"79c321ab-977b-4247-af01-252e225e569d","","checklist-flat","not-started","POST - S - Hardware Installation","checklist-flat","FALSE","FALSE","Project Build QA","Stage 3 - THB 11 & 13","THB11","TH33","Hardware"
"cdf7b07a-551a-418a-8c27-5204beaec78b","","checklist-flat","not-started","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","Project Build QA","Stage 3 - THB 11 & 13","THB11","TH33","Internal Doors"
"a0204a9f-1da5-477c-803f-d68f6e50110c","","checklist-flat","not-started","POST - S - Handrails","checklist-flat","FALSE","FALSE","Project Build QA","Stage 3 - THB 11 & 13","THB11","TH33","Handrails"
"9d044e01-3445-4740-8e91-63c6d8761b02","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project Build QA","Stage 3 - THB 11 & 13","THB11","TH34"
"96aa94e1-dbbf-4af3-8f75-db03b5b59574","","checklist-flat","work-in-progress","db845702340c1d41708c969cc451da14f36b43f98eddc19750c94a12e464ec0f","checklist-flat","FALSE","FALSE","Project Build QA","Stage 3 - THB 11 & 13","THB11","TH34","Timber Framing"
