"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5553face-d278-4a27-aaab-c2fb96165519","","folder-normal","fail","","step","TRUE","FALSE","Pre Checklist"
"ab7e1dd6-b011-47af-9a38-c183b0936753","","checklist-flat","work-in-progress","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","G01"
"a831b24e-9e27-4e07-ba81-7da83c7c9eb0","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","G02"
"0ccc70a3-7cd1-48f1-aa80-4ba4f4c06b48","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","G03"
"6ae09769-597d-4cc3-b9c2-deba9c181260","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","G04"
"19a0b89d-9414-4ba5-9910-bb89b5a278c7","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","G05"
"8da6ee41-d843-4015-b288-188680106e39","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","101"
"ac3376ca-0e7a-4c15-82ba-20dfa3098ce8","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","102"
"8463ea96-a9d1-47f5-9567-942ffd4026d5","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","103"
"7a944f30-2ee9-4646-864f-be806743dc28","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","104"
"ce145422-c850-4977-86c5-c677170c22ca","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","105"
"37c31a7a-7444-4952-b28c-afdc6b1701d2","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","106"
"99d4672a-6170-4f3e-9ca5-0e8d42727ef1","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","107"
"bb56cb31-dc93-48ef-afde-2fb04fb6561b","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","108"
"55339bdb-2f00-4005-985c-d0dfbc778bd4","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","109"
"d080055c-863a-4fbb-b31b-979bc67ca887","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","201"
"aff80412-0058-44f9-8498-21260ba3f588","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","202"
"e43bafcd-ab4c-4e9a-bae0-c6a7ca1365c9","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","203"
"6d6c9555-777a-4978-a250-6b91a3ad0ec8","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","204"
"00642f72-ae82-4a8e-a8c7-0a2a455eff71","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","205"
"ea0cea81-3ae4-414f-a39e-5b1bf5738749","","checklist-flat","not-started","Pre Checklist","checklist-flat","FALSE","FALSE","Pre Checklist","206"
