"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"555936a5-dcde-4ed4-ae6c-d9d68f18feeb","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"31bd9329-fd12-450d-bb0d-8e7fe3dc4c46","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Rough In"
"82e71c42-7bd6-40f0-a992-a0c9d34c5edc","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Rough In","Apartment"
"7d9159a6-2222-454e-8bea-73f5dc180bfb","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rough In","Apartment","Ground"
"e7fdbdce-80e3-4890-afc9-2b073de4ab83","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Ground","G.01"
"ecf3097f-723c-4e95-8e52-3daf28a32629","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Ground","G.02"
"15482b09-07f5-4017-83db-717fcbc2fcaf","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Ground","G.03"
"6b51f857-b4e7-48d4-9a8d-e1913e664701","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Ground","G.04"
"f2bc18ba-b083-4c9b-9221-f3349f57b87a","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Ground","G.05"
"d6f96ac1-163e-4186-83a3-84ebaf836493","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Ground","G.06"
"34a2ae69-6c2e-48f9-a729-1b0d18868af1","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Ground","G.07"
"3d54b137-c72c-47f0-b6a4-4f23511bd362","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Ground","G.08"
"8627ac38-06dd-418c-8d5b-c33d9aeb2895","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Apartment","Level 1"
"141b3dc5-c2d0-4b3d-9e40-b4bf1144eda5","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.01"
"3b984312-c1a3-4a41-a86e-6c447fca2d5e","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.02"
