Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Plastering & Internal Hebel,,,,,,,
,Scope,,,Site QA,Plastering & Internal Hebel,,
,Rows,,,,,,
,,Building A - Level 1,dynamic,Site QA,Plastering & Internal Hebel,Building A,Level 1
,,Building A - Level 2,dynamic,Site QA,Plastering & Internal Hebel,Building A,Level 2
,,Building A - Level 3,dynamic,Site QA,Plastering & Internal Hebel,Building A,Level 3
,,Building A - Level 4,dynamic,Site QA,Plastering & Internal Hebel,Building A,Level 4
,,Building A - Level 5,dynamic,Site QA,Plastering & Internal Hebel,Building A,Level 5
,,Building B - Ground Floor,dynamic,Site QA,Plastering & Internal Hebel,Building B,Ground Floor
,,Building B - Level 1,dynamic,Site QA,Plastering & Internal Hebel,Building B,Level 1
,,Building B - Level 2,dynamic,Site QA,Plastering & Internal Hebel,Building B,Level 2
,,Building B - Level 3,dynamic,Site QA,Plastering & Internal Hebel,Building B,Level 3
,,Building B - Level 4,dynamic,Site QA,Plastering & Internal Hebel,Building B,Level 4
,,Building B - Level 5,dynamic,Site QA,Plastering & Internal Hebel,Building B,Level 5
,,Building C - Ground Floor,dynamic,Site QA,Plastering & Internal Hebel,Building C,Ground Floor
,,Building C - Level 1,dynamic,Site QA,Plastering & Internal Hebel,Building C,Level 1
,,Building C - Level 2,dynamic,Site QA,Plastering & Internal Hebel,Building C,Level 2
,,Building C - Level 3,dynamic,Site QA,Plastering & Internal Hebel,Building C,Level 3
,,Building C - Level 4,dynamic,Site QA,Plastering & Internal Hebel,Building C,Level 4
,,Building C - Level 5,dynamic,Site QA,Plastering & Internal Hebel,Building C,Level 5
,,Building D - Ground Floor,dynamic,Site QA,Plastering & Internal Hebel,Building D,Ground Floor
,,Building D - Level 1,dynamic,Site QA,Plastering & Internal Hebel,Building D,Level 1
,,Building D - Level 2,dynamic,Site QA,Plastering & Internal Hebel,Building D,Level 2
,,Building D - Level 3,dynamic,Site QA,Plastering & Internal Hebel,Building D,Level 3
,,Building D - Level 4,dynamic,Site QA,Plastering & Internal Hebel,Building D,Level 4
,,Building E - Ground Floor,dynamic,Site QA,Plastering & Internal Hebel,Building E,Ground Floor
,,Building E - Level 1,dynamic,Site QA,Plastering & Internal Hebel,Building E,Level 1
,,Building E - Level 2,dynamic,Site QA,Plastering & Internal Hebel,Building E,Level 2
,,Building E - Level 3,dynamic,Site QA,Plastering & Internal Hebel,Building E,Level 3
,,Building E - Level 4,dynamic,Site QA,Plastering & Internal Hebel,Building E,Level 4
,Columns,,,,,,
,,Framing - All frames/studs set out correctly,,All frames/studs set out correctly,Framing,,
,,Framing - All frames plumb & square,,All frames plumb and square,Framing,,
,,Framing - Fix to structural members,,Fix to structural members,Framing,,
,,Framing - All window & sliding door openings as per plan & line up with elements,,All window and sliding door openings are as per plan and line up with above elements.,Framing,,
,,Framing - Nogging all installed correctly,,Nogging all installed correctly,Framing,,
,,Framing - Plywood installed to all wet areas to adaptable units,,Plywood installed to all wet areas to adaptable units,Framing,,
,,Framing - Door frames fixing,,Door frames fixing,Framing,,
,,Framing - Studco/Rondo Supplier inspection,,Studco/Rondo Supplier inspection (Provide report to ALAND),Framing,,
,,Internal Hebel wall - Angle/sarking/top hats in place,,Angle/sarking/top hats in place,Internal Hebel wall,,
,,Internal Hebel wall - Hebel panels Alignment,,Hebel panels Alignment,Internal Hebel wall,,
,,Internal Hebel wall - Hebel installed plumb & level with adjoining surfaces,,Ensure hebel installed plumb and level with adjoining surfaces,Internal Hebel wall,,
,,Internal Hebel wall - Hebel panels in full & not cracked,,Ensure hebel panels are in full and not cracked,Internal Hebel wall,,
,,Internal Hebel wall - Control joints installed in accordance with manufacturer's specs.,,Enure control joints have been installed in accordance with manufacturer's specifications and installation guide,Internal Hebel wall,,
,,Internal Hebel wall - Hebel expansion joints installed & consistent incl. slab junctions,,Hebel expansion joints have been installed and are consistent including slab junctions,Internal Hebel wall,,
,,Internal Hebel wall - Insulation installed as per AS/BCA,,Insulation installed as per AS/BCA (party walls + external),Internal Hebel wall,,
,,Internal Hebel wall - Panels finish,,Panels finish (patches done),Internal Hebel wall,,
,,Internal Hebel wall - Fire-rated caulking & sealing,,Fire-rated caulking and sealing,Internal Hebel wall,,
,,Internal Hebel wall - Satisfaction & sign off from CSR inspection,,Satisfaction and sign off from CSR inspection (Provide report to ALAND),Internal Hebel wall,,
,,Plasterboard for Walls - Ply nogging,,Ply nogging,Plasterboard for Walls,,
,,Plasterboard for Walls - Rough-in sign off,,Rough-in sign off,Plasterboard for Walls,,
,,Plasterboard for Walls - Insulation installed as per AS/BCA,,Insulation installed as per AS/BCA,Plasterboard for Walls,,
,,Plasterboard for Walls - Correct type of plasterboards & thickness installed,,"Correct type of plasterboards and thickness installed as per wall details, project drawings and BCA requirements",Plasterboard for Walls,,
,,Plasterboard for Walls - Villaboard to wet areas ONLY,,Villaboard to wet areas ONLY,Plasterboard for Walls,,
,,Plasterboard for Walls - Plasterboard Lining to be installed as per guide,,Plasterboard Lining to be installed as per installation guide,Plasterboard for Walls,,
,,Plasterboard for Ceiling - Confirm Ceiling height,,Confirm Ceiling height,Plasterboard for Ceiling,,
,,Plasterboard for Ceiling - Confirm Access panel location,,Confirm Access panel location,Plasterboard for Ceiling,,
,,Plasterboard for Ceiling - Ceiling frame work,,Ceiling frame work,Plasterboard for Ceiling,,
,,Plasterboard for Ceiling - Ceiling bulkheads where required,,Ceiling bulkheads where required,Plasterboard for Ceiling,,
,,Plasterboard for Ceiling - Pelmets (use of MDF only),,Pelmets (use of MDF only),Plasterboard for Ceiling,,
,,Plasterboard for Ceiling - Ceiling insulation as per AS/BCA,,Ceiling insulation as per AS/BCA,Plasterboard for Ceiling,,
,,Plasterboard for Ceiling - Correct type of plasterboards & thickness installed,,"Correct type of plasterboards and thickness installed as per wall details, project drawings and BCA requirements",Plasterboard for Ceiling,,
,,Plasterboard for Ceiling - Villaboard to wet areas ONLY,,Villaboard to wet areas ONLY,Plasterboard for Ceiling,,
,,Plasterboard for Ceiling - Ceiling plasterboard Lining,,Ceiling plasterboard Lining,Plasterboard for Ceiling,,
,,Setting & Sanding  - Angle/LB/P50 install,,Angle/LB/P50 install,Setting & Sanding ,,
,,Setting & Sanding  - First coat setting,,First coat setting,Setting & Sanding ,,
,,Setting & Sanding  - Second coat setting,,Second coat setting,Setting & Sanding ,,
,,Setting & Sanding  - Final coat setting,,Final coat setting,Setting & Sanding ,,
,,Setting & Sanding  - Sanding,,Sanding,Setting & Sanding ,,
,,Setting & Sanding  - Patching,,Patching,Setting & Sanding ,,
,,Setting & Sanding  - Defects,,Defects,Setting & Sanding ,,
,,Setting & Sanding  - Final Inspection,,Final Inspection,Setting & Sanding ,,
,,,,,,,
External Hebel Wall,,,,,,,
,Scope,,,Site QA,External hebel wall,,
,Rows,,,,,,
,,Building A - A Level 1,dynamic,Site QA,External hebel wall,Building A,A Level 1
,,Building A - A Level 2,dynamic,Site QA,External hebel wall,Building A,A Level 2
,,Building A - A Level 3,dynamic,Site QA,External hebel wall,Building A,A Level 3
,,Building A - A Level 5,dynamic,Site QA,External hebel wall,Building A,A Level 5
,,Building B - B Ground Floor,dynamic,Site QA,External hebel wall,Building B,B Ground Floor
