resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,
SYS - Job Details Checklist (V1),checklist,,,Job Details,,,,,,,,,,,,,
,step,,,Precast Manufacture,,,,,,,,,,,,,
,step,,,,Precast Panels,,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P01,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P02,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P03,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P04,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P05,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P06,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P07,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P08,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P09,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P10,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P11,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P12,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P13,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P14,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P15,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P16,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P17,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P18,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P19,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P20,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P21,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P22,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P23,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P24,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P25,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P26,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P27,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P28,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P29,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P30,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P31,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P32,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P33,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P34,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P35,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P36,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P37,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P38,,,,,,,,,,,
QA - Item Checklist (V6),checklist,,,,,807-P39,,,,,,,,,,,
