"","Area ready & accessible to work","data:Conduit Run / Grid No","Survey and set out was correct at time of survey . Surveyor to complete (& reference set out info)","Permit to dig","Alignment correct width / depth suitability of base","Conduit Installation Size / Type / Quantity","Conduit Installation, correct spacers used","Photograph, Trench Detail & Depth","GFIS detail for as build data base - Surveyor to complete","Confirm backfill is suitable - Check compaction & frequency requirements","Geo to confirm","data:Suitability of proposed backfill","data:Test 1 per 2 layers per 40m","data:Confirm layers being replaced i.e. geo - fab, road base & general fill","Trench Markers","Geo tech results reviewed"
"Level 1"
"Zone 1 - ITC-220.1 In-Ground Works",,,,,,,,,,,,,,,,
"Zone 2","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 3","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 4","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 5","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 6 (Ambience)","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 7 (Ambience) - ITC-220.1 In-Ground Works",,,,,,,,,,,,,,,,
"Zone 8","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 13","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 14","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 15","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 16","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 17","pass","","not applicable","not applicable","pass","pass","not applicable","pass","not applicable","not applicable","not applicable","","","","pass","not applicable"
"Zone 18","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Level 2"
"Zone 1","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 2","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 3","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 4","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 5","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 6 (Ambience)","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 7 (Ambience)","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 8","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 9","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 10","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 11","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 12","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Level 3"
"Zone 3","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 4","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Level 4"
"Zone 3","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
"Zone 4","not started","","not started","not started","not started","not started","not started","not started","not started","not started","not started","","","","not started","not started"
