type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Stainless Steel Drainage valve rebuild,,,,,,Add Stainless Steel Drainage valve rebuild Checklist,
section,Details,,,,,,,
checkpoint,Photo of any pre existing damage to valve or seal,,,,,,,
checkpoint,Photo of valve before,,,,,,,
checkpoint,Photo of old valve seals,,,,,,,
checkpoint,Photo of inside of the valve,,,,,,,
checkpoint,Photo of new seals installed,,,,,,,
bool,All Bolts Tightend in a cross pattern,,,,,,,
checkpoint,Tightend to correct torque list newton meters ,,,,,,,
number,Newton Meters,,,,,,,
checkpoint-no-status,Installing Plumber,,,,,,,
button,Plumber:,"Richard Bell, Brendan Head, Guy Mcelholum",,,,,,
