type,name,values,prefix,postfix,usage count,user addable,template name,,
checklist-flat,Delivery Docket Upload Checklist,,,,,,Delivery Docket Upload Checklist,,
checkpoint-status,Delivery docket uploaded - attach below,,,,,,,,
