"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"94ee4214-c098-46ea-9a0d-6847a37405a6","","folder-normal","fail","","step","TRUE","FALSE","External"
"abed18e0-1993-4bde-bae4-caddf28ba021","","folder-normal","not-started","","step","TRUE","FALSE","External","1"
"e2d2ca33-59d3-4170-ae28-d81c12de13b5","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","1","L1.02"
"7a000df2-eec3-4566-b654-1e6c878bc490","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","1","L1.03"
"fb310693-dad1-4c6a-99d4-a931d9586fd1","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","1","L1.04"
"928dca2e-ce5c-42a5-8310-6e44942a4b65","","checklist-flat","not-started","Seismic Suite (non curtain wall) + Auto Door","checklist-flat","FALSE","FALSE","External","1","L1.05"
"a1329364-2bf2-402b-a70f-7614319fd933","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","1","L1.06"
"28c2a2cb-3bba-4e6e-9c5e-97d66abb07ce","","checklist-flat","not-started","Seismic Suite (non curtain wall) + Auto Door","checklist-flat","FALSE","FALSE","External","1","L1.07"
"e0cf5127-088e-4eca-b6f8-687947753333","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","1","L1.08"
"d85ab052-d749-4bf1-9b8c-424f95547708","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","External","1","D1.2.3-001B"
"ba08d337-d308-40e6-b78f-2bc49f1efb5f","","folder-normal","not-started","","step","TRUE","FALSE","External","2"
"67eb6d68-072d-400f-9106-fc105dca44c8","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","External","2","D2.2.3-C12E"
"65ceb4cf-e04c-41ec-8087-ccf56b985446","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","2","L2.01"
"09dfdcb5-2728-4a56-b6fc-00401eb3b4b1","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","2","L2.02"
"21d4577c-b927-49b7-8f4c-a92996ac6efc","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","2","L2.03"
"22d8ff06-5d9e-4563-8de9-4ff7313361db","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","2","L2.04"
"3cca77c6-3c4e-47dd-b2ca-fb97180a9ffd","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","2","L2.05"
"41c57969-1e44-4603-803a-fd3234692613","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","2","L2.06"
"c4fb969a-c1a7-4ea4-9464-c7c94c6332a0","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","2","L2.07"
"67bc3d3f-d88d-4c78-bfda-543118f2c5bd","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","2","L2.08"
"f74e4825-52d9-430b-9294-b4a3821c7f4f","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","2","L2.09"
"27c52fdf-058d-4f01-8946-f913c985e730","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","2","L2.10"
"44995a55-db9a-4ad4-8683-d6923134b7c3","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","2","L2.11"
"b9325391-19ce-4c24-8ab8-ceafc52dc3e1","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","2","L2.12"
"03ff7a10-a38d-4d90-8915-3bd671257e18","","folder-normal","fail","","step","TRUE","FALSE","External","3"
"7c806f45-d659-49b8-a0e2-b84f1f825bc0","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.01"
"54b36905-891b-44ec-a8f6-a8534c360de5","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.02"
"85f6ac83-e4f2-4625-af4e-2e63cd5e4c24","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.03"
"efb9f0bb-83b1-46f6-abae-758d50e33994","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.04"
"4ed243be-8acd-4766-8fee-5e3f0879537d","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.05"
"06f86763-e5c6-4b1c-9521-ae7dabae2182","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.06"
"d7f440ce-f3e4-4802-adb6-66cdbfa3c853","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.07"
"71fa4dbc-7a7a-4af0-8fea-1e20a29a3e18","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.08"
