"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"723b1d1e-0ddd-4610-a476-d46fa937e649","","not-started","QA_TEM_011_Mains & Submains Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MDB-STN (T)","Mains & Submains Installation"
"848a84d2-fdf2-4dbc-b569-a0ab128ee8b8","","not-started","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MDB-STN (T)","Switchboard & DB Installation"
"62a736e4-65b1-4be0-90c6-6d3e99e480a8","","not-started","QA_TEM_013_Switchboard & Distribution Board Assembly","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MDB-STN (T)","Switchboard & Distribution Board Assembly"
"767045f7-ab79-4978-96a1-75061e74065b","","not-started","QA_TEM_014_Cable Terminations","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MDB-STN (T)","Cable Terminations"
"81990c44-4ed8-47b0-8dfb-d2007c7f8f9f","","not-started","QA_TEM_015_Accessories Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MDB-STN (T)","Accessories Installation"
"de086680-ffd6-4a25-b9bb-846abb531bf4","","not-started","QA_TEM_078_Cable Installation Checksheet","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MDB-STN (T)","Cable Installation Checksheet"
"e494c4ca-c502-4ca7-ab0d-44ddc3b2d197","","not-started","Final Installation Checklist","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MDB-STN (T)","Final Installation Test Sheet"
"b1e591fb-15ea-445f-91d5-7e801e33329d","","not-started","","folder","TRUE","FALSE","Site QA","Electrical","Switchboards","DB-PLT-1 (T)"
"f5ed5dcf-804f-4d0b-b491-a760eb1747f2","","not-started","QA_TEM_011_Mains & Submains Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-PLT-1 (T)","Mains & Submains Installation"
"6c0d5744-5df6-49fa-acc7-357f6ed4a233","","not-started","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-PLT-1 (T)","Switchboard & DB Installation"
"3aa77bb9-0748-472c-a640-49d2e29626cd","","not-started","QA_TEM_013_Switchboard & Distribution Board Assembly","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-PLT-1 (T)","Switchboard & Distribution Board Assembly"
"d69acb63-5858-4dc5-9be4-e2d22096058e","","not-started","QA_TEM_014_Cable Terminations","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-PLT-1 (T)","Cable Terminations"
"a828451f-3463-45e5-8f2a-bfca01038207","","not-started","QA_TEM_015_Accessories Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-PLT-1 (T)","Accessories Installation"
"9b085b3b-1640-4e2c-ba2c-7632ddbc973c","","not-started","QA_TEM_078_Cable Installation Checksheet","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-PLT-1 (T)","Cable Installation Checksheet"
"0d9c14b2-ec61-4a30-922d-c685427dc329","","not-started","Final Installation Checklist","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-PLT-1 (T)","Final Installation Test Sheet"
"9b1ac938-6ad1-4e75-be90-9a29fbf38a22","","not-started","","folder","TRUE","FALSE","Site QA","Electrical","Switchboards","DB-PLT-2 (T)"
"e659c162-395b-4f02-87ad-c06fecb96d45","","not-started","QA_TEM_011_Mains & Submains Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-PLT-2 (T)","Mains & Submains Installation"
"bb897932-1d74-44d4-89f9-c9e025f74037","","not-started","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-PLT-2 (T)","Switchboard & DB Installation"
"0dea211c-c2b3-4d56-8772-50d076f4fce8","","not-started","QA_TEM_013_Switchboard & Distribution Board Assembly","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-PLT-2 (T)","Switchboard & Distribution Board Assembly"
"bedd4a40-0b69-4b1c-bb82-b3d956d14e9b","","not-started","QA_TEM_014_Cable Terminations","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-PLT-2 (T)","Cable Terminations"
"f94383a2-8ae0-42bb-8d76-dea31ae07fd9","","not-started","QA_TEM_015_Accessories Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-PLT-2 (T)","Accessories Installation"
"777572ec-da4e-4e43-9c03-8095127ac17e","","not-started","QA_TEM_078_Cable Installation Checksheet","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-PLT-2 (T)","Cable Installation Checksheet"
"b4101564-d605-40e2-9f66-4cdaf620c0ab","","not-started","Final Installation Checklist","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-PLT-2 (T)","Final Installation Test Sheet"
"7160c322-556a-44ef-9597-68abda5f9210","","not-started","","folder","TRUE","FALSE","Site QA","Electrical","Switchboards","DB-STN-OFFICE (T)"
"27083c5b-5ee1-46a7-9f79-c4e058e23a0d","","not-started","QA_TEM_011_Mains & Submains Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-STN-OFFICE (T)","Mains & Submains Installation"
"18b17329-b346-47f2-b5d3-cc288cdf34cd","","not-started","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-STN-OFFICE (T)","Switchboard & DB Installation"
"93db5682-ce19-4cf3-be6e-bba26a6bad78","","not-started","QA_TEM_013_Switchboard & Distribution Board Assembly","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-STN-OFFICE (T)","Switchboard & Distribution Board Assembly"
"99881ea5-8944-4c7a-8867-c0170a0d1035","","not-started","QA_TEM_014_Cable Terminations","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-STN-OFFICE (T)","Cable Terminations"
"686428ca-0ca3-4db4-85d9-3b485b0271c7","","not-started","QA_TEM_015_Accessories Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-STN-OFFICE (T)","Accessories Installation"
"430f065d-32d6-458c-a2b8-7f1c4a25c493","","not-started","QA_TEM_078_Cable Installation Checksheet","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-STN-OFFICE (T)","Cable Installation Checksheet"
"c5ed4951-24c6-43fc-9222-bb071893bac6","","not-started","Final Installation Checklist","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","DB-STN-OFFICE (T)","Final Installation Test Sheet"
"7c4fac5f-e713-4fea-acf5-f9eb0aa7dfcd","","not-started","","folder","TRUE","FALSE","Site QA","Electrical","Switchboards","MSB-CP"
"1f541cb8-267a-4bf7-b8fe-809f124cb2c0","","not-started","QA_TEM_011_Mains & Submains Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSB-CP","Mains & Submains Installation"
"358fc64a-8fe7-4a74-86bd-ddb9106baea0","","not-started","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSB-CP","Switchboard & DB Installation"
"2a42292b-be67-4033-ab36-1b50c268b3be","","not-started","QA_TEM_013_Switchboard & Distribution Board Assembly","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSB-CP","Switchboard & Distribution Board Assembly"
"8e59a5b7-2dfa-4050-93c7-fc58121790b8","","not-started","QA_TEM_014_Cable Terminations","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSB-CP","Cable Terminations"
