"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8333749d-57ba-41be-b9ff-5cd7ed5afa95","","fail","","folder","TRUE","FALSE","Site QA"
"a41cb5c1-1f9b-4eda-97f3-7bab2a17c137","","fail","","folder","TRUE","FALSE","Site QA","Electrical Services"
"7fbf42e6-cf1a-469d-b866-2fa7c9594cfb","","work-in-progress","","folder","TRUE","FALSE","Site QA","Electrical Services","IN GROUNDS"
"7d094ca4-e7ac-4852-9635-e96cd38dc9b1","","work-in-progress","","folder","TRUE","FALSE","Site QA","Electrical Services","IN GROUNDS","E01"
"d1bd9e27-5dbe-479c-ba93-4d593e5127ec","","work-in-progress","","folder","TRUE","FALSE","Site QA","Electrical Services","IN GROUNDS","E01","IN GROUND SERVICES INSTALL - TX-SMHRU-A TO MSB-A TRENCH & BACKFILL"
"f902993c-e8ee-49ad-83f2-b577a8f978f5","","work-in-progress","QA_TEM_004_Trench and Backfill","checklist","FALSE","FALSE","Site QA","Electrical Services","IN GROUNDS","E01","IN GROUND SERVICES INSTALL - TX-SMHRU-A TO MSB-A TRENCH & BACKFILL","QES-ITC-E01-001"
"0c720abd-5ec3-4b4e-8c7c-847169546b62","","work-in-progress","","folder","TRUE","FALSE","Site QA","Electrical Services","IN GROUNDS","E01","IN GROUND SERVICES INSTALL - TX-SMHRU-A TO MSB-A UNDERGROUND CONDUIT INSTALL"
"9e5d6c0f-2c91-4201-801f-c6a36ab7788d","","work-in-progress","QA_TEM_005_Underground Conduit Installation","checklist","FALSE","FALSE","Site QA","Electrical Services","IN GROUNDS","E01","IN GROUND SERVICES INSTALL - TX-SMHRU-A TO MSB-A UNDERGROUND CONDUIT INSTALL","QES-ITC-E01-002"
"c2036a75-a2c2-494c-90e0-4eb7edc4896c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Electrical Services","IN GROUNDS","E01","IN GROUND SERVICES INSTALL - TX-SMHRU-B TO MSB-B TRENCH & BACKFILL"
"d92b07fa-e082-4083-bb13-fefddaedf565","","work-in-progress","QA_TEM_004_Trench and Backfill","checklist","FALSE","FALSE","Site QA","Electrical Services","IN GROUNDS","E01","IN GROUND SERVICES INSTALL - TX-SMHRU-B TO MSB-B TRENCH & BACKFILL","QES-ITC-E01-003"
"e9a689db-d155-48e6-8c2b-19799270cbc9","","work-in-progress","","folder","TRUE","FALSE","Site QA","Electrical Services","IN GROUNDS","E01","IN GROUND SERVICES INSTALL - TX-SMHRU-B TO MSB-B UNDERGROUND CONDUIT INSTALL"
"5faae123-5ede-42f9-8011-123259026ad5","","work-in-progress","QA_TEM_005_Underground Conduit Installation","checklist","FALSE","FALSE","Site QA","Electrical Services","IN GROUNDS","E01","IN GROUND SERVICES INSTALL - TX-SMHRU-B TO MSB-B UNDERGROUND CONDUIT INSTALL","QES-ITC-E01-004"
"415f3b31-8888-42bd-be3b-9ab40bec52ff","","work-in-progress","","folder","TRUE","FALSE","Site QA","Electrical Services","IN GROUNDS","E01","IN GROUND SERVICES INSTALL - EARTH RING"
"b165d1f6-1732-4d61-9865-85b18b60971c","","work-in-progress","QA_TEM_003_Earth Electrode","checklist","FALSE","FALSE","Site QA","Electrical Services","IN GROUNDS","E01","IN GROUND SERVICES INSTALL - EARTH RING","QES-ITC-E01-005"
"a585e7e6-1cc2-45ae-ba7e-5ec8a6acc3f2","","work-in-progress","","folder","TRUE","FALSE","Site QA","Electrical Services","IN GROUNDS","E01","IN GROUND SERVICES INSTALL - BOOM GATE TRENCH & BACKFILL"
