"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e53a9537-c066-45f9-9559-bec26411afab","","work-in-progress","","folder","TRUE","FALSE","Unbound Flexible Pavements"
"85ebbe8d-117f-409b-997c-a6c5a9e5e037","","work-in-progress","","folder","TRUE","FALSE","Unbound Flexible Pavements","Type A"
"4d1b6ea5-5d56-4232-96d9-0a53a7577580","","work-in-progress","DTM-ITP-003- Earthworks Demolition Rev0","checklist","FALSE","FALSE","Unbound Flexible Pavements","Type A","DTM-ITP-003 - Type A - LOT-001 CH10100-CH10173"
"a3774d1f-c541-4cf7-8dfc-8cd425a5388e","","work-in-progress","DTM-ITP-003- Earthworks Demolition Rev0","checklist","FALSE","FALSE","Unbound Flexible Pavements","Type A","DTM-ITP-003 - Type A - LOT-002 CH10173-CH10235"
"8b6b90ba-9c9f-4ece-800d-18fcb7bf5413","","work-in-progress","DTM-ITP-003- Earthworks Demolition Rev0","checklist","FALSE","FALSE","Unbound Flexible Pavements","Type A","DTM-ITP-003 - Type A - LOT-003 CH10000-CH10100"
"01c7f1f7-0b31-49e5-847b-74f81db4fd38","","work-in-progress","DTM-ITP-003- Earthworks Demolition Rev0","checklist","FALSE","FALSE","Unbound Flexible Pavements","Type A","DTM-ITP-003 - Type A - LOT-004 CH9962-CH10000"
"e4feedac-b209-4cc5-b15f-4f073d955f3f","","work-in-progress","DTM-ITP-003- Earthworks Demolition Rev0","checklist","FALSE","FALSE","Unbound Flexible Pavements","Type A","DTM-ITP-003 - Type A - LOT-005 CH9917-CH9961"
"b047b855-03a9-44e2-8fca-04f20f4249e5","","work-in-progress","","folder","TRUE","FALSE","Unbound Flexible Pavements","Class 3 / 4"
"2d5bd7d4-a87e-41e7-a1f1-a658c8d04fcf","","work-in-progress","DTM-ITP-006- Unbound Flexible Pavement Construction Rev0","checklist","FALSE","FALSE","Unbound Flexible Pavements","Class 3 / 4","DTM-ITP-006 - Class 4 - LOT-002 CH9997-CH10210 (Kerb Pad)"
"ba3283e3-ff94-4504-b741-71e8d27c9f2a","","work-in-progress","DTM-ITP-006- Unbound Flexible Pavement Construction Rev0","checklist","FALSE","FALSE","Unbound Flexible Pavements","Class 3 / 4","DTM-ITP-006 - Class 4 - LOT-001 CH10210-CH10235"
"f23b9bac-fe38-4752-b5ab-e0243de64498","","work-in-progress","DTM-ITP-006- Unbound Flexible Pavement Construction Rev0","checklist","FALSE","FALSE","Unbound Flexible Pavements","Class 3 / 4","DTM-ITP-006 - Class 3 - LOT-003 CH9962-CH10210"
"020b1b33-86d8-442b-805f-954ec238c09f","","work-in-progress","DTM-ITP-006- Unbound Flexible Pavement Construction Rev0","checklist","FALSE","FALSE","Unbound Flexible Pavements","Class 3 / 4","DTM-ITP-006 - Class 3 - LOT-004 CH9790-CH9890"
"289b49e0-2197-49cf-9965-5e2400c728c2","","work-in-progress","DTM-ITP-006- Unbound Flexible Pavement Construction Rev0","checklist","FALSE","FALSE","Unbound Flexible Pavements","Class 3 / 4","DTM-ITP-006 - Class 3 - LOT-005 CH9775-CH9790"
"9e66ced9-41b5-4c8a-a949-88cd8e5e2aec","","work-in-progress","","folder","TRUE","FALSE","Earthworks and Demolition"
"7499c34a-5534-4c86-9e5d-13e57d39fb2b","","work-in-progress","","folder","TRUE","FALSE","Earthworks and Demolition","Subgrade"
