Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
,,Level 8,,Hardware,Level 8,Wake Carpentry Site QA
,,Level 9,,Hardware,Level 9,Wake Carpentry Site QA
,,Level 10,,Hardware,Level 10,Wake Carpentry Site QA
,,Level 11,,Hardware,Level 11,Wake Carpentry Site QA
,,Level 12,,Hardware,Level 12,Wake Carpentry Site QA
,,Level 13,,Hardware,Level 13,Wake Carpentry Site QA
,,Level 14,,Hardware,Level 14,Wake Carpentry Site QA
,,Level 15,,Hardware,Level 15,Wake Carpentry Site QA
,,Level 16,,Hardware,Level 16,Wake Carpentry Site QA
,,Level 17,,Hardware,Level 17,Wake Carpentry Site QA
,,Level 18,,Hardware,Level 18,Wake Carpentry Site QA
,,Level 19,,Hardware,Level 19,Wake Carpentry Site QA
,,Level 20,,Hardware,Level 20,Wake Carpentry Site QA
,,Level 21,,Hardware,Level 21,Wake Carpentry Site QA
,,Level 22,,Hardware,Level 22,Wake Carpentry Site QA
,,Level 23,,Hardware,Level 23,Wake Carpentry Site QA
,,Level 24,,Hardware,Level 24,Wake Carpentry Site QA
,,Level 25,,Hardware,Level 25,Wake Carpentry Site QA
,,Level 26,,Hardware,Level 26,Wake Carpentry Site QA
,,Level 27,,Hardware,Level 27,Wake Carpentry Site QA
,Columns,,,,,
,,Door latching correctly,,Door latching correctly,,
,,Locking mechanism working,,Locking mechanism working,,
,,Closer working at an optimum level of speed & force,,Closer working at an optimum level of speed & force,,
,,Seals are not impeding the closure/opening of the door while still maintaining a tight seal,,Seals are not impeding the closure/opening of the door while still maintaining a tight seal,,
,,,,,,
Wake Carpentry - Sundries Progress,,,,,,
,Scope,,,Sundries,,
,Rows,,,,,
,,B5,,Sundries,B5,Wake Carpentry Site QA
,,B4,,Sundries,B4,Wake Carpentry Site QA
,,B3,,Sundries,B3,Wake Carpentry Site QA
,,B2,,Sundries,B2,Wake Carpentry Site QA
,,B1,,Sundries,B1,Wake Carpentry Site QA
,,Ground Floor,,Sundries,Ground Floor,Wake Carpentry Site QA
,,Level 1,,Sundries,Level 1,Wake Carpentry Site QA
,,Level 2,,Sundries,Level 2,Wake Carpentry Site QA
,,Level 3,,Sundries,Level 3,Wake Carpentry Site QA
,,Level 4,,Sundries,Level 4,Wake Carpentry Site QA
,,Level 5,,Sundries,Level 5,Wake Carpentry Site QA
,,Level 6,,Sundries,Level 6,Wake Carpentry Site QA
,,Level 7,,Sundries,Level 7,Wake Carpentry Site QA
,,Level 8,,Sundries,Level 8,Wake Carpentry Site QA
,,Level 9,,Sundries,Level 9,Wake Carpentry Site QA
,,Level 10,,Sundries,Level 10,Wake Carpentry Site QA
,,Level 11,,Sundries,Level 11,Wake Carpentry Site QA
,,Level 12,,Sundries,Level 12,Wake Carpentry Site QA
,,Level 13,,Sundries,Level 13,Wake Carpentry Site QA
,,Level 14,,Sundries,Level 14,Wake Carpentry Site QA
,,Level 15,,Sundries,Level 15,Wake Carpentry Site QA
,,Level 16,,Sundries,Level 16,Wake Carpentry Site QA
,,Level 17,,Sundries,Level 17,Wake Carpentry Site QA
