type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,Auckland - Strip Out,,,,,Yes,Auckland - Strip Out,a27a934a-8786-44fe-849e-ee603419d343
checkpoint-status,Flush boxes cut as per plan,,,,,,,
checkpoint-status,Fans cut as per plan,,,,,,,
checkpoint-status,Lights cut as per plan,,,,,,,
checkpoint-status,Exterior lights have been bought out centre / as per pre-wire,,,,,,,
checkpoint-status,Cables stripped ,,,,,,,
checkpoint-status,Switching as per plan,,,,,,,
checkpoint-status,Cables clearly labelled,,,,,,,
checkpoint-status,Complete final walkthrough check,,,,,,,
checkpoint-status,Damages and remedials documented,,,,,,,
checkpoint-status,All remedial work sent to CM and PM,,,,,,,
checkpoint-status,Remedial photos,,,,,,,
checkpoint-status,Strip-out Photos,,,,,,,
,,,,,,,,
checklist-sectioned,Auckland - First Fix - Laundry/Scullery,,,,,Yes,Auckland - First Fix - Laundry/Scullery,ab96726b-e79d-424d-a431-28df3235c64b
section,Flush Boxes,,,,,,,
checkpoint,Height as per plan,,,,,,,
checkpoint,Location as per plan,,,,,,,
checkpoint,Marked on floor,,,,,,,
section,Cabling,,,,,,,
checkpoint,Circuits clearly labelled,,,,,,,
checkpoint,Cables secured,,,,,,,
checkpoint,Seperation between data and power,,,,,,,
section,Lights,,,,,,,
checkpoint,Cabling in correct location,,,,,,,
checkpoint,Measurments recorded,,,,,,,
checkpoint,Nogging installed,,,,,,,
checkpoint,Marked on floor,,,,,,,
section,Fans,,,,,,,
checkpoint,Installed in accesible location,,,,,,,
checkpoint,Power plug fit-off,,,,,,,
checkpoint,Ducts run flat and straight,,,,,,,
checkpoint,Measurments recorded,,,,,,,
checkpoint,Marked on floor,,,,,,,
section,Photos,,,,,,,
checkpoint,Uploaded,,,,,,,
,,,,,,,,
checklist-sectioned,Mains Install,,,,,Yes,SYS - PT - Mains Install,627d4729-781c-4e41-b986-1e5b0e9c3d73
section,Electrical,,,,,,,
checkpoint,Cable installed at minimum depth of 600mm,,,,,,,
checkpoint,Protection mag slab installed,,,,,,,
checkpoint,Warning signal tape installed,,,,,,,
checkpoint,Cable installed through concrete slab,,,,,,,
checkpoint,Cable bought up next to gyro / pole,,,,,,,
checkpoint,Cable clearly labelled,,,,,,,
checkpoint,Cable size and measurments recorded,,,,,,,
checkpoint,Plan marked with as-built,,,,,,,
checkpoint,Photos,,,,,,,
section,Telecom / Fibre,,,,,,,
checkpoint,Cable installed at minimum depth of 400mm,,,,,,,
checkpoint,Approved exterior fibre cable used,,,,,,,
checkpoint,Cable installed through concrete slab,,,,,,,
checkpoint,Cable bought up next to gyro / pole,,,,,,,
checkpoint,Cable measurments recorded,,,,,,,
checkpoint,Plan marked with as-built,,,,,,,
checkpoint,Photos,,,,,,,
,,,,,,,,
checklist-flat,Strip Out,,,,,Yes,SYS - PT - Strip Out,efbbe89b-6195-428a-ab02-937eec286938
checkpoint-status,Flush boxes cut as per plan,,,,,,,
checkpoint-status,Fans cut as per plan,,,,,,,
checkpoint-status,Lights cut as per plan,,,,,,,
checkpoint-status,Exterior lights have been bought out centre / as per pre-wire,,,,,,,
checkpoint-status,Cables stripped ,,,,,,,
checkpoint-status,Switching as per plan,,,,,,,
checkpoint-status,Cables clearly labelled,,,,,,,
checkpoint-status,Complete final walkthrough check,,,,,,,
checkpoint-status,Damages and remedials documented,,,,,,,
checkpoint-status,All remedial work sent to CM and PM,,,,,,,
checkpoint-status,Remedial photos,,,,,,,
checkpoint-status,Strip-out Photos,,,,,,,
,,,,,,,,
checklist-flat,Second Fix - Remedials,,,,,,Second Fix - Remedials,
checkpoint,Damages and remidials documented,,,,,,,
checkpoint,All remedial work sent to CM and PM,,,,,,,
checkpoint,Remedial photos,,,,,,,
