type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,Strip Out,,,,,Yes,SYS - PT - Strip Out,02070529-fec0-4a96-bd65-f8a5ef640aee
checkpoint-status,Flush boxes cut as per plan,,,,,,,
checkpoint-status,Fans cut as per plan,,,,,,,
checkpoint-status,Lights cut as per plan,,,,,,,
checkpoint-status,Exterior lights have been bought out centre / as per pre-wire,,,,,,,
checkpoint-status,Cables stripped ,,,,,,,
checkpoint-status,Switching as per plan,,,,,,,
checkpoint-status,Cables clearly labelled,,,,,,,
checkpoint-status,Complete final walkthrough check,,,,,,,
checkpoint-status,Damages and remedials documented,,,,,,,
checkpoint-status,All remedial work sent to CM and PM,,,,,,,
checkpoint-status,Remedial photos,,,,,,,
checkpoint-status,Strip-out Photos,,,,,,,
,,,,,,,,
checklist-flat,Bay of Plenty - Strip Out,,,,,Yes,Bay of Plenty - Strip Out,f46e5fc6-676e-4d8e-9b79-098b68eec6b3
checkpoint-status,Flush boxes cut as per plan,,,,,,,
checkpoint-status,Fans cut as per plan,,,,,,,
checkpoint-status,Lights cut as per plan,,,,,,,
checkpoint-status,Exterior lights have been bought out centre / as per pre-wire,,,,,,,
checkpoint-status,Cables stripped ,,,,,,,
checkpoint-status,Switching as per plan,,,,,,,
checkpoint-status,Cables clearly labelled,,,,,,,
checkpoint-status,Complete final walkthrough check,,,,,,,
checkpoint-status,Damages and remedials documented,,,,,,,
checkpoint-status,All remedial work sent to CM and PM,,,,,,,
checkpoint-status,Remedial photos,,,,,,,
checkpoint-status,Strip-out Photos,,,,,,,
,,,,,,,,
checklist-flat,Second Fix - Remedials,,,,,,Second Fix - Remedials,
checkpoint,Damages and remidials documented,,,,,,,
checkpoint,All remedial work sent to CM and PM,,,,,,,
checkpoint,Remedial photos,,,,,,,
