"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c8a4f35d-80b4-44a8-ad67-58f81fa7c6de","","checklist-flat","no-status-not-started","3b75876e962375e1fa84b90877f13bd8bad55be56e3a5558f873021cdd8ea4fb","checklist-flat","FALSE","FALSE","Job Details"
"4ce1eb48-b75b-4167-9ce8-b915bdde0419","","folder-normal","pass","","step","TRUE","FALSE","Site QA"
"271800cd-e956-42df-8125-0865ecc2c2f8","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Basement "
"0c2dfe88-24a2-474a-923a-2f2d8f48db50","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Basement ","Slab pour "
"6f55f562-e3be-4503-bcac-502f4c0347d0","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Basement ","Lift 4 overun "
"3e22edd2-5f9c-4542-832a-c8b63d876790","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Basement ","Lift 3 overun "
"527175ee-1538-4025-8344-d71b1dfd3b32","","checklist-sectioned","pass","Full - Excavation/Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Basement ","Basement footings pour 1"
"be665df0-6664-479e-ab0e-a10625744aef","","checklist-sectioned","pass","Full - Excavation/Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Basement ","Basement footings pour 2 "
"775c3a54-e9cc-4136-a38e-c8e6ffb4cf21","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Ground Floor"
"b1ac9117-eb45-4e54-a658-30bb14b455db","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Ground Floor","Pour 1"
"c555c8bb-05e7-4fce-89dc-3427cea15333","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Ground Floor","Pour 1","Slab pour "
"9d3594a6-7ce3-4328-ae2e-3094ca1a568b","","checklist-sectioned","pass","Full - Excavation/Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Ground Floor","Pour 1","Slab pour ","Full - Excavation/Formwork/Concrete"
"3e1a52d9-677d-4881-986b-0b53da2e075b","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Ground Floor","Pour 1","Lift over run "
"ac9a2457-2324-4bfe-8192-2666f70d52fa","","checklist-sectioned","pass","Full - Excavation/Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Ground Floor","Pour 1","Lift over run ","Full - Excavation/Formwork/Concrete"
"e87e5201-4bc8-406b-93d7-036182927a8a","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Ground Floor","Pour 2"
"854db95d-478d-49d2-bbb1-dcdc13c5cd02","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Ground Floor","Pour 2","Slab pour "
"f039fda7-16b9-4fc2-945b-5eb632faaa44","","checklist-sectioned","pass","Full - Excavation/Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Ground Floor","Pour 2","Slab pour ","Full - Excavation/Formwork/Concrete"
"c4e7b43a-cb78-4f21-a43e-447c219de07e","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Ground Floor","Pour 2","Lift over run "
"1b07c571-dd74-4cb2-981f-d39f18d9b52d","","checklist-sectioned","pass","Full - Excavation/Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Ground Floor","Pour 2","Lift over run ","Full - Excavation/Formwork/Concrete"
"dff4020f-3fd3-4803-bbf1-89a1667d5cd7","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Ground Floor","Pour 3"
"dffd9849-7bdb-43a5-bd5f-da6403bd9529","","checklist-sectioned","pass","Full - Excavation/Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Ground Floor","Pour 3","Full - Excavation/Formwork/Concrete"
"d5188391-29c4-4c79-b998-1e6648c26d4e","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Ground Floor","Pour 4"
"09d0afd5-ef4f-4969-b74b-9596565d76e3","","checklist-sectioned","pass","Full - Excavation/Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Ground Floor","Pour 4","Full - Excavation/Formwork/Concrete"
"4c30238d-7a7f-498d-853a-33c20253c808","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Ground Floor","Pour 5"
"7515cfb0-b888-4fdc-9d27-1eb5dc903eca","","checklist-sectioned","pass","Full - Excavation/Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Ground Floor","Pour 5","Full - Excavation/Formwork/Concretes "
"50f588be-9f6c-408c-ad72-68403d26d7f3","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Ground Floor","Pour 6"
"8db9c2cd-62bf-4b57-9cd2-780fb1e6e483","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Ground Floor","Pour 6","Formwork/Reo/Concrete"
"4cccd8ba-2f21-4e1b-82f1-b5b48ba504c1","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Ground Floor","Pour 7"
"e42e1a83-ba56-4418-9a39-7e0e55e3127d","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Ground Floor","Pour 7","Formwork/Reo/Concrete"
"f269c952-ef6a-480a-915d-af2e1fdd8bec","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Ground Floor","Pour 9"
"714d2b96-be92-41f0-9062-9a719dafe6fb","","checklist-sectioned","pass","Full - Excavation/Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Ground Floor","Pour 9","Full - Excavation/Formwork/Concrete"
"2ce13cf5-faaf-45b7-b5a2-8781438c7206","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Ground Floor","Pour 8"
"9f1aa1dc-fea1-4c50-b283-3ea02845b127","","checklist-sectioned","pass","Full - Excavation/Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Ground Floor","Pour 8","Full - Excavation/Formwork/Concrete"
"9b807782-cdc9-440f-800a-d0779f69c900","","checklist-sectioned","pass","Full - Excavation/Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Ground Floor","Pour 9b "
"8af5c528-0d93-47c5-b0ce-625a61d15f66","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 1"
"209e5b87-ec55-40ed-8c92-d29dac9a2ad1","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Pour 1"
"1bc0797c-9087-4879-ab40-2ab4131e824a","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Pour 2"
"fc86b1ae-a581-4d87-a2f4-3157a628e482","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Pour 3"
"cf09cd38-437c-46d6-a61f-76cd5fd8e981","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Pour 4 "
"5251e77b-9054-4e47-a78b-3d55cc135263","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Pour 5"
"8a95322e-5497-4ef4-8102-5bf89634d20d","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Pour 6 "
