resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
,step,,,Stage 2 (B02),,,,,,,,,,,
,step,,,,Structure,,,,,,,,,,
,step,,,,,Ground Level,,,,,,,,,
,step,,,,,,Area A,,,,,,,,
,step,,,,,,,Carpark,,,,,,,
ST - S - Concrete Pour,checklist,,,,,,,,Concrete Foundation Pour,,,,,,
ST - S - Insitu Pour,checklist,,,,,,,,Insitu Columns,,,,,,
ST - S - Timber Framing,checklist,,,,,,,,Timber Framing,,,,,,
FC - S - Exterior Timber Framing,checklist,,,,,,,,Install Garage door  jamb trims,,,,,,
,step,,,,,,Grid E to F - 1to 9,,,,,,,,
,step,,,,,,,Lift shaft,,,,,,,
ST - S - Concrete Pour,checklist,,,,,,,,Concrete Foudation  Pour,,,,,,
,step,,,,,,,Stair Well,,,,,,,
ST - S - Stair Installation,checklist,,,,,,,,Stair installation,,,,,,
,step,,,,,,Area B,,,,,,,,
ST - S - Concrete Pour,checklist,,,,,,,Concrete Foundation Pour,,,,,,,
ST - S - Timber Framing,checklist,,,,,,,Timber Framing,,,,,,,
ST - S - Structural Steel Installation,checklist,,,,,,,Torque  Tightening,,,,,,,
,step,,,,,,North,,,,,,,,
ST - S - Lintel Installation ,checklist,,,,,,,Lintels - Steel,,,,,,,
,step,,,,,,East,,,,,,,,
ST - S - Lintel Installation ,checklist,,,,,,,Lintels - Steel,,,,,,,
,step,,,,,,South,,,,,,,,
ST - S - Lintel Installation ,checklist,,,,,,,Lintels - Steel,,,,,,,
,step,,,,,,West,,,,,,,,
ST - S - Lintel Installation ,checklist,,,,,,,Lintels - Steel,,,,,,,
,step,,,,,Level 1 ,,,,,,,,,
,step,,,,,,Area  A,,,,,,,,
ST - S - Precast Beam Installation ,checklist,,,,,,,Double Tee Install (incsl. Propping plan),,,,,,,
ST - S - Concrete Pour,checklist,,,,,,,Concrete Floor  Pour,,,,,,,
ST - S - Timber Framing,checklist,,,,,,,Timber Framing,,,,,,,
ST - S - Roof structure - Timber Trusses,checklist,,,,,,,Timber Trusses,,,,,,,
,step,,,,,,Grid E to F - 1 to 9,,,,,,,,
,step,,,,,,,Stairwell & Lift Area ,,,,,,,
ST - S - Concrete Pour,checklist,,,,,,,,Concrete Floor Pour,,,,,,
,step,,,,,,,Stair Well,,,,,,,
ST - S - Stair Installation,checklist,,,,,,,,Stair installation,,,,,,
,step,,,,,,Area B,,,,,,,,
ST - S - Precast Beam Installation ,checklist,,,,,,,Double Tee Install (incl propping plan),,,,,,,
ST - S - Concrete Pour,checklist,,,,,,,Concrete Floor Pour,,,,,,,
ST - S - Timber Framing,checklist,,,,,,,Timber Framing,,,,,,,
ST - S - Roof structure - Timber Trusses,checklist,,,,,,,Timber Trusses,,,,,,,
,step,,,,,,North,,,,,,,,
ST - S - Lintel Installation ,checklist,,,,,,,Lintels - Steel,,,,,,,
,step,,,,,,East,,,,,,,,
ST - S - Lintel Installation ,checklist,,,,,,,Lintels - Steel,,,,,,,
,step,,,,,,South,,,,,,,,
ST - S - Lintel Installation ,checklist,,,,,,,Lintels - Steel,,,,,,,
,step,,,,,,West,,,,,,,,
ST - S - Lintel Installation ,checklist,,,,,,,Lintels - Steel,,,,,,,
