"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2d6cc2bb-a081-4850-b92e-603a92150f08","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 1","110"
"fd5d8c91-bab8-42c6-8066-bb9a563b1809","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 1","111"
"b5637b82-1138-4a02-a9ee-63dbb0ef3873","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 1","112"
"8e06c83e-30a0-4e2a-a261-5cfbc53b4c4d","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 1","113"
"a26deb6a-926c-4d95-bb96-6fd00d58619d","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 1","114"
"ce3c50e1-2f17-41aa-b88f-02b171f39ea4","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 1","115"
"4e2d5ed2-3058-4d49-aa40-5be77da36060","","checklist-flat","","Canopy Panels","checklist-flat","FALSE","FALSE","External","Level 1","Canopy"
"833748a9-7585-4de3-ba05-5b55ddcd53c0","","folder-normal","","","step","TRUE","FALSE","External","Level 2"
"8edf77f1-f435-4530-9085-000b7af7a738","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 2","201"
"b5ec84ed-dfdb-47c1-b880-425326e328ef","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 2","202J"
"43bccf02-493f-4dea-a66d-f45c47eae729","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 2","202B"
"e1c05353-4c32-4060-bc35-ba9aac48929f","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 2","203"
"8a178a0d-7f9a-45ff-a6f2-3b8493729d40","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 2","204"
"8cfbc165-bb95-4948-ae5c-6bec3ca34e15","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 2","205J"
"9aae8e59-3ba4-44ff-a477-b145629ed130","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 2","205B"
"919a2bd5-5ef9-412c-8729-1a6204f1ebbb","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 2","206"
"8f4bc920-0782-44d5-9cdc-ea0f24054250","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 2","207"
"0b879977-4c54-4b44-b7d0-57a06c9f7056","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 2","208"
"5908143b-a232-4231-a500-7830605e288e","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 2","209"
"d0037bc0-8f50-4b37-9bda-60fc4cdc6ed4","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 2","210"
"9114cb0a-9f4f-4c61-a6e2-34e4aa634a60","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 2","211"
"30a14503-7e89-4588-a02d-e1735595df75","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 2","212"
"bad044a3-4fad-458e-b3b3-518b09879b34","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 2","213"
"02638666-1881-4165-b52a-3b9294191d67","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 2","214"
"f2e89392-6df1-41c3-83ee-4909105f19ef","","folder-normal","","","step","TRUE","FALSE","External","Level 3"
"264e7090-bb1b-45ae-bf17-2fbd22843d9b","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 3","301"
"73ff4bb8-720c-4847-9819-2af732228d60","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 3","302J"
"70f86bea-ca64-4c5d-a5ee-231bf25de379","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 3","302B"
"c9e05595-eb97-4e22-9139-cf048bc9fad1","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 3","303"
"0d36c900-8834-4017-b6a0-f5757ee9fdec","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 3","304"
"1354062b-5803-4f52-8762-2b2054d969ab","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 3","305J"
"f9fb14d7-f29b-4d2c-86a1-b75959a52e0c","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 3","305B"
"c8cd7ffc-784d-4696-b4c6-d8dc9675d9f8","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 3","306"
"aad23330-c6f8-4e71-b9ba-393982c7acec","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 3","307"
"370a8747-1911-4b46-9fb3-ee99483d7ea1","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 3","308"
"7c2c77ab-ebe8-4215-ba9c-6491883ead8e","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 3","309"
"16c9495c-f501-4e56-b5ef-d0f3f610f8b4","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 3","310"
"e160ea70-20cd-4309-988b-01bce5f2d24e","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 3","311"
"e3f8093b-1bbf-4a09-a768-1c7b7fb09fbe","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 3","312"
"dbb959ba-103e-408a-b5b2-1647c7c812ef","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 3","313"
"1a3e3917-bb6f-45a4-a36d-6d398f7df891","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 3","314"
"bcbdf7c8-a99e-48f3-85be-4097d459a808","","folder-normal","","","step","TRUE","FALSE","External","Level 4"
"ef902dd5-7ec2-480d-988a-ba545ec4d911","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 4","401"
"d7129e37-d1c9-41d6-a7fc-cafde4f601ab","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 4","402J"
"21268fc5-2866-4f6f-91e0-4a1a544b0f38","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 4","402B"
"7c297dd2-9e16-4ff7-be02-e02edc599d7c","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 4","403"
"c21d7386-beed-4fa0-b5f1-ce90e575d2f8","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 4","404"
"1d089556-c437-496c-8209-fe60b3e1b77e","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 4","405J"
"139706f4-a5f3-48f5-9e17-d4f71715a3d4","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 4","405B"
"6899f305-cf69-4b5b-986b-4ace97454c37","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 4","406"
"e1acfb9b-c68c-408f-991c-7a1621bc6858","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 4","407"
"e6186e99-b9a3-4462-913a-99e3503d09a8","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 4","408"
"db9ab944-9d98-4cce-ac20-c05c92ae059b","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 4","409"
"5648d385-7632-4d8f-999e-31e510b7f1b2","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 4","410"
"73594c5a-58c0-44dc-9e56-d7357ae3801a","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 4","411"
"7021840a-5b95-4a66-b898-f78ece2ed957","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 4","412"
"88ebf339-fbd7-40f4-93e8-5f897afa1831","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 4","413"
"ae459af3-316a-438b-99c1-32a0debdadcb","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 4","414"
"5cbb6206-a259-4eb1-95dc-692af044fa68","","folder-normal","","","step","TRUE","FALSE","External","Level 5"
"c239d721-8b48-4a3f-a0d1-1c3eac64010e","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 5","501"
"583bbf0f-2697-4014-90e9-ae260947c59f","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 5","502"
"b072e22c-2b01-4e48-aa53-f18af7c3911d","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 5","503"
"f958f97f-1463-44a3-8158-426fa3ff4942","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 5","504"
"427f1026-09be-466d-8a66-c1b9054df745","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 5","505"
"84f3f4b4-5fba-4f42-baf3-8cb995d52759","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 5","506"
"ea749156-cf7e-4b2c-929b-2c68e0fa7515","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 5","507"
"c41e65fe-ede8-4e5a-b431-c991bb0a6ae1","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 5","508"
"49ed0c54-4462-45a2-9c23-60a8f25eb793","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 5","509"
"b88015ad-77bd-4b09-abda-49e6f70a6cd3","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 5","510"
"1e46aadf-7e33-496d-84d2-399236188756","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 5","511"
"a07da722-87b3-4390-b4a3-e07bea124e54","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 5","512"
"df731b1a-1c2d-4ba1-9e98-da376fb3d9bf","","folder-normal","","","step","TRUE","FALSE","External","Level 6"
"90b4d762-2d16-4733-a066-43c5e96646d9","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 6","601"
"f76f9f8a-b969-493e-a2a7-632528b6cb64","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 6","602"
"eee0da28-70c1-4a4a-8351-e92cf9977abe","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 6","603"
"e0eb8cca-9983-4190-94e1-64b92e09fb12","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 6","604"
"c03d906b-612a-46a3-91b1-cc3b9e5a619b","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 6","605"
"a35308af-d45a-4093-ad21-5817f2afcfc0","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 6","606"
"4bc751c5-a6e1-4948-af5d-503803e2806c","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 6","607"
"1d88164f-a04d-4abe-b06a-5ac0ae35bd2b","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 6","608"
"94a9382d-31ae-46ee-a2a1-aece5009a139","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 6","609"
"f05d339f-bcc4-4f49-86f8-e1a7ff89b0c9","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 6","610"
"96efdaa7-710b-4205-901c-765028dbc2a2","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 6","611"
"e3e4e16c-203b-4956-8d11-6f88c22fbabd","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 6","612"
"faaf1cd6-97d7-4230-82cc-17c704ed2973","","folder-normal","","","step","TRUE","FALSE","External","Level 7"
"9559fd33-3614-4abb-a8f7-994e838cd503","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 7","701"
