Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Rough In Progress,,,,,,,,
,Scope,,,Rough In,,,,
,Rows,,,,,,,
,,Basement (6-1),grouping,Basement (6-1),,,,
,,Basement 6,expanded,Basement 6,Rough In,,,
,,Basement 5,expanded,Basement 5,Rough In,,,
,,Basement 4,expanded,Basement 4,Rough In,,,
,,Basement 3,expanded,Basement 3,Rough In,,,
,,Basement 2,expanded,Basement 2,Rough In,,,
,,Basement 1,expanded,Basement 1,Rough In,,,
,,Ground Floor,grouping,Ground Floor,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Ground Floor,Rough In,,
,,Level 1,grouping,Level 1,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 1,Rough In,,
,,101,expanded,101,Level 1,Rough In,,
,,102,expanded,102,Level 1,Rough In,,
,,103,expanded,103,Level 1,Rough In,,
,,Generator Room,expanded,Generator Room,Level 1,Rough In,,
,,Level 3,grouping,Level 3,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 3,Rough In,,
,,301,expanded,301,Level 3,Rough In,,
,,302,expanded,302,Level 3,Rough In,,
,,303,expanded,303,Level 3,Rough In,,
,,Level 4,grouping,Level 4,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 4,Rough In,,
,,401,expanded,401,Level 4,Rough In,,
,,402,expanded,402,Level 4,Rough In,,
,,403,expanded,403,Level 4,Rough In,,
,,404,expanded,404,Level 4,Rough In,,
,,405,expanded,405,Level 4,Rough In,,
,,406,expanded,406,Level 4,Rough In,,
,,407,expanded,407,Level 4,Rough In,,
,,Communal Area,expanded,Communal Area,Level 4,Rough In,,
,,Pool,expanded,Pool,Level 4,Rough In,,
,,Male Toilet,expanded,Male Toilet,Level 4,Rough In,,
,,Female Toilet,expanded,Female Toilet,Level 4,Rough In,,
,,Accessibility Female Toilet,expanded,Accessibility Female Toilet,Level 4,Rough In,,
,,Accessibility Male Toilet,expanded,Accessibility Male Toilet,Level 4,Rough In,,
,,Level 5,grouping,Level 5,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 5,Rough In,,
,,501,expanded,501,Level 5,Rough In,,
,,502,expanded,502,Level 5,Rough In,,
,,503,expanded,503,Level 5,Rough In,,
,,504,expanded,504,Level 5,Rough In,,
,,505,expanded,505,Level 5,Rough In,,
,,506,expanded,506,Level 5,Rough In,,
,,507,expanded,507,Level 5,Rough In,,
,,508,expanded,508,Level 5,Rough In,,
,,509,expanded,509,Level 5,Rough In,,
,,Level 6,grouping,Level 6,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 6,Rough In,,
,,601,expanded,601,Level 6,Rough In,,
,,602,expanded,602,Level 6,Rough In,,
,,603,expanded,603,Level 6,Rough In,,
,,604,expanded,604,Level 6,Rough In,,
,,605,expanded,605,Level 6,Rough In,,
,,606,expanded,606,Level 6,Rough In,,
,,607,expanded,607,Level 6,Rough In,,
,,608,expanded,608,Level 6,Rough In,,
,,609,expanded,609,Level 6,Rough In,,
,,Level 7,grouping,Level 7,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 7,Rough In,,
,,701,expanded,701,Level 7,Rough In,,
,,702,expanded,702,Level 7,Rough In,,
,,703,expanded,703,Level 7,Rough In,,
,,704,expanded,704,Level 7,Rough In,,
,,705,expanded,705,Level 7,Rough In,,
,,706,expanded,706,Level 7,Rough In,,
,,707,expanded,707,Level 7,Rough In,,
,,708,expanded,708,Level 7,Rough In,,
,,709,expanded,709,Level 7,Rough In,,
,,Level 8,grouping,Level 8,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 8,Rough In,,
,,801,expanded,801,Level 8,Rough In,,
,,802,expanded,802,Level 8,Rough In,,
,,803,expanded,803,Level 8,Rough In,,
,,804,expanded,804,Level 8,Rough In,,
,,805,expanded,805,Level 8,Rough In,,
,,806,expanded,806,Level 8,Rough In,,
,,807,expanded,807,Level 8,Rough In,,
,,808,expanded,808,Level 8,Rough In,,
,,809,expanded,809,Level 8,Rough In,,
,,Level 9,grouping,Level 9,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 9,Rough In,,
,,901,expanded,901,Level 9,Rough In,,
,,902,expanded,902,Level 9,Rough In,,
,,903,expanded,903,Level 9,Rough In,,
,,904,expanded,904,Level 9,Rough In,,
,,905,expanded,905,Level 9,Rough In,,
,,906,expanded,906,Level 9,Rough In,,
,,907,expanded,907,Level 9,Rough In,,
,,908,expanded,908,Level 9,Rough In,,
,,909,expanded,909,Level 9,Rough In,,
,,Level 10,grouping,Level 10,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 10,Rough In,,
,,1001,expanded,1001,Level 10,Rough In,,
,,1001,expanded,1001,Level 10,Rough In,,
,,1001,expanded,1001,Level 10,Rough In,,
,,1001,expanded,1001,Level 10,Rough In,,
,,1001,expanded,1001,Level 10,Rough In,,
,,1001,expanded,1001,Level 10,Rough In,,
,,1001,expanded,1001,Level 10,Rough In,,
,,1001,expanded,1001,Level 10,Rough In,,
,,1001,expanded,1001,Level 10,Rough In,,
,,Level 11,grouping,Level 11,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 11,Rough In,,
,,1101,expanded,1101,Level 11,Rough In,,
,,1102,expanded,1102,Level 11,Rough In,,
,,1103,expanded,1103,Level 11,Rough In,,
,,1104,expanded,1104,Level 11,Rough In,,
,,1105,expanded,1105,Level 11,Rough In,,
,,1106,expanded,1106,Level 11,Rough In,,
,,1107,expanded,1107,Level 11,Rough In,,
,,1108,expanded,1108,Level 11,Rough In,,
,,1109,expanded,1109,Level 11,Rough In,,
,,Level 12,grouping,Level 12,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 12,Rough In,,
,,1201,expanded,1201,Level 12,Rough In,,
,,1202,expanded,1202,Level 12,Rough In,,
,,1203,expanded,1203,Level 12,Rough In,,
,,1204,expanded,1204,Level 12,Rough In,,
,,1205,expanded,1205,Level 12,Rough In,,
,,1206,expanded,1206,Level 12,Rough In,,
,,1207,expanded,1207,Level 12,Rough In,,
,,1208,expanded,1208,Level 12,Rough In,,
,,1209,expanded,1209,Level 12,Rough In,,
,,Level 13,grouping,Level 13,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 13,Rough In,,
,,1301,expanded,1301,Level 13,Rough In,,
,,1302,expanded,1302,Level 13,Rough In,,
,,1303,expanded,1303,Level 13,Rough In,,
,,1304,expanded,1304,Level 13,Rough In,,
,,1305,expanded,1305,Level 13,Rough In,,
,,1306,expanded,1306,Level 13,Rough In,,
,,1307,expanded,1307,Level 13,Rough In,,
,,1308,expanded,1308,Level 13,Rough In,,
,,1309,expanded,1309,Level 13,Rough In,,
,,Level 14,grouping,Level 14,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 14,Rough In,,
,,1401,expanded,1401,Level 14,Rough In,,
,,1402,expanded,1402,Level 14,Rough In,,
,,1403,expanded,1403,Level 14,Rough In,,
,,1404,expanded,1404,Level 14,Rough In,,
,,1405,expanded,1405,Level 14,Rough In,,
,,1406,expanded,1406,Level 14,Rough In,,
,,1407,expanded,1407,Level 14,Rough In,,
,,1408,expanded,1408,Level 14,Rough In,,
,,1409,expanded,1409,Level 14,Rough In,,
,,Level 15,grouping,Level 15,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 15,Rough In,,
,,1501,expanded,1501,Level 15,Rough In,,
,,1502,expanded,1502,Level 15,Rough In,,
,,1503,expanded,1503,Level 15,Rough In,,
,,1504,expanded,1504,Level 15,Rough In,,
,,1505,expanded,1505,Level 15,Rough In,,
,,1506,expanded,1506,Level 15,Rough In,,
,,1507,expanded,1507,Level 15,Rough In,,
,,1508,expanded,1508,Level 15,Rough In,,
,,1509,expanded,1509,Level 15,Rough In,,
,,Level 16,grouping,Level 16,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 16,Rough In,,
,,1601,expanded,1601,Level 16,Rough In,,
,,1602,expanded,1602,Level 16,Rough In,,
,,1603,expanded,1603,Level 16,Rough In,,
,,1604,expanded,1604,Level 16,Rough In,,
,,1605,expanded,1605,Level 16,Rough In,,
,,1606,expanded,1606,Level 16,Rough In,,
,,1607,expanded,1607,Level 16,Rough In,,
,,1608,expanded,1608,Level 16,Rough In,,
,,1609,expanded,1609,Level 16,Rough In,,
,,Level 17,grouping,Level 17,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 17,Rough In,,
,,1701,expanded,1701,Level 17,Rough In,,
,,1702,expanded,1702,Level 17,Rough In,,
,,1703,expanded,1703,Level 17,Rough In,,
,,1704,expanded,1704,Level 17,Rough In,,
,,1705,expanded,1705,Level 17,Rough In,,
,,1706,expanded,1706,Level 17,Rough In,,
,,1707,expanded,1707,Level 17,Rough In,,
,,1708,expanded,1708,Level 17,Rough In,,
,,1709,expanded,1709,Level 17,Rough In,,
,,Level 18,grouping,Level 18,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 18,Rough In,,
,,1801,expanded,1801,Level 18,Rough In,,
,,1802,expanded,1802,Level 18,Rough In,,
,,1803,expanded,1803,Level 18,Rough In,,
,,1804,expanded,1804,Level 18,Rough In,,
,,1805,expanded,1805,Level 18,Rough In,,
,,1806,expanded,1806,Level 18,Rough In,,
,,1807,expanded,1807,Level 18,Rough In,,
,,1808,expanded,1808,Level 18,Rough In,,
,,1809,expanded,1809,Level 18,Rough In,,
,,Level 19,grouping,Level 19,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 19,Rough In,,
,,1901,expanded,1901,Level 19,Rough In,,
,,1902,expanded,1902,Level 19,Rough In,,
,,1903,expanded,1903,Level 19,Rough In,,
,,1904,expanded,1904,Level 19,Rough In,,
,,1905,expanded,1905,Level 19,Rough In,,
,,1906,expanded,1906,Level 19,Rough In,,
,,1907,expanded,1907,Level 19,Rough In,,
,,1908,expanded,1908,Level 19,Rough In,,
,,1909,expanded,1909,Level 19,Rough In,,
,,Level 20,grouping,Level 20,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 20,Rough In,,
,,2001,expanded,2001,Level 20,Rough In,,
,,2002,expanded,2002,Level 20,Rough In,,
,,2003,expanded,2003,Level 20,Rough In,,
,,2004,expanded,2004,Level 20,Rough In,,
,,2005,expanded,2005,Level 20,Rough In,,
,,2006,expanded,2006,Level 20,Rough In,,
,,2007,expanded,2007,Level 20,Rough In,,
,,2008,expanded,2008,Level 20,Rough In,,
,,2009,expanded,2009,Level 20,Rough In,,
,,Level 21,grouping,Level 21,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 21,Rough In,,
,,2101,expanded,2101,Level 21,Rough In,,
,,2102,expanded,2102,Level 21,Rough In,,
,,2103,expanded,2103,Level 21,Rough In,,
,,2104,expanded,2104,Level 21,Rough In,,
,,2105,expanded,2105,Level 21,Rough In,,
,,2106,expanded,2106,Level 21,Rough In,,
,,2107,expanded,2107,Level 21,Rough In,,
,,2108,expanded,2108,Level 21,Rough In,,
,,2109,expanded,2109,Level 21,Rough In,,
,,Level 22,grouping,Level 22,,,,
,,"Lobby, Lift & Stairs",expanded,"Lobby, Lift & Stairs",Level 22,Rough In,,
,,2201,expanded,2201,Level 22,Rough In,,
,,2202,expanded,2202,Level 22,Rough In,,
,,2203,expanded,2203,Level 22,Rough In,,
,,2204,expanded,2204,Level 22,Rough In,,
