"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Matrix"
,"Scope",,
,"Rows"
,,"ND0.01",,"nd0.01"
,,"ND0.02",,"nd0.02"
,,"EW0.01",,"ew0.01"
,,"EW0.02",,"ew0.02"
,,"EW0.03",,"ew0.03"
,,"EW1.01",,"ew1.01"
,,"EW1.02",,"ew1.02"
,,"EW1.03",,"ew1.03"
,,"EW1.04",,"ew1.04"
,"Columns"
,,"Opening Prepared, Wrapped & Datums",,"opening prepared, wrapped & datums"
,,"Seismic Installed As Per Shop Drawings",,"seismic installed as per shop drawings"
,,"Splicers & Soakers Sealed (provide photo reference)",,"splicers & soakers sealed (provide photo reference)"
,,"Panel Fitted & Locked Off",,"panel fitted & locked off"
,,"Airseal and Internal Flashings (Photo)",,"airseal and internal flashings (photo)"
,,"External Flashings / Weather Seals / Drainage",,"external flashings / weather seals / drainage"
,,"Site Glazing Completed",,"site glazing completed"
,,"Trade Clean",,"trade clean"
,,"Wights - Sign Off",,"wights - sign off"
,,"Commercial/Domestic",,"commercial/domestic"

