"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"External Progress"
,"Scope",,
,"Rows"
,,"Site QA","dynamic","site qa"
,"Columns"
,,"Slab edge installation Completed",,"slab edge installation completed","westside"
,,"Vertical Full height sunshades installed",,"westside","vertical full height sunshades installed"
,,"BMU Brackets installed",,"bmu brackets installed","westside"
,,"All end caps to feature completed",,"all end caps to feature completed","westside"
,,"All external trimming completed",,"all external trimming completed","westside"
,,"All external sealing completed",,"all external sealing completed","westside"
,,"Horizontal sunshade installed",,"eastside","horizontal sunshade installed"
,,"Vertical fins detail installed",,"eastside","vertical fins detail installed"
,,"All end caps to feature completed",,"eastside","all end caps to feature completed"
,,"All external trimming completed",,"all external trimming completed","eastside"
,,"All external sealing completed",,"all external sealing completed","eastside"

"Windows/Doors Installation Progress (Levels 1-20)"
,"Scope",,
,"Rows"
,,"Level 9 - 902","dynamic","902","level 9","site qa"
,,"Level 9 - 903","dynamic","903","level 9","site qa"
,,"Level 9 - 904","dynamic","904","level 9","site qa"
,,"Level 9 - 905","dynamic","905","level 9","site qa"
,,"Level 9 - 906","dynamic","906","level 9","site qa"
,,"Level 9 - 907","dynamic","907","level 9","site qa"
,,"Level 9 - 908","dynamic","908","level 9","site qa"
,,"Level 9 - 909","dynamic","909","level 9","site qa"
,,"Level 10 - Lobby","dynamic","level 10","site qa","lobby"
,,"Level 10 - 1001","dynamic","1001","level 10","site qa"
,,"Level 10 - 1002","dynamic","1002","level 10","site qa"
,,"Level 10 - 1003","dynamic","1003","level 10","site qa"
,,"Level 10 - 1004","dynamic","1004","level 10","site qa"
,,"Level 10 - 1005","dynamic","1005","level 10","site qa"
,,"Level 10 - 1006","dynamic","1006","level 10","site qa"
,,"Level 10 - 1007","dynamic","1007","level 10","site qa"
,,"Level 10 - 1008","dynamic","1008","level 10","site qa"
,,"Level 10 - 1009","dynamic","1009","level 10","site qa"
,,"Level 11 - Lobby","dynamic","level 11","site qa","lobby"
,,"Level 11 - 1101","dynamic","1101","level 11","site qa"
,,"Level 11 - 1102","dynamic","1102","level 11","site qa"
,,"Level 11 - 1103","dynamic","1103","level 11","site qa"
,,"Level 11 - 1104","dynamic","1104","level 11","site qa"
,,"Level 11 - 1105","dynamic","1105","level 11","site qa"
,,"Level 11 - 1106","dynamic","1106","level 11","site qa"
,,"Level 11 - 1107","dynamic","1107","level 11","site qa"
,,"Level 11 - 1108","dynamic","1108","level 11","site qa"
,,"Level 11 - 1109","dynamic","1109","level 11","site qa"
,,"Level 12 - Lobby","dynamic","level 12","site qa","lobby"
,,"Level 12 - 1201","dynamic","1201","level 12","site qa"
,,"Level 12 - 1202","dynamic","1202","level 12","site qa"
,,"Level 12 - 1203","dynamic","1203","level 12","site qa"
,,"Level 12 - 1204","dynamic","1204","level 12","site qa"
,,"Level 12 - 1205","dynamic","1205","level 12","site qa"
,,"Level 12 - 1206","dynamic","1206","level 12","site qa"
,,"Level 12 - 1207","dynamic","1207","level 12","site qa"
,,"Level 12 - 1208","dynamic","1208","level 12","site qa"
,,"Level 12 - 1209","dynamic","1209","level 12","site qa"
,,"Level 13 - Lobby","dynamic","site qa","level 13","lobby"
,,"Level 13 - 1301","dynamic","1301","site qa","level 13"
,,"Level 13 - 1302","dynamic","1302","site qa","level 13"
,,"Level 13 - 1303","dynamic","1303","site qa","level 13"
,,"Level 13 - 1304","dynamic","1304","site qa","level 13"
,,"Level 13 - 1305","dynamic","1305","site qa","level 13"
,,"Level 13 - 1306","dynamic","1306","site qa","level 13"
,,"Level 13 - 1307","dynamic","1307","site qa","level 13"
,,"Level 13 - 1308","dynamic","1308","site qa","level 13"
,,"Level 13 - 1309","dynamic","1309","site qa","level 13"
,,"Level 14 - Lobby","dynamic","level 14","site qa","lobby"
,,"Level 14 - 1401","dynamic","1401","level 14","site qa"
,,"Level 14 - 1402","dynamic","1402","level 14","site qa"
,,"Level 14 - 1403","dynamic","1403","level 14","site qa"
,,"Level 14 - 1404","dynamic","1404","level 14","site qa"
,,"Level 14 - 1405","dynamic","1405","level 14","site qa"
,,"Level 14 - 1406","dynamic","1406","level 14","site qa"
,,"Level 14 - 1407","dynamic","1407","level 14","site qa"
,,"Level 14 - 1408","dynamic","1408","level 14","site qa"
,,"Level 14 - 1409","dynamic","1409","level 14","site qa"
,,"Level 15 - Lobby","dynamic","level 15","site qa","lobby"
,,"Level 15 - 1501","dynamic","1501","level 15","site qa"
,,"Level 15 - 1502","dynamic","1502","level 15","site qa"
,,"Level 15 - 1503","dynamic","1503","level 15","site qa"
,,"Level 15 - 1504","dynamic","1504","level 15","site qa"
,,"Level 15 - 1505","dynamic","1505","level 15","site qa"
,,"Level 15 - 1506","dynamic","1506","level 15","site qa"
,,"Level 15 - 1507","dynamic","1507","level 15","site qa"
,,"Level 15 - 1508","dynamic","1508","level 15","site qa"
,,"Level 15 - 1509","dynamic","1509","level 15","site qa"
,,"Level 16 - Lobby","dynamic","level 16","site qa","lobby"
,,"Level 16 - 1601","dynamic","1601","level 16","site qa"
,,"Level 16 - 1602","dynamic","1602","level 16","site qa"
,,"Level 16 - 1603","dynamic","1603","level 16","site qa"
,,"Level 16 - 1604","dynamic","1604","level 16","site qa"
,,"Level 16 - 1605","dynamic","1605","level 16","site qa"
,,"Level 16 - 1606","dynamic","1606","level 16","site qa"
,,"Level 16 - 1607","dynamic","1607","level 16","site qa"
,,"Level 16 - 1608","dynamic","1608","level 16","site qa"
,,"Level 16 - 1609","dynamic","1609","level 16","site qa"
,,"Level 17 - Lobby","dynamic","site qa","level 17","lobby"
,,"Level 17 - 1701","dynamic","1701","site qa","level 17"
,,"Level 17 - 1702","dynamic","1702","site qa","level 17"
,,"Level 17 - 1703","dynamic","1703","site qa","level 17"
,,"Level 17 - 1704","dynamic","1704","site qa","level 17"
,,"Level 17 - 1705","dynamic","1705","site qa","level 17"
,,"Level 17 - 1706","dynamic","1706","site qa","level 17"
,,"Level 17 - 1707","dynamic","1707","site qa","level 17"
,,"Level 17 - 1708","dynamic","1708","site qa","level 17"
,,"Level 17 - 1709","dynamic","1709","site qa","level 17"
,,"Level 18 - Lobby","dynamic","level 18","site qa","lobby"
,,"Level 18 - 1801","dynamic","1801","level 18","site qa"
,,"Level 18 - 1802","dynamic","1802","level 18","site qa"
,,"Level 18 - 1803","dynamic","1803","level 18","site qa"
,,"Level 18 - 1804","dynamic","1804","level 18","site qa"
,,"Level 18 - 1805","dynamic","1805","level 18","site qa"
,,"Level 18 - 1806","dynamic","1806","level 18","site qa"
,,"Level 18 - 1807","dynamic","1807","level 18","site qa"
,,"Level 18 - 1808","dynamic","1808","level 18","site qa"
,,"Level 18 - 1809","dynamic","1809","level 18","site qa"
,,"Level 19 - Lobby","dynamic","level 19","site qa","lobby"
,,"Level 19 - 1901","dynamic","1901","level 19","site qa"
,,"Level 19 - 1902","dynamic","1902","level 19","site qa"
,,"Level 19 - 1903","dynamic","1903","level 19","site qa"
,,"Level 19 - 1904","dynamic","1904","level 19","site qa"
,,"Level 19 - 1905","dynamic","1905","level 19","site qa"
,,"Level 19 - 1906","dynamic","1906","level 19","site qa"
,,"Level 19 - 1907","dynamic","1907","level 19","site qa"
,,"Level 19 - 1908","dynamic","1908","level 19","site qa"
,,"Level 19 - 1909","dynamic","1909","level 19","site qa"
,,"Level 20 - Lobby","dynamic","site qa","level 20","lobby"
,,"Level 20 - 2001","dynamic","2001","site qa","level 20"
,,"Level 20 - 2002","dynamic","2002","site qa","level 20"
,,"Level 20 - 2003","dynamic","2003","site qa","level 20"
,,"Level 20 - 2004","dynamic","2004","site qa","level 20"
,,"Level 20 - 2005","dynamic","2005","site qa","level 20"
,,"Level 20 - 2006","dynamic","2006","site qa","level 20"
,,"Level 20 - 2007","dynamic","2007","site qa","level 20"
,,"Level 20 - 2008","dynamic","2008","site qa","level 20"
,,"Level 20 - 2009","dynamic","2009","site qa","level 20"
,"Columns"
,,"Waterproofing angle completed",,"waterproofing angle completed"
,,"(Attach photo)",,"(attach photo)"
,,"Installation of sub-sill and caulked",,"installation of sub-sill and caulked"
,,"(Attach photo)",,"(attach photo)"
,,"Water test sub-sill",,"water test sub-sill"
