"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a6dbd32f-05db-4e7f-8ded-5f30bd2196e4","","not-started","SYS - Job Details Checklist (V1)","checklist","FALSE","FALSE","Job Details"
"b4e56f4e-2e17-4667-bfeb-b6e6b69325fd","","fail","","folder","TRUE","FALSE","Precast Manufacture"
"187dbaa7-4c89-4de6-9032-a44e5263fb43","","fail","","folder","TRUE","FALSE","Precast Manufacture","Precast Panels"
"49c6dc0a-96f6-418f-8595-d622a369aa4e","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P01"
"981e9f91-a5ac-4fa0-bb05-ff73a1cef894","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P02"
"9a1a09cd-4922-43d6-a1c4-662e29f1cddd","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P03"
"9c731ff3-d20a-4df2-bd89-a0f916192366","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P04"
"e3725cc7-37ab-4e4d-8c8a-db44a88354bf","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P05"
"d2adcdc4-568b-4f6a-8df5-11912dcfe35f","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P06"
"1f113fca-2879-4ee1-bd2d-88c6e8259a63","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P07"
"d4a67f4d-16df-4ad0-a9bf-a5ac763f188b","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P08"
"e636859d-a703-478c-ac93-2f04ade47ea5","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P09"
"74792cd6-34fd-48b6-bc10-8163bb4d5211","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P10"
"eb126ee2-c232-4949-9fd4-7e98f65edb93","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P11"
"483f276e-9949-4637-a308-fa327c9b7a80","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P12"
"4e756a93-f8c7-40eb-a650-ba9318928aad","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P13"
"0fd8d430-d5f9-4c56-be87-cd02066bfbef","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P14"
"8273534d-b3c0-4bae-a7b6-a2daf0ef808a","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P15"
"8c62d5af-709c-4d95-8f53-015e736c07e9","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P16"
"ce08ce1b-d5cb-440b-9bbb-4eb1321db06a","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P17"
"e3972c74-4794-489f-a1fb-80e5a1a87d55","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P18"
"10df95e2-5e8b-44c0-818a-a90e8a7b2f37","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P19"
"28288556-7d6b-49b6-bbf1-e1322c763264","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P20"
"ec9a6bee-895e-4630-aa4a-5787505b7288","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P21"
"582314fc-3246-49f3-bc92-0d050fb38379","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P22"
"ef18d7b5-8e43-46c8-8b99-4012df0b8b3d","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P23"
"6d235c67-4aa6-4ad6-aca0-fe63c040e62a","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P24"
"2d51fb25-333c-4326-80d8-cc0b2be18a3e","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P25"
"63143ef6-7aec-42f9-8a96-3f83e2a22e4e","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P26"
"c90d9c00-a900-4e1d-90c0-c8a80fb00aa0","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P27"
"d55350ff-59b9-4f7f-b9fd-2dbaceca30c7","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P28"
"db186d27-676e-43cd-9646-44442080f826","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P29"
"a965e109-5efd-4adb-9c8b-89cc7182da11","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P30"
"c7ab8da1-8b39-41b9-99f4-cc0fe4d20037","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P31"
"1be80b5a-b4a5-4e50-a3d4-ecee77b0a90d","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P32"
"1f302ffa-2b8d-49e3-bb07-6449b293e04f","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P33"
"f4785543-9662-4f89-b1ea-d9393241c7ef","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P34"
"f8b32170-119b-4eaa-840f-20b277e6845c","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P35"
"22d17f09-dd92-4fb1-ac9e-3ac33d5ad220","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P36"
"74b7e515-84d5-4629-94d2-e2970b226e67","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P37"
"7a7b6601-8709-4bc4-bd41-089c18b2d09b","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P38"
"d35adc6f-d8c4-4cd6-b5f9-578d76d29a94","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P39"
"196519d8-ab43-45f6-a3d8-1214996a0eb6","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P40"
"8c906452-93f1-464e-8b3a-dedb37550f80","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P41"
"7c504160-8a7e-4165-b579-083db9e913f5","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P42"
