"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d24b6595-dc2c-4336-8165-3cfd4bad1c29","","folder-normal","work-in-progress","","step","TRUE","FALSE","P1 to P9"
"96a04faf-ba56-4e2b-abf3-7a59b92f72b0","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P1 to P9","P1"
"6a4032ea-739a-42dc-b6cb-dacb9d3f89f7","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P1 to P9","P2"
"3b69e0f2-9b37-4697-b7ed-803a90ff3f96","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P1 to P9","P3"
"64afedde-b37c-4b12-a226-87dac3625773","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P1 to P9","P4"
"eab93429-48e2-4498-83b2-9df9cc95b513","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P1 to P9","P5"
"089d91de-fc00-4c11-8476-0e125a52f292","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P1 to P9","P6"
"6c5e4b00-8f25-4648-b2f7-26b610ea45c6","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P1 to P9","P7"
"c655c04b-8e2f-4301-bfff-1d66760cb2a1","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P1 to P9","P8"
"579c6df6-7fa6-44bb-a0cd-a2b064cffe60","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P1 to P9","P9"
"35adca0c-b5ed-4517-aea5-76507c2bbedb","","folder-normal","work-in-progress","","step","TRUE","FALSE","P10 to P18"
"66d2f94f-cef5-4e22-9d9e-9f4812041e18","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P10 to P18","P10"
"cc1bcdff-bffa-48e5-9ee7-30a2f152880c","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P10 to P18","P11"
"d2b8060c-4bd4-418a-9d70-0e63d70886bc","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P10 to P18","P12"
"be553685-3393-49f0-9b3a-37cadf8c0398","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P10 to P18","P13"
"6a03f794-36a3-43e6-850b-5536f61d75f9","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P10 to P18","P14"
"a8d444db-3bf9-42a8-b7d1-b0b7c6c2dd0a","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P10 to P18","P15"
"9e23e7c6-7759-4388-a253-6ace44ba36b0","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P10 to P18","P16"
"a3f62662-b2f5-4bd9-9d49-206e18eeb88c","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P10 to P18","P17"
"e26238a9-f44c-4700-ac74-f5cc1eea4d42","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P10 to P18","P18"
"2e6e969a-e618-4ba2-a2fb-a69ed6c13237","","folder-normal","work-in-progress","","step","TRUE","FALSE","P19 to P26"
"a4ceef28-0eea-4281-831a-96733f2aff2b","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P19 to P26","P19"
"27e13f35-e82f-487b-aaed-50f08831f68b","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","P19 to P26","P20"
