"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cade99c9-42cb-40bc-9540-c2dd5a3f381a","","folder-normal","pass","","step","TRUE","FALSE","MLA L1"
"63778060-fb06-4ca2-a73f-e24cb6596678","","checklist-flat","pass","Internal Steel Stud Walls Checklist","checklist-flat","FALSE","FALSE","MLA L1","Internal Steel Stud Walls Checklist"
"a6bdbbc8-e5da-4e66-8a50-7308a9a5a08c","","checklist-flat","pass","GIB Lining","checklist-flat","FALSE","FALSE","MLA L1","GIB Lining first layer"
"66516b08-8775-406a-9360-cb540a5ad3c6","","checklist-flat","pass","GIB Lining","checklist-flat","FALSE","FALSE","MLA L1","GIB Lining 2nd layer"
"8a393ce9-1818-4746-84c2-ec0e4093dd9b","","folder-normal","work-in-progress","","step","TRUE","FALSE","MLA L2"
"729e10fb-5355-41c3-bc76-9059a54e55fd","","checklist-flat","pass","Internal Steel Stud Walls Checklist","checklist-flat","FALSE","FALSE","MLA L2","Internal Steel Stud Walls Checklist"
"0def8cca-749d-4b7d-8204-2ca523be9734","","checklist-flat","pass","GIB Lining","checklist-flat","FALSE","FALSE","MLA L2","GIB Lining 1st layer"
"0a74a708-3c4d-4a1b-aa1c-c5835e836d14","","checklist-flat","work-in-progress","GIB Lining","checklist-flat","FALSE","FALSE","MLA L2","GIB Lining 2nd layer"
"5727a142-5fb1-40de-887e-b4433ceaebba","","folder-normal","not-started","","step","TRUE","FALSE","MLA L0"
"3c5a22aa-c852-48fb-9e17-4ebfc8e7fcf4","","checklist-flat","not-started","Internal Steel Stud Walls Checklist","checklist-flat","FALSE","FALSE","MLA L0","Internal Steel Stud Walls Checklist"
