"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0391b5eb-f372-4b64-83c9-a381e48e443c","","not-started","","folder","TRUE","FALSE","Chipseal"
"efeea3cb-477f-4c82-8e60-950656513155","","not-started","Approved Design Report","checklist","FALSE","FALSE","Chipseal","Approved Design Report"
"8798b40b-e6ae-4dc1-8a16-6f119eb57a0d","","not-started","Production and Testing ITPs","checklist","FALSE","FALSE","Chipseal","Production and Testing ITPs"
"cb9733c3-f549-4255-8563-ff73e47654ae","","not-started","QMP","checklist","FALSE","FALSE","Chipseal","QMP"
"c046eb86-b042-4359-a70b-b166d756d8bf","","not-started","Verified Program","checklist","FALSE","FALSE","Chipseal","Verified Program"
"cfa73fee-b078-4dd3-b0a7-5b08e96d6f18","","not-started","","folder","TRUE","FALSE","Chipseal","Raukokere Hill III A"
"12c68e2e-add6-4d5a-9031-b094be02a78b","","not-started","Chipseal ITP","checklist","FALSE","FALSE","Chipseal","Raukokere Hill III A","Chipseal ITP"
"ab7a46f4-58fa-4439-bd4f-7a6bd6c4b504","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Raukokere Hill III"
"fa9dfe42-e6d1-459c-afe8-5664de6f276e","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Ruakokore Hill"
"d4edd639-4af2-4773-a204-311b5d8be9be","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Ruakokore Hill I"
"032928e7-dc0a-4dc3-8998-1b7a712e0628","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Te Waiti Bridge West"
"1f7f1b6f-557a-4b91-8f83-889001f1c1c3","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Raukokere West I"
"2a3ead3e-7dd5-4c75-a08e-68fcc0a9d0c3","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Pirikaraka Bridge West I"
"e1e5d3f9-6f2a-438e-b376-a07bc7c853fa","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Kukumoa Bridge East I"
"70f5ebf8-390f-49ba-be45-effd0b8a38b5","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Huntress creek SCRIM SITE"
"9bcc5e01-9f54-4c77-b292-ea7f0aba65ca","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Rest Area - Lookout II"
"d41c9a03-a798-41b8-aa74-9ff9c4d33c9e","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Rankin Road SCRIM"
"ba902de4-5df4-430a-a57c-a395ac498531","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Lysaghts Bridge SCRIM"
"a9fbb4fa-3823-49d5-abfd-edb29e51e2ff","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Lysaghts Bridge East SCRIM"
"2c72a0c2-bd5c-4054-b141-13b0e1a26f66","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Lysaghts Bridge East"
"7af97494-4aab-4ac1-8866-cd90d791a0a6","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Nukuhou North I"
"48666e8a-7c62-49b7-9a2d-324e5a65f7ff","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Wainui Swamp"
"215e9a6a-2b7f-4b15-8101-47eaf317522b","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Waimana Straight East 16/17 RS"
"0fcf694c-2337-4735-a05d-3fedd637d6c2","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Gun Shop Hill III"
"d461f3f4-bc7f-47be-a600-f0970b9acf3d","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Scout Hall to Timber Yard C"
"18f74191-0050-4f1e-8aba-32945c2827b9","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Onepu Spring Rd to Railway A"
"49340aec-6d80-4453-b9be-3087014f5be0","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Onepu Spring Rd to Railway B"
"22945c09-47de-43e7-8f5d-fc67b1c98f1b","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Onepu Spring Rd to Railway C"
"a15f3bcb-05a5-489e-8d12-4cb019493bd1","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Strawberry Garden"
"bac9308e-1e84-4071-8fd3-941d1835a904","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Braemar Road West"
"abfb5661-1e3f-4cf4-bab3-308b58ef8aab","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Otipa Curves"
"90db2d5e-664e-4b36-a590-1791f3a3bcf0","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","McKee Overbridge East"
"17c4b7bc-331a-41f3-adbc-e5b67d8531b3","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Sub-station"
"befecac0-99bc-4d02-9635-d1d66a81c069","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Sub-station A"
"5f406755-5cad-49b8-8184-999dc5b41086","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Sub-station II"
"37d38ce9-0b32-4e1c-a54c-bf6cd9e5c183","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Fletcher Avenue East"
"7f11364c-5bfb-4db6-bf39-6fa80c012e24","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Short Street Inter./West"
"372bc6a9-5c04-4c4b-8f0f-b042d79309eb","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Valley Rd"
"e2cf44fa-0229-484b-9364-e8ff67ffedad","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Tui Glen Forest"
"acd1936b-ec28-47f1-8b76-315a4a1c11ed","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Awaiti to Edgecumbe 2015/16 RS"
"dee620c0-74f7-4685-83a6-eb04f42ef16a","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Omeheu Canal Bridge West 2015/16"
"6dc058cf-47ad-4c4b-88ec-3a064521dfcf","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Omeheu Canal Bridge East 2015/16"
"dd822c48-3eb1-4f6b-ac28-fa1653a7b2d6","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Ice sign to Frosty"
"11778fcc-ab4d-4161-827a-b3a39e573266","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Frosty to Stoclpile I"
"00e25291-c026-4ff2-8b82-b0fe894a5dea","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Frosty to Stockpile II"
"5835843e-76d5-4d64-ace4-0e41b694f0f4","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Anaputu Point"
"aa340235-9003-4fb2-aa9c-fd6eccfa6df3","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Ruato Rock Bluff"
"29a76da9-d8fb-47b4-b7ee-af0288d76333","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Te Puia Rd East"
"2b6eac34-8bc7-45a7-bd96-c0cccd81ead5","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Ludgates Hill- Okawa Bay- Takinga"
"5970689c-08e5-48c6-ba10-1acd50e799c7","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Okawa Bay"
"7e892c8e-159d-4911-8e9a-3dbb546c85d7","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Mourea"
"837b1d76-87f1-4ed4-81f1-05d6e39d1e30","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Kingi Rd II"
"8d815dfb-0f72-4208-a054-3d18e2354081","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Sun Valley Nth"
"8bfa3bff-a6c7-4193-8d59-c9238474ce5f","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Sun Valley Curves 2013/14 RHAB"
"9b5528f8-149b-49c8-92aa-b78077dd8252","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Sun Valley Nth II"
"bae43291-c5ce-4512-8508-96564405bf2b","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Sun Valley Curves II 2013/14 RHAB"
"2a83342c-ad53-4232-b05e-072e4f80987a","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Pakeha St I"
"4484ab82-6023-4c32-a68c-b0813fd81fff","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Pakeha St II"
"a863f6c1-4b00-4ece-bf90-303f67279f40","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Pakeha St-Manawahe Rd"
"7bf0d01a-2edd-445d-9090-12132bd01285","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Manawahe Road Intersection"
"44eaa539-f657-4256-b6ba-b7acf74567b0","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Pine View Lane"
"49d1c832-1067-4c33-8997-6eef9ae20c2d","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Angle Road North"
"bfe5085e-675a-4bab-a889-91a215722a38","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Fortunes Road East"
