"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5ff46075-f6f5-47eb-aed5-31b788899878","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 2","Westbound","Stormwater"
"140dd233-ce04-4f5f-8d9c-de88ec56e7ea","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 2","Westbound","Water"
"3762897a-bf98-4bcd-b448-e813ee0a2ed8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 2","Westbound","Footpaths, Crossings & Islands"
"73c5e464-eda9-4a8a-95f0-57284cab8d7e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 2","Westbound","Landscaping"
"cf00cf57-9b49-4b41-8ecb-4c7cc34aa91b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 2","Westbound","Pavement"
"1da28bb7-56be-436b-b1db-e62627af92d5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 2","Westbound","Surfacing"
"36d03857-ad1f-4bcf-8765-bb327899e1e8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 2","Westbound","Streetlighting"
"774ad4dc-bec4-4bdf-a3e3-295df7f3d525","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 2","Westbound","Line Marking & Signs"
"8f2b9f11-6d55-43fb-b08b-79c77452ceb2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 2","Westbound","Structures"
"71f9c493-52e0-48f5-8010-f974e7996731","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Zone 2","Median"
"fa7bca9e-3727-496b-8f3f-c180c83fb682","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Zone 2","Median","Footpaths, Crossings & Islands"
"d45a1c50-49fb-48f4-8863-e88ce86147fa","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Zone 2","Median","Pavement"
"9e0b2c31-2dfd-46fa-9722-bf235d9d9898","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Zone 2","Median","Surfacing"
"1a669699-d342-416e-b8d5-10d6ec49186e","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Zone 2","Median","Traffic Signals"
"f5f83263-6f47-4bc5-b247-2582abf3356b","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Zone 3"
"a17ba012-9caf-40d1-8010-27ab1b6f430c","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Zone 3","Eastbound"
"c174486a-dc9e-44b9-a958-30bf496123b4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Eastbound","Utilities"
"30bdc8db-0806-4786-a725-f40fba5d5c9e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Eastbound","Stormwater"
"7689e9f5-a6d1-4308-9d29-0ada114a0802","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Eastbound","Water"
"47bc043b-35b8-4db9-b877-3f0ffbbdb8aa","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Eastbound","Footpaths, Crossings & Islands"
"a8893655-2e00-4956-968c-7e3061f73dc0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Eastbound","Landscaping"
"7a5efe51-4252-4854-8f4d-93278561f353","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Eastbound","Pavement"
"76824d4a-0932-4f18-a99c-3f68d4e9fa8f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Eastbound","Surfacing"
"96432b04-da9f-4cd2-adba-1eaf69dc9c17","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Eastbound","Streetlighting"
"db778053-8523-45ad-bc89-c0e92d25794c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Eastbound","Line Marking & Signs"
"22904faf-2595-487b-af40-0b7940d1a14e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Eastbound","Structures"
"ac627870-6410-4fa7-a35b-5823e447ce41","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Zone 3","Westbound"
"1dd2fc78-6c2f-41a2-bc17-ba549175195b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Westbound","Utilities"
"4acd35d2-6a94-4b00-9825-5b53eed191bd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Westbound","Stormwater"
"7ea1880c-e37c-4f2c-a3c3-cf18fd14c191","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Westbound","Water"
"cd87798a-f134-4b6b-bece-17c31059114e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Westbound","Footpaths, Crossings & Islands"
